"Issue";"Milestone";"Labels";"Release Note";"No Change";"Laatste Comment"
"#13";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"We hebben in NLCS 5.1 gekozen voor een indeling waarbij altijd het stelseltype gebruikt wordt, dat neem een deel van deze feedback weg. In het Informatiemodel NLCS zullen we de andere punten dan goed moeten onderzoeken, dit doen we in issue #751"
"#185";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"inmiddels wordt dit vraagstuk geadresseerd in projecten die gefinancieerd worden door het DOOR-programma"
"#195";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"de relevante issues zijn hieruit gehaald voor DOOR-project rionleringen"
"#358";"Alignment GWSW";"RI_riolering-en-GWSW | IMBOR";"";"";"nu gwsw en imbor aligned zijn en nlcs een nieuwe versie krijgt is deze vergelijking verouderd, dit gaan we elders oppakken"
"#521";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";""
"#545";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"dit is verwerkt tot een accpetance-versie"
"#631";"Alignment GWSW";"RI_riolering-en-GWSW | Ontologie";"";"";"de beheeromgeving is gereed zo te zien"
"#633";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"Besluit: we gaan redeneren vanuit NLCS naar GWSW, je kunt dan alleen de mapping gebruiken als er ook een laagnaam beschikbaar is in de NLCS."
"#635";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"De laatste vraag heb ik even een eigen issue van gemaakt zodat duidelijk is welke taak nog openstaat #756"
"#636";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"> * [x]  use cases verwerking rioleringsrevisiegegevens Dordrecht / Nijmegen / Utrecht

https://docs.crow.nl/use-cases-door/project-beheer/"
"#638";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"@gerritversteegh ik heb de naam van de beheeromgeving veranderd naar classificatie RI (rioleringen); ik wil voor elke hoofdgroep een eigen beheeromgeving en eigen publicatie maken, net zoals we dat willen doen (deo volente, na definitieve publicatie 5.1) voor de NLCS Basis"
"#639";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";""
"#652";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"Remote sources toegevoegd in [de workspace ](https://bimloket.laces-manager.tech/app/#/otl/692028b9b34a135beed4efd2/content?class=PhysicalObject&isExternal=false&isTopConcept=false)"
"#720";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"Test publicaties zijn [hier](https://hub.laces.tech/digitalbuildingdata/nlcs/test) beschikbaar, de eerste queries zijn opgeslagen bij de publicaties."
"#721";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"De relaties naar de IMBOR en GWSW zijn in [de NLCS Classificatie beheeromgeving](https://bimloket.laces-manager.tech/app/#/otl/692028b9b34a135beed4efd2/content?class=PhysicalObject&activeEntityId=a3ba7a37-7760-3456-b2d4-d1382b0c0c9a&activeEntityType=PhysicalObject&isExternal=false&isTopConcept=false) gelegd en in [de publicaties](https://hub.laces.tech/digitalbuildingdata/nlcs/test/) op te halen, inclusief queries om deze gelinkte resources te vinden."
"#722";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"het is uiteindelijk andersom gedaan, de relaties worden nu gelegd bij de ontologie"
"#723";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"Here is the updated one with parent links:
[GWSW_1_6-NLCS_5_1_met_symbolen_v3.csv](https://github.com/user-attachments/files/24912611/GWSW_1_6-NLCS_5_1_met_symbolen_v3.csv)

Note that there are edge cases, which I excluded from output table now, such as 
- objects not being in the partonomy tree (e.g., OVERIG_AANSLUITPUT)
- Persleiding under Persleiding both in taxonomy and partonomy, and linked to gwsw in partonomy: 

<img width=""1776"" height=""732"" alt=""Image"" src=""https://github.com/user-attachments/assets/7b73040d-6719-4f7c-bf5e-69ade1203cdc"" />"
"#725";"Alignment GWSW";"Informatiemodel";"";"";"1.	Het Informatiemodel NLCS Objectgericht op het onderdeel rioleringen, als ttl-file, met onderdelen kern, vocabulaire en domeinwaarden in [Documentatie Informatiemodel NLCS Objectgericht 5.1](https://nl-digigo.github.io/NLCS/code_documentation_im/5-1/)

2.	Het Alignment naar GWSW en IMBOR is onderdeel van het informatiemodel NLCS Objectgericht. [Relaties NLCS 5.1 met andere standaarden](https://nl-digigo.github.io/NLCS/ontologyalignments/5-1/) geeft beschrijving van de alignments vanuit de NLCS naar andere standaarden."
"#752";"Alignment GWSW";"RI_riolering-en-GWSW";"";"";"De links zijn eruit gehaald"
