oordeel,bestand,omschrijving,autocaddef
VARIANT: s=.25 + x-offset,lijntypes-5-2-IW.csv,V-IW-DATA_GLASVEZEL,"A,1.75,[VERWIJDEREN2,NLCS.SHX,x=-.875,s=.25],-.5,[""GV"",NLCS-ISO,S=0.25,U=0.0,X=-0.20,Y=-0.15],-.55"
VARIANT: s=.25 + x-offset,lijntypes-5-2-IW.csv,V-IW-DATA_KOPER,"A,1.75,[VERWIJDEREN2,NLCS.SHX,x=-.875,s=.25],-.55,[""K"",NLCS-ISO,S=0.25,U=0.0,X=-0.20,Y=-0.15],-.3"
VARIANT: s=.25 + x-offset,lijntypes-5-2-IW.csv,V-IW-DETECTIE,"A,2.3,[VERWIJDEREN2,NLCS.SHX,x=-1.15,s=.25],-.55,[""DET"",NLCS-ISO,S=0.25,U=0.0,X=-0.20,Y=-0.15],-.8"
VARIANT: s=.25 + x-offset,lijntypes-5-2-IW.csv,V-IW-KOPPELKABEL,"A,2,[VERWIJDEREN2,NLCS.SHX,x=-1,s=.25],-.5,[""<*>"",NLCS-ISO,S=0.7,U=0.0,X=-0.20,Y=-0.23],-1.7"
VARIANT: s=.25 + x-offset,lijntypes-5-2-IW.csv,V-IW-SIGNAAL_230V,"A,2,[VERWIJDEREN2,NLCS.SHX,x=-1,s=.25],-.5,[""230V"",NLCS-ISO,S=0.25,U=0.0,X=-0.20,Y=-0.15],-.8"
VARIANT: s=.25 + x-offset,lijntypes-5-2-IW.csv,V-IW-SIGNAAL_42V,"A,1.75,[VERWIJDEREN2,NLCS.SHX,x=-.875,s=.25],-.55,[""42V"",NLCS-ISO,S=0.25,U=0.0,X=-0.20,Y=-0.15],-.8"
VARIANT: s=.25 + x-offset,lijntypes-5-2-IW.csv,V-IW-SIGNAALKABEL,"A,2.5,-.2,[VERWIJDEREN2,NLCS.SHX,x=.4,s=.25],.8,-.2"
VARIANT: s=.25 + x-offset,lijntypes-5-2-IW.csv,V-IW-VRI_DATAKABEL,"A,2.5,-.2,[VERWIJDEREN2,NLCS.SHX,x=.4,s=.25],.8,-.2"
VARIANT: s=.25 + x-offset,lijntypes-5-2-IW.csv,V-IW-VRI_MANTELBUIS,"A,.5,-.2,[VERWIJDEREN2,NLCS.SHX,x=1,s=.25],.5,-.2"
VARIANT: s=0.25 + x-offset,lijntypes-5-2-IW.csv,V-IW-KABELTRACE,"A,2,[VERWIJDEREN2,NLCS.SHX,x=-1,s=0.25],-.5,[""VRI"",NLCS-ISO,S=0.35,U=0.0,X=-0.20,Y=-0.2],-.8"
VARIANT: s=0.5 maar met x-offset,lijntypes-5-2-BV.csv,V-BV-GELEIDEBARRIER-SO,"A,5,[VERWIJDEREN2,NLCS.SHX,x=0.5,s=0.5],5,-3,[GELEIDEBARRIER,NLCS.SHX,s=1],-3"
VARIANT: s=0.5 maar met x-offset,lijntypes-5-2-MO.csv,V-MO-BODEMACHTERGRONDWAARDE-SO,"A,3,-3.5,6,-7,[MAAIVELD,NLCS.SHX,s=1.8],-7,6,-3.5,6,-3.5,[VERWIJDEREN2,NLCS.SHX,x=-1.75,s=0.5],3"
VARIANT: s=0.5 maar met x-offset,lijntypes-5-2-MO.csv,V-MO-GELUIDSTREEFWAARDE-SO,"A,3,-3.5,6,-4,[GELUID,NLCS.SHX,s=0.8],-4,6,-3.5,6,-3.5,[VERWIJDEREN2,NLCS.SHX,x=-1.75,s=0.5],3"
VARIANT: s=0.5 maar met x-offset,lijntypes-5-2-MO.csv,V-MO-GEURSTREEFWAARDE-SO,"A,3,-3.5,6,-4,[GEUR,NLCS.SHX,s=0.8],-4,6,-3.5,6,-3.5,[VERWIJDEREN2,NLCS.SHX,x=-1.75,s=0.5],3"
VARIANT: s=0.5 maar met x-offset,lijntypes-5-2-MO.csv,V-MO-GRONDWATERSTREEFWAARDE-SO,"A,3,-3.5,6,-4,[GRONDWATER,NLCS.SHX,s=0.8],-4,6,-3.5,6,-3.5,[VERWIJDEREN2,NLCS.SHX,x=-1.75,s=0.5],3"
VARIANT: s=0.5 maar met x-offset,lijntypes-5-2-MO.csv,V-MO-LICHTSTREEFWAARDE-SO,"A,3,-3.5,6,-4,[LICHT,NLCS.SHX,s=0.8],-4,6,-3.5,6,-3.5,[VERWIJDEREN2,NLCS.SHX,x=-1.75,s=0.5],3"
VARIANT: s=0.5 maar met x-offset,lijntypes-5-2-MO.csv,V-MO-LUCHTSTREEFWAARDE-SO,"A,3,-3.5,6,-4,[WOLK,NLCS.SHX,s=0.8],-4,6,-3.5,6,-3.5,[VERWIJDEREN2,NLCS.SHX,x=-1.75,s=0.5],3"
