number,title,state,labels,milestone,release_notes
1,Inspectieput riolering: vierkant symbool ipv ovaal,CLOSED,minor fix; RI_riolering-en-GWSW; BGT; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,De symbolen voor putdeksels van rioleringen zijn aangevuld: er zijn nu putdeksels met een reguliere putrand en de _01 variant een ronde putrand met deksel. In de hoofdgroep KL zijn ovale symbolen beschikbaar voor de controleputjes/brandkranen van de waterleidingmaatschappijen.
2,"Hoe omgaan met termen, laagnamen, afkortingen in de thesaurus?",OPEN,thesaurus NLCS,Alignment NLCS-IMBOR​,
3,"NLCS kent geen FysiekeObjecten, alleen informatieobjecten. Objectclassificatie nodig?",CLOSED,Informatiemodel; Bespreken EC,Gebruikersvragen,
4,As kilometrering informatieobject?,CLOSED,Informatiemodel,NLCS release Vaststellen 5.02 als linked data​,
5,"#1703 Hoofdgroep ZZ, hoogtelabel, kantopsluting.",CLOSED,VH - verhardingen; ZZ_voor alle hoofdgroepen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,Alle symbolen voor hoogtelabel worden verwijderd uit de standaard. Aanbeveling aan tekenaars is een losse tekst plaatsen in het dwarsprofiel. De pijlen staan in de meeste tekeningen in de weg. Dit maakt de standaard eenvoudiger.
6,#1702 Meerdere ZZ linetypes hebben geen V- variant.,CLOSED,Lijnen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,"Lijntypes ZZ-CENTER-SO en ZZ-DASHDOT-SO worden niet meer gebruikt. Indien een dergelijk lijntype nodig is, wordt een lijntypes aangemaakt bij het objetc."
7,#1686  Het object RI-RWZI_DOCEERLEIDING moet RI-RWZI_DOSEERLEIDING zijn.,CLOSED,RI_riolering-en-GWSW; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,Spelfout in object RI-RWZI_DOCEERLEIDING  verbeterd naar RI-RWZI_DOSEERLEIDING.
8,#1685	De ene keer wordt de aanduiding LOZELEIDING gebruikt en de andere keer LOZE LEIDING ,CLOSED,RI_riolering-en-GWSW; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Gebruikersvragen,
9,#1684 Het object GW-WATERGANG_TALUD komt twee keer voor,CLOSED,minor fix; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,"Objecten GW-WATERGANG_TALUD en GW-WATERGANG_KNIKLIJN kwamen dubbel voor in de database, de dubbeling is verwijderd."
10,#1683  Het object GW-DIJK_TALUD komt 2 keer voor. ,CLOSED,GW-grondwerk; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,"Objecten GW-DIJK_TALUD en GW-DIJK_KNIKLIJN kwamen dubbel voor, dubbeling is verwijderd."
