name;hoofdNames;topNames;numUri
STRUWEEL;GR;NLCS-object;1
BOUWLAND;GR;NLCS-object;1
BOS;GR;NLCS-object;1
GRIEND;GR;NLCS-object;1
GRAS;GR;NLCS-object;1
SPORTVELD;GR;NLCS-object;1
BOOM;GR;NLCS-object;1
BOOMTEELT;GR;NLCS-object;1
HAAG;GR;NLCS-object;1
FRUITTEELT;GR;NLCS-object;1
SOORTAANDUIDING;GR;NLCS-object;1
DUIN;GR;NLCS-object;1
PLANTGATVERBETERING;GR;NLCS-object;1
HEESTER;GR;NLCS-object;1
BOMENRIJ;GR;NLCS-object;1
BEPLANTING;GR;NLCS-object;1
VERWIJDEREN;GR;NLCS-object;1
HAKHOUT;GR;NLCS-object;1
MOERAS;GR;NLCS-object;1
DOORWORTELBARE RUIMTE;GR;NLCS-object;1
PLANTENBAK;GR;NLCS-object;1
HEIDE;GR;NLCS-object;1
KWELDER;GR;NLCS-object;1
HOUTWAL;GR;NLCS-object;1
GRONDVERBETERING;GR;NLCS-object;1
BOUWLAND_AKKERBOUW;GR;NLCS-object;1
BOUWLAND_BOLLENTEELT;GR;NLCS-object;1
BOUWLAND_VOLLEGRONDTEELT;GR;NLCS-object;1
BOUWLAND_BRAAKLIGGEND;GR;NLCS-object;1
BOS_NAALD;GR;NLCS-object;1
BOS_GEMENGD;GR;NLCS-object;1
BOS_LOOF;GR;NLCS-object;1
GRAS_KRUIDENRIJK;GR;NLCS-object;1
GRAS_RUIGGRAS;GR;NLCS-object;1
GRAS_KUNSTGRAS;GR;NLCS-object;1
GRAS_GAZON;GR;NLCS-object;1
GRAS_BLOEMRIJK;GR;NLCS-object;1
SPORTVELD_NATUURGRAS;GR;NLCS-object;1
SPORTVELD_BELIJNING;GR;NLCS-object;1
SPORTVELD_KUNSTGRAS;GR;NLCS-object;1
BOOM_KROON;GR;NLCS-object;1
BOOM_KNOT;GR;NLCS-object;1
BOOM_LEI;GR;NLCS-object;1
BOOM_IN VERHARDING;GR;NLCS-object;1
BOOM_IN GRAS;GR;NLCS-object;1
BOOM_VORM;GR;NLCS-object;1
BOOM_BEVEERD;GR;NLCS-object;1
BOOM_HOOGSTAM;GR;NLCS-object;1
BOOM_MEERSTAMMIG;GR;NLCS-object;1
BOOM_LAAGSTAM;GR;NLCS-object;1
BOOM_IN BEPLANTING;GR;NLCS-object;1
BOOM_IN BOSPLANTSOEN;GR;NLCS-object;1
HAAG_01;GR;NLCS-object;1
HAAG_02;GR;NLCS-object;1
HAAG_03;GR;NLCS-object;1
HAAG_RASTER;GR;NLCS-object;1
HAAG_DRAAD;GR;NLCS-object;1
FRUITTEELT_BOOMGAARD;GR;NLCS-object;1
DUIN_OPEN VEGETATIE;GR;NLCS-object;1
DUIN_GESLOTEN VEGETATIE;GR;NLCS-object;1
HEESTER_SOLITAIR;GR;NLCS-object;1
BEPLANTING_VASTE PLANTEN;GR;NLCS-object;1
BEPLANTING_BLOEMBOLLEN;GR;NLCS-object;1
BEPLANTING_BOSPLANTSOEN;GR;NLCS-object;1
BEPLANTING_WATERPLANTEN;GR;NLCS-object;1
BEPLANTING_WISSELBEPLANTING;GR;NLCS-object;1
BEPLANTING_EENJARIGE PLANTEN;GR;NLCS-object;1
BEPLANTING_STRUIKROZEN;GR;NLCS-object;1
BEPLANTING_BODEMBEDEKKERS;GR;NLCS-object;1
BEPLANTING_KLIMPLANTEN;GR;NLCS-object;1
BEPLANTING_OEVERBEPLANTING;GR;NLCS-object;1
GRONDVERBETERING_BOMENGROND;GR;NLCS-object;1
GRONDVERBETERING_BEMESTEN;GR;NLCS-object;1
GRONDVERBETERING_BOMENZAND;GR;NLCS-object;1
GRONDVERBETERING_SANDWICHCONSTRUCTIE;GR;NLCS-object;1
GRONDVERBETERING_BOMENGRANULAAT;GR;NLCS-object;1
