omschrijving;status;underscore;discipline;underscore2;hoofdgroep;underscore3;object;underscore4;subobject01;underscore5;subobject02;underscore6;subobject03;underscore7;subobject04;underscore8;subobject05;streepje;bewerking;streepje2;schaal;aobject;sobject;laagnaam;lw_b;kl_b;kl_b_a;kl_b_gd;kl_b_gn;kl_b_v;lt_b;lw_n;kl_n;kl_n_a;kl_n_gd;kl_n_gn;kl_n_v;lt_n;lw_v;kl_v;kl_v_a;kl_v_gd;kl_v_gn;kl_v_v;lt_v;lw_t;kl_t;kl_t_a;kl_t_gd;kl_t_gn;kl_t_v;lt_t;vrkl_kort;vrkl_lang;id_nummer;kind_van;objectURI;kind_vanURI
GELEIDING_WILDRASTER_AMFIBIE_ROND;*;_;**;_;FV;_;GELEIDING;_;WILDRASTER;_;AMFIBIE;_;ROND;_;;_;;-;;-;;;;*_**_FV_GELEIDING_WILDRASTER_AMFIBIE_ROND;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;272;271.0;http://digitalbuildingdata.tech/nlcs/def/0e241a68-bd77-4c60-80ca-585e8cc0ba9e;http://digitalbuildingdata.tech/nlcs/def/aa48ef8f-1a46-424a-8e25-f07e1ec547ba
GELEIDING_WILDRASTER_AMFIBIE_VIERKANT;*;_;**;_;FV;_;GELEIDING;_;WILDRASTER;_;AMFIBIE;_;VIERKANT;_;;_;;-;;-;;;;*_**_FV_GELEIDING_WILDRASTER_AMFIBIE_VIERKANT;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;273;271.0;http://digitalbuildingdata.tech/nlcs/def/af0e2e30-b231-4874-91b7-23d10beea512;http://digitalbuildingdata.tech/nlcs/def/aa48ef8f-1a46-424a-8e25-f07e1ec547ba
ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_NAT;*;_;**;_;FV;_;ECOLOGISCHEVERBINDINGSZONE;_;CORRIDOR;_;NAT;_;;_;;_;;-;;-;;;;*_**_FV_ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_NAT;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;239;238.0;http://digitalbuildingdata.tech/nlcs/def/36e8eb0d-9615-48cd-bf79-404d9d67bce6;http://digitalbuildingdata.tech/nlcs/def/1ff74d5e-10fb-4269-8793-35cfb8e5c3be
ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_DROOG;*;_;**;_;FV;_;ECOLOGISCHEVERBINDINGSZONE;_;CORRIDOR;_;DROOG;_;;_;;_;;-;;-;;;;*_**_FV_ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_DROOG;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;240;238.0;http://digitalbuildingdata.tech/nlcs/def/4639b8af-7836-48c7-accf-9c4dbb4e3935;http://digitalbuildingdata.tech/nlcs/def/1ff74d5e-10fb-4269-8793-35cfb8e5c3be
ECOLOGISCHEVERBINDINGSZONE_ROBUUST_NAT;*;_;**;_;FV;_;ECOLOGISCHEVERBINDINGSZONE;_;ROBUUST;_;NAT;_;;_;;_;;-;;-;;;;*_**_FV_ECOLOGISCHEVERBINDINGSZONE_ROBUUST_NAT;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;236;235.0;http://digitalbuildingdata.tech/nlcs/def/70950e17-7383-47c0-b069-2971b34d4c20;http://digitalbuildingdata.tech/nlcs/def/62bd344a-4b93-42e6-b7ff-0930db182f0f
ECOLOGISCHEVERBINDINGSZONE_ROBUUST_DROOG;*;_;**;_;FV;_;ECOLOGISCHEVERBINDINGSZONE;_;ROBUUST;_;DROOG;_;;_;;_;;-;;-;;;;*_**_FV_ECOLOGISCHEVERBINDINGSZONE_ROBUUST_DROOG;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;237;235.0;http://digitalbuildingdata.tech/nlcs/def/871e849f-162d-44de-b6d2-e0bdae360bd8;http://digitalbuildingdata.tech/nlcs/def/62bd344a-4b93-42e6-b7ff-0930db182f0f
ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN_DROOG;*;_;**;_;FV;_;ECOLOGISCHEVERBINDINGSZONE;_;STAPSTEEN;_;DROOG;_;;_;;_;;-;;-;;;;*_**_FV_ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN_DROOG;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;243;241.0;http://digitalbuildingdata.tech/nlcs/def/a251e048-f92a-4ba6-8403-803750421440;http://digitalbuildingdata.tech/nlcs/def/922c0d5b-596c-4e36-ae87-ee316048f61e
ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN_NAT;*;_;**;_;FV;_;ECOLOGISCHEVERBINDINGSZONE;_;STAPSTEEN;_;NAT;_;;_;;_;;-;;-;;;;*_**_FV_ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN_NAT;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;242;241.0;http://digitalbuildingdata.tech/nlcs/def/c6c291c3-b44a-4003-950c-5f2ad351f6da;http://digitalbuildingdata.tech/nlcs/def/922c0d5b-596c-4e36-ae87-ee316048f61e
FAUNAVOORZIENING_LICHTKOKER_OPEN;*;_;**;_;FV;_;FAUNAVOORZIENING;_;LICHTKOKER;_;OPEN;_;;_;;_;;-;;-;;;;*_**_FV_FAUNAVOORZIENING_LICHTKOKER_OPEN;0.18;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;V-CONTINUOUS-SO;0.25;70;72;70;70;253;CONTINUOUS;;;289;288.0;http://digitalbuildingdata.tech/nlcs/def/562b65b3-7ffd-4f44-8afa-80f9a93bd8bd;http://digitalbuildingdata.tech/nlcs/def/338a26e9-1cd8-4689-9eff-2d34e36dbad7
FAUNAVOORZIENING_LICHTKOKER_DICHT;*;_;**;_;FV;_;FAUNAVOORZIENING;_;LICHTKOKER;_;DICHT;_;;_;;_;;-;;-;;;;*_**_FV_FAUNAVOORZIENING_LICHTKOKER_DICHT;0.18;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;V-CONTINUOUS-SO;0.25;70;72;70;70;253;CONTINUOUS;;;290;288.0;http://digitalbuildingdata.tech/nlcs/def/0b5ec9bf-c305-430c-975c-1aa9ee2775b9;http://digitalbuildingdata.tech/nlcs/def/338a26e9-1cd8-4689-9eff-2d34e36dbad7
