omschrijving;status;underscore;discipline;underscore2;hoofdgroep;underscore3;object;underscore4;subobject01;underscore5;subobject02;underscore6;subobject03;underscore7;subobject04;underscore8;subobject05;streepje;bewerking;streepje2;schaal;aobject;sobject;laagnaam;lw_b;kl_b;kl_b_a;kl_b_gd;kl_b_gn;kl_b_v;lt_b;lw_n;kl_n;kl_n_a;kl_n_gd;kl_n_gn;kl_n_v;lt_n;lw_v;kl_v;kl_v_a;kl_v_gd;kl_v_gn;kl_v_v;lt_v;lw_t;kl_t;kl_t_a;kl_t_gd;kl_t_gn;kl_t_v;lt_t;vrkl_kort;vrkl_lang;id_nummer;kind_van;objectURI;kind_vanURI
BEPLANTING_BLOEMBOLLEN;*;_;**;_;GR;_;BEPLANTING;_;BLOEMBOLLEN;_;;_;;_;;_;;-;;-;;AGR-BOLLEN;SGR-BOLLEN;*_**_GR_BEPLANTING_BLOEMBOLLEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2886;2885.0;http://digitalbuildingdata.tech/nlcs/def/c835d8ea-decb-46bc-9997-2e7babfd861c;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_WATERPLANTEN;*;_;**;_;GR;_;BEPLANTING;_;WATERPLANTEN;_;;_;;_;;_;;-;;-;;AGR-WATERPLANTEN;SGR-WATERPLANTEN;*_**_GR_BEPLANTING_WATERPLANTEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2892;2885.0;http://digitalbuildingdata.tech/nlcs/def/ca227598-9351-4a3c-8af4-45e29521881c;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_WISSELBEPLANTING;*;_;**;_;GR;_;BEPLANTING;_;WISSELBEPLANTING;_;;_;;_;;_;;-;;-;;AGR-WISSELBEPLANTING;SGR-WISSELBEPLANTING;*_**_GR_BEPLANTING_WISSELBEPLANTING;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2894;2885.0;http://digitalbuildingdata.tech/nlcs/def/b193d114-3ee6-4567-a0f5-26627ffb43c9;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_OEVERBEPLANTING_RIET;*;_;**;_;GR;_;BEPLANTING;_;OEVERBEPLANTING;_;RIET;_;;_;;_;;-;;-;;AGR-RIET;SGR-RIETLAND;*_**_GR_BEPLANTING_OEVERBEPLANTING_RIET;0.18;90;92;90;90;201,235,112;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;;;4143;4142.0;http://digitalbuildingdata.tech/nlcs/def/a3f46e27-f980-43d4-aef8-e259b3e550d7;http://digitalbuildingdata.tech/nlcs/def/cbe60208-5552-44a7-ba92-6605cdbf8df8
GRAS_KRUIDENRIJK;*;_;**;_;GR;_;GRAS;_;KRUIDENRIJK;_;;_;;_;;_;;-;;-;;AGR-KRUIDEN;SGR-KRUIDEN;*_**_GR_GRAS_KRUIDENRIJK;0.18;80;80;80;80;140,168,0;CONTINUOUS;0.35;80;80;80;80;253;CONTINUOUS;0.35;80;80;80;80;253;V-CONTINUOUS-SO;0.35;80;80;80;80;253;CONTINUOUS;;;2899;401.0;http://digitalbuildingdata.tech/nlcs/def/ab439496-2405-4b72-9e0d-f1168ba7a3db;http://digitalbuildingdata.tech/nlcs/def/cc940334-64c4-42fc-a846-a38b7435777a
BEPLANTING_VASTE PLANTEN;*;_;**;_;GR;_;BEPLANTING;_;VASTE PLANTEN;_;;_;;_;;_;;-;;-;;AGR-VASTEPLANTEN;SGR-VASTEPLANTEN;*_**_GR_BEPLANTING_VASTE PLANTEN;0.18;90;92;90;90;140,168,0;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2893;2885.0;http://digitalbuildingdata.tech/nlcs/def/62701e5e-a6da-457e-9437-22b5c29fcec3;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_BOSPLANTSOEN;*;_;**;_;GR;_;BEPLANTING;_;BOSPLANTSOEN;_;;_;;_;;_;;-;;-;;AGR-BOSPLANTSOEN;SGR-BOSPLANTSOEN;*_**_GR_BEPLANTING_BOSPLANTSOEN;0.18;90;92;90;90;140,168,0;GR-PLANTSOEN-SO;0.35;90;92;90;90;253;GR-PLANTSOEN-SO;0.35;90;92;90;90;253;V-GR-PLANTSOEN-SO;0.35;90;92;90;90;253;GR-PLANTSOEN-SO;;;2887;2885.0;http://digitalbuildingdata.tech/nlcs/def/62124d7f-8f57-44a8-8998-83d28f1db5b7;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
STRUWEEL;*;_;**;_;GR;_;STRUWEEL;_;;_;;_;;_;;_;;-;;-;;AGR-STRUWEEL;SGR-STRUWEEL;*_**_GR_STRUWEEL;0.13;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;372;;http://digitalbuildingdata.tech/nlcs/def/65fe9f15-6053-4ffc-a536-7ad4d0943f85;
BOS;*;_;**;_;GR;_;BOS;_;;_;;_;;_;;_;;-;;-;;AGR-BOS;SGR-BOS;*_**_GR_BOS;0.13;40;42;40;40;253;CONTINUOUS;0.35;40;42;40;40;253;CONTINUOUS;0.35;40;42;40;40;253;V-CONTINUOUS-SO;0.35;40;42;40;40;253;CONTINUOUS;;;356;;http://digitalbuildingdata.tech/nlcs/def/d58f6876-6e3a-4a04-9903-a6b8707eb036;
GRAS;*;_;**;_;GR;_;GRAS;_;;_;;_;;_;;_;;-;;-;;AGR-GRAS;SGR-GRAS;*_**_GR_GRAS;0.13;60;62;90;90;253;CONTINUOUS;0.35;60;62;90;90;253;CONTINUOUS;0.35;60;62;90;90;253;V-CONTINUOUS-SO;0.35;60;62;90;90;253;CONTINUOUS;;;401;;http://digitalbuildingdata.tech/nlcs/def/cc940334-64c4-42fc-a846-a38b7435777a;
SPORTVELD;*;_;**;_;GR;_;SPORTVELD;_;;_;;_;;_;;_;;-;;-;;AGR-SPORTVELD;SGR-SPORTVELD;*_**_GR_SPORTVELD;0.13;60;62;90;90;253;CONTINUOUS;0.35;60;62;90;90;253;CONTINUOUS;0.35;60;62;90;90;253;V-CONTINUOUS-SO;0.35;60;62;90;90;253;CONTINUOUS;;;406;;http://digitalbuildingdata.tech/nlcs/def/8a2155d5-95af-425d-b74f-436c61fd0429;
PLANTGATVERBETERING;*;_;**;_;GR;_;PLANTGATVERBETERING;_;;_;;_;;_;;_;;-;;-;;AGR-PLANTGATVERBETERING;SGR-PLANTGATVERBETERING;*_**_GR_PLANTGATVERBETERING;0.13;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;364;;http://digitalbuildingdata.tech/nlcs/def/9f807563-95bc-404e-9120-933181c1a2cc;
BEPLANTING;*;_;**;_;GR;_;BEPLANTING;_;;_;;_;;_;;_;;-;;-;;AGR-BEPLANTING;SGR-BEPLANTING;*_**_GR_BEPLANTING;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2885;;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a;
MOERAS;*;_;**;_;GR;_;MOERAS;_;;_;;_;;_;;_;;-;;-;;AGR-MOERAS;SGR-MOERAS;*_**_GR_MOERAS;0.13;120;122;120;120;253;CONTINUOUS;0.35;120;122;120;120;253;CONTINUOUS;0.35;120;122;120;120;253;V-CONTINUOUS-SO;0.35;120;122;120;120;253;CONTINUOUS;;;412;;http://digitalbuildingdata.tech/nlcs/def/1e580ff4-9465-4193-8499-743cc55d76bf;
GRONDVERBETERING;*;_;**;_;GR;_;GRONDVERBETERING;_;;_;;_;;_;;_;;-;;-;;AGR-PLANTGATVERBETERING;SGR-PLANTGATVERBETERING;*_**_GR_GRONDVERBETERING;0.13;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;;;4771;;http://digitalbuildingdata.tech/nlcs/def/15d59f4d-2c55-42d2-9ea4-9f56094fb2ad;
FRUITTEELT_BOOMGAARD;*;_;**;_;GR;_;FRUITTEELT;_;BOOMGAARD;_;;_;;_;;_;;-;;-;;;SGR-BOOMGAARD;*_**_GR_FRUITTEELT_BOOMGAARD;0.13;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;3371;3370.0;http://digitalbuildingdata.tech/nlcs/def/524d3d32-f00d-4414-ba52-42cba88b3f94;http://digitalbuildingdata.tech/nlcs/def/1b395a4e-b3e2-4d76-9fba-55dc9117ebfc
DUIN_OPEN VEGETATIE;*;_;**;_;GR;_;DUIN;_;OPEN VEGETATIE;_;;_;;_;;_;;-;;-;;;SGR-VEGETATIE_OPEN-SO;*_**_GR_DUIN_OPEN VEGETATIE;0.13;40;42;40;40;253;CONTINUOUS;0.35;40;42;40;40;253;CONTINUOUS;0.35;40;42;40;40;253;V-CONTINUOUS-SO;0.35;40;42;40;40;253;CONTINUOUS;;;3367;3366.0;http://digitalbuildingdata.tech/nlcs/def/a3e4c69f-6357-4684-8cd9-b265b1f44bbc;http://digitalbuildingdata.tech/nlcs/def/c53d6dfd-cc8d-42f7-99b3-16224daddda9
