omschrijving;status;underscore;discipline;underscore2;hoofdgroep;underscore3;object;underscore4;subobject01;underscore5;subobject02;underscore6;subobject03;underscore7;subobject04;underscore8;subobject05;streepje;bewerking;streepje2;schaal;aobject;sobject;laagnaam;lw_b;kl_b;kl_b_a;kl_b_gd;kl_b_gn;kl_b_v;lt_b;lw_n;kl_n;kl_n_a;kl_n_gd;kl_n_gn;kl_n_v;lt_n;lw_v;kl_v;kl_v_a;kl_v_gd;kl_v_gn;kl_v_v;lt_v;lw_t;kl_t;kl_t_a;kl_t_gd;kl_t_gn;kl_t_v;lt_t;vrkl_kort;vrkl_lang;id_nummer;kind_van;objectURI;kind_vanURI
KUNSTWERK_WILDWISSEL_ECOTUNNEL_WILDTUNNEL;*;_;**;_;KW;_;KUNSTWERK;_;WILDWISSEL;_;ECOTUNNEL;_;WILDTUNNEL;_;;_;;-;;-;;;;*_**_KW_KUNSTWERK_WILDWISSEL_ECOTUNNEL_WILDTUNNEL;0.18;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;V-CONTINUOUS-SO;0.35;170;172;170;170;253;CONTINUOUS;;;1467;1465.0;http://digitalbuildingdata.tech/nlcs/def/66fa1c8f-227c-4282-92b3-bc89c1169952;http://digitalbuildingdata.tech/nlcs/def/14980fbb-50c9-4906-bb09-342965629ff3
KUNSTWERK_WILDWISSEL_ECOTUNNEL_VEETUNNEL;*;_;**;_;KW;_;KUNSTWERK;_;WILDWISSEL;_;ECOTUNNEL;_;VEETUNNEL;_;;_;;-;;-;;;;*_**_KW_KUNSTWERK_WILDWISSEL_ECOTUNNEL_VEETUNNEL;0.18;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;V-CONTINUOUS-SO;0.35;170;172;170;170;253;CONTINUOUS;;;1466;1465.0;http://digitalbuildingdata.tech/nlcs/def/9be3d8a9-fadb-4203-bc90-8376f5dd029b;http://digitalbuildingdata.tech/nlcs/def/14980fbb-50c9-4906-bb09-342965629ff3
KUNSTWERK_WILDWISSEL_ECODUCT_WILDVIADUCT;*;_;**;_;KW;_;KUNSTWERK;_;WILDWISSEL;_;ECODUCT;_;WILDVIADUCT;_;;_;;-;;-;;;;*_**_KW_KUNSTWERK_WILDWISSEL_ECODUCT_WILDVIADUCT;0.18;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;V-CONTINUOUS-SO;0.35;170;172;170;170;253;CONTINUOUS;;;1464;1463.0;http://digitalbuildingdata.tech/nlcs/def/6627a4c4-081c-4289-a48e-e5d3afc85554;http://digitalbuildingdata.tech/nlcs/def/96eef5a0-ec8a-43fd-a56a-a0e8f7b31f75
KUNSTWERK_GELUIDSWERING_SCHERM_BETON;*;_;**;_;KW;_;KUNSTWERK;_;GELUIDSWERING;_;SCHERM;_;BETON;_;;_;;-;;-;;;;*_**_KW_KUNSTWERK_GELUIDSWERING_SCHERM_BETON;0.18;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;1434;1432.0;http://digitalbuildingdata.tech/nlcs/def/6b642fc6-dcdc-4910-842e-4ed08fe27dfb;http://digitalbuildingdata.tech/nlcs/def/f026f505-3edd-4cf5-a3b4-d39f510ca5b8
KUNSTWERK_GELUIDSWERING_SCHERM_HOUT;*;_;**;_;KW;_;KUNSTWERK;_;GELUIDSWERING;_;SCHERM;_;HOUT;_;;_;;-;;-;;;;*_**_KW_KUNSTWERK_GELUIDSWERING_SCHERM_HOUT;0.18;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;1436;1432.0;http://digitalbuildingdata.tech/nlcs/def/f484201f-7a17-4463-977a-1066301d81fa;http://digitalbuildingdata.tech/nlcs/def/f026f505-3edd-4cf5-a3b4-d39f510ca5b8
KUNSTWERK_GELUIDSWERING_SCHERM_BEGROEIING;*;_;**;_;KW;_;KUNSTWERK;_;GELUIDSWERING;_;SCHERM;_;BEGROEIING;_;;_;;-;;-;;;;*_**_KW_KUNSTWERK_GELUIDSWERING_SCHERM_BEGROEIING;0.18;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;1433;1432.0;http://digitalbuildingdata.tech/nlcs/def/25f088bf-d9ad-4744-81ca-b0aa3bdd7992;http://digitalbuildingdata.tech/nlcs/def/f026f505-3edd-4cf5-a3b4-d39f510ca5b8
KUNSTWERK_GELUIDSWERING_SCHERM_GLAS;*;_;**;_;KW;_;KUNSTWERK;_;GELUIDSWERING;_;SCHERM;_;GLAS;_;;_;;-;;-;;;;*_**_KW_KUNSTWERK_GELUIDSWERING_SCHERM_GLAS;0.18;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;1435;1432.0;http://digitalbuildingdata.tech/nlcs/def/35036684-ee41-4714-8cfd-d7a7bf5f6609;http://digitalbuildingdata.tech/nlcs/def/f026f505-3edd-4cf5-a3b4-d39f510ca5b8
KUNSTWERK_GELUIDSWERING_SCHERM_METAAL;*;_;**;_;KW;_;KUNSTWERK;_;GELUIDSWERING;_;SCHERM;_;METAAL;_;;_;;-;;-;;;;*_**_KW_KUNSTWERK_GELUIDSWERING_SCHERM_METAAL;0.18;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;1437;1432.0;http://digitalbuildingdata.tech/nlcs/def/5df6e5b9-be6d-4061-bab7-b39524b8b751;http://digitalbuildingdata.tech/nlcs/def/f026f505-3edd-4cf5-a3b4-d39f510ca5b8
KUNSTWERK_TUNNELBAK_WEGVERKEERSTUNNELBAK;*;_;**;_;KW;_;KUNSTWERK;_;TUNNELBAK;_;WEGVERKEERSTUNNELBAK;_;;_;;_;;-;;-;;;;*_**_KW_KUNSTWERK_TUNNELBAK_WEGVERKEERSTUNNELBAK;0.18;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;V-CONTINUOUS-SO;0.35;170;172;170;170;253;CONTINUOUS;;;1456;1454.0;http://digitalbuildingdata.tech/nlcs/def/6f46ea91-1c42-4951-8894-686aa93e7931;http://digitalbuildingdata.tech/nlcs/def/60edf1be-a06c-49a7-85ba-3925c6bbeb45
KUNSTWERK_TUNNELBAK_SPOORTUNNELBAK;*;_;**;_;KW;_;KUNSTWERK;_;TUNNELBAK;_;SPOORTUNNELBAK;_;;_;;_;;-;;-;;;;*_**_KW_KUNSTWERK_TUNNELBAK_SPOORTUNNELBAK;0.18;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;V-CONTINUOUS-SO;0.35;170;172;170;170;253;CONTINUOUS;;;1455;1454.0;http://digitalbuildingdata.tech/nlcs/def/a3386ee9-e734-448f-a928-836f001305cf;http://digitalbuildingdata.tech/nlcs/def/60edf1be-a06c-49a7-85ba-3925c6bbeb45
