"FASE","BIB","ARCERING","opt","ID","VRKL_KORT","VRKL_LANG","STATUS"
"","AVH","AVH-GLAS-SO","SO","396","glas","","*"
"","AVH","AVH-GLAS-SO","SO","151","glas","","*"
"","AVH","AVH-GEOTEXTIEL-SO","SO","150","geotextiel","","*"
"","AVH","AVH-GEOTEXTIEL-SO","SO","372","geotextiel","","*"
"","AVH","AVH-BESTORTING_01-SO","SO","113","bestorting","","*"
"","AVH","AVH-BESTORTING_02-SO","SO","114","bestortingoptie1","","*"
"","AVH","AVH-PLANKEN_03-SO","SO","196","plankensoort03","","*"
"","AVH","AVH-PLANKEN_03-SO","SO","423","plankensoort03","","*"
"","AVH","AVH-PLANKEN_01-SO","SO","194","plankensoort01","","*"
"","AVH","AVH-PLANKEN_01-SO","SO","421","plankensoort01","","*"
"","AVH","AVH-PLANKEN_02-SO","SO","195","plankensoort02","","*"
"","AVH","AVH-PLANKEN_02-SO","SO","422","plankensoort02","","*"
"","AVH","AVH-BSS_WAALFORMAAT_HALFST-SO","SO","300","waalformaathalfsteensverband","","*"
"","AVH","AVH-BSS_WAALFORMAAT_HALFST-SO","SO","138","waalformaathalfsteensverband","","*"
"","AVH","AVH-BSS_KEIFORMAAT_KEPER-SO","SO","131","keiformaatkeperverband","","*"
"","AVH","AVH-BSS_KEIFORMAAT_KEPER-SO","SO","294","keiformaatkeperverband","","*"
"","AVH","AVH-BSS_KEIFORMAAT_BLOK_STREEP-SO","SO","127","blokverbandbssmetschuinelijnen","","*"
"","AVH","AVH-BSS_KEIFORMAAT_BLOK_STREEP-SO","SO","290","blokverbandbssmetschuinelijnen","","*"
"","AVH","AVH-BSS_KEIFORMAAT_HALFST-SO","SO","130","keiformaathalfsteensverband","","*"
"","AVH","AVH-BSS_KEIFORMAAT_HALFST-SO","SO","293","keiformaathalfsteensverband","","*"
"","AVH","AVH-BSS_LINGEFORMAAT_DRIEKWART-SO","SO","132","lingeformaatdriekwartbandplat","","*"
"","AVH","AVH-BSS_LINGEFORMAAT_DRIEKWART-SO","SO","295","lingeformaatdriekwartbandplat","","*"
"","AVH","AVH-BSS_LINGEFORMAAT_ELLEBOOG-SO","SO","133","lingeformaatelleboogverband","","*"
"","AVH","AVH-BSS_LINGEFORMAAT_ELLEBOOG-SO","SO","296","lingeformaatelleboogverband","","*"
"","AVH","AVH-BSS_WAALFORMAAT_KEPER-SO","SO","139","waalformaatkeperverband","","*"
"","AVH","AVH-BSS_WAALFORMAAT_KEPER-SO","SO","301","waalformaatkeperverband","","*"
"","AVH","AVH-BSS_LINGEFORMAAT-SOD","SOD","440","bsslingeformaat","","*"
"","AVH","AVH-BSS_KEIFORMAAT-SOD","SOD","439","bsskeiformaat","","*"
"","AVH","AVH-BSS_LINGEFORMAAT_KLEZOOR-SO","SO","297","klezoorverbandlingeformaat","","*"
"","AVH","AVH-BSS_LINGEFORMAAT_KLEZOOR-SO","SO","134","klezoorverbandlingeformaat","","*"
"","AVH","AVH-BSS_LINGEFORMAAT_KEPER-SO","SO","428","lingeformaatkeperverband","","*"
"","AVH","AVH-BSS_LINGEFORMAAT_KEPER-SO","SO","429","lingeformaatkeperverband","","*"
"","AVH","AVH-BSS_DIKFORMAAT_KEPER-SO","SO","126","dikformaatkeper","","*"
"","AVH","AVH-BSS_DIKFORMAAT_KEPER-SO","SO","288","dikformaatkeper","","*"
"","AVH","AVH-BSS_DIKFORMAAT_ELLEBOOG-SO","SO","123","dikformaatelleboogverband","","*"
"","AVH","AVH-BSS_DIKFORMAAT_ELLEBOOG-SO","SO","286","dikformaatelleboogverband","","*"
"","AVH","AVH-BSS_KEIFORMAAT_ELLEBOOG-SO","SO","292","keiformaatelleboogverband","","*"
"","AVH","AVH-BSS_KEIFORMAAT_ELLEBOOG-SO","SO","129","keiformaatelleboogverband","","*"
