"OMSCHRIJVING","STATUS","DISCIPLINE","Hoofdgroep","Object","SubObject01","SubObject02","SubObject03","SubObject04","SubObject05","Bewerking","Element","Arcering","Symbool","Laagnaam","BLineweight","BColor","BColorA","BColorGD","BColorGN","BColorV","B_Linetype","NLineweight","NColor","NColorA","NColorGD","NColorGN","NColorV","N_Linetype","VLineweight","VColor","VColorA","VColorGD","VColorGN","VColorV","V_Linetype","TLineweight","TColor","TColorA","TColorGD","TColorGN","TColorV","T_Linetype","VRKL_KORT","VRKL_LANG","ID","KIND_VAN"
"HOUTVORM","*","**","HC","HOUTVORM","","","","","","","G/A","ACO:ACO-HOUT","","*-**-HC-HOUTVORM-G/A","0.18","30","252","40","10","253","CONTINUOUS","0.25","30","252","40","10","253","CONTINUOUS","0.25","30","252","40","10","253","V-CONTINUOUS-SO","0.25","30","252","40","10","253","CONTINUOUS","","","2797",""
"AANGRENZENDE CONSTRUCTIE","*","**","HC","AANGRENZENDE CONSTRUCTIE","","","","","","","G","","","*-**-HC-AANGRENZENDE CONSTRUCTIE-G","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","V-CONTINUOUS-SO","0.18","7","253","7","20","253","CONTINUOUS","","","2803",""
"VERBINDING","*","**","HC","VERBINDING","","","","","","","G","","","*-**-HC-VERBINDING-G","0.18","140","252","130","10","253","CONTINUOUS","0.18","140","252","130","10","253","CONTINUOUS","0.18","140","252","130","10","253","V-CONTINUOUS-SO","0.18","140","252","130","10","253","CONTINUOUS","","","2800",""
"REPARATIES","*","**","HC","REPARATIES","","","","","","","G","","","*-**-HC-REPARATIES-G","0.18","170","172","170","170","253","CONTINUOUS","0.25","170","172","170","170","253","CONTINUOUS","0.25","170","172","170","170","253","V-CONTINUOUS-SO","0.25","170","172","170","170","253","CONTINUOUS","","","2808",""
"LEVENSDUURVERLENGENDE MAATREGEL","*","**","HC","LEVENSDUURVERLENGENDE MAATREGEL","","","","","","","G","","","*-**-HC-LEVENSDUURVERLENGENDE MAATREGEL-G","0.18","170","172","170","170","253","CONTINUOUS","0.25","170","172","170","170","253","CONTINUOUS","0.25","170","172","170","170","253","V-CONTINUOUS-SO","0.25","170","172","170","170","253","CONTINUOUS","","","2809",""
"OVERIG MATERIAAL","*","**","HC","OVERIG MATERIAAL","","","","","","","G","","","*-**-HC-OVERIG MATERIAAL-G","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","V-CONTINUOUS-SO","0.18","7","253","7","20","253","CONTINUOUS","","","2807",""
"HOUTVORM_BALK","*","**","HC","HOUTVORM","BALK","","","","","","G","","","*-**-HC-HOUTVORM_BALK-G","0.18","30","252","40","10","253","CONTINUOUS","0.25","30","252","40","10","253","CONTINUOUS","0.25","30","252","40","10","253","V-CONTINUOUS-SO","0.25","30","252","40","10","253","CONTINUOUS","","","2798","2797"
"HOUTVORM_PLAAT","*","**","HC","HOUTVORM","PLAAT","","","","","","G","","","*-**-HC-HOUTVORM_PLAAT-G","0.18","30","252","40","10","253","CONTINUOUS","0.25","30","252","40","10","253","CONTINUOUS","0.25","30","252","40","10","253","V-CONTINUOUS-SO","0.25","30","252","40","10","253","CONTINUOUS","","","2799","2797"
"AANGRENZENDE CONSTRUCTIE_METSELWERK","*","**","HC","AANGRENZENDE CONSTRUCTIE","METSELWERK","","","","","","G/A","ACO:ACO-METSELWERK","","*-**-HC-AANGRENZENDE CONSTRUCTIE_METSELWERK-G/A","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","V-CONTINUOUS-SO","0.18","7","253","7","20","253","CONTINUOUS","","","2806","2803"
"AANGRENZENDE CONSTRUCTIE_STAAL","*","**","HC","AANGRENZENDE CONSTRUCTIE","STAAL","","","","","","G/A","ACO:ACO-STAAL","","*-**-HC-AANGRENZENDE CONSTRUCTIE_STAAL-G/A","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","CONTINUOUS","0.18","7","253","7","20","253","V-CONTINUOUS-SO","0.18","7","253","7","20","253","CONTINUOUS","","","2805","2803"
