"Code","Verklaring"
"CO","Vorm- en wapeningstekeningen van civieltechnische constructies, zoals: brug, tunnel, onderdoorgang, viaduct, sluizencomplex, spoortunnel, faunapassage."
"GV","Vormgeving van landschappelijke en stedelijk groene inrichting van de omgeving ten behoeve van beplantingsplannen, groenbeheerplannen, groenstructuurplannen en dergelijke. Situatie-, dwars- en lengteprofielen en detailtekeningen."
"ME","Landmeetkundige tekeningen Bijvoorbeeld: het genereren van een GIS-model op basis van het IMgeo protocol vanuit een NLCS model."
"MI","Vormgeving van (water)bodemsaneringen, inclusief situatie-, dwars- en lengteprofielen en detailtekeningen."
"OI","Vormgeving van de ondergrondse infrastructuur (kabels en leidingen). Bestaande situatie inclusief te verwijderen en toekomstige situatie. Situatie-, dwars- en lengteprofielen en detailtekeningen."
"PV","Vormgeving van stedenbouwkundige ontwerpen: verkavelingsplannen, inrichtingsplannen, matenplannen en exploitatieplannen."
"SB","Vormgeving van spoorwegen en kunstwerken, bestaande situatie inclusief te verwijderen en toekomstige situatie. Inclusief breedspoor, smalspoor, tram, metro en lightrail. Situatie-, dwars- en lengteprofielen en detailtekeningen."
"WA","Vormgeving van waterwegen zoals: rivieren, kanalen, uiterwaarden, oeverbescherming en zeeweringen, inclusief kunstwerken, bestaande situatie inclusief te verwijderen en toekomstige situatie. Situatie-, dwars- en lengteprofielen en detailtekeningen."
"WE","Vormgeving van wegen en kunstwerken, bestaande situatie inclusief te verwijderen en toekomstige situatie met daarin opgenomen wegmeubilair, markering en geleideconstructies. Situatie-, dwars- en lengteprofielen en detailtekeningen."
"XX","Onafhankelijk van discipline"
