"Afkorting","Hoofdgroep","ID"
"AL","ALgemeen",""
"AM","Assen en Metrering",""
"BC","BetonConstructies",""
"BV","BermbeveiligingsVoorzieningen",""
"FC","FunderingsConstructies",""
"FV","FaunaVoorzieningen",""
"GC","GrondkerendeConstructies",""
"GK","GrondKeringen",""
"GR","GRoen",""
"GW","GrondWerk",""
"HC","HoutConstructies",""
"HU","HUlpconstructies",""
"IE","InrichtingsElementen",""
"IV","Installaties Vaarweg",""
"IW","Installaties Weg",""
"KC","KunststofConstructies",""
"KG","Kadastrale informatie en Grenzen",""
"KL","Kabels en Leidingen",""
"KW","KunstWerken",""
"MC","MechanischeConstructies",""
"MO","Milieu en Onderzoek",""
"MW","MetselWerk",""
"OB","Oever",""
"OG","OnderGrond",""
"OV","Openbare Verlichting",""
"RI","RIolering",""
"SC","StaalConstructies",""
"VH","VerHardingen",""
"VV","Verkeersmaatregelen Vaarweg",""
"VW","Verkeersmaatregelen Weg",""
"WH","WaterHuishouding",""
"ZZ","Voor alle hoofdgroepen",""
