"FASE","sBIB","SYMBOOL","SYMBOOL_alt","ID","opt","STATUS","VRKL_KORT","VRKL_LANG"
"V","SVH","V-SVH-GEOTEXTIEL_KL-SO","SVH:V-SVH-GEOTEXTIEL_KL","4002","SO","*","",""
"","SVH","SVH-GEOTEXTIEL_KL-SO","SVH:SVH-GEOTEXTIEL_KL","3904","SO","*","",""
"V","SVH","V-SVH-GEOTEXTIEL-SO","SVH:V-SVH-GEOTEXTIEL","1450","SO","*","",""
"","SVH","SVH-GEOTEXTIEL-SO","SVH:SVH-GEOTEXTIEL","1218","SO","*","",""
"","SVH","SVH-DREMPEL_PREFAB_2400X500","SVH:SVH-DREMPEL_PREFAB_2400X50","1186","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1700X1000","SVH:SVH-DREMPEL_PREFAB_1700X100","1174","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1700X1000","SVH:T-SVH-DREMPEL_PREFAB_1700X100","2170","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_3000X1000","SVH:V-SVH-DREMPEL_PREFAB_3000X100","2231","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1500X600","SVH:T-SVH-DREMPEL_PREFAB_1500X60","2168","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1750X1000_RECHTS","SVH:V-SVH-DREMPEL_PREFAB_1750X1000_RECHT","2215","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_4000X500","SVH:B-SVH-DREMPEL_PREFAB_4000X50","1156","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1750X1200","SVH:T-SVH-DREMPEL_PREFAB_1750X120","2175","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1000X1200","SVH:SVH-DREMPEL_PREFAB_1000X120","1162","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_2400X600","SVH:SVH-DREMPEL_PREFAB_2400X60","1188","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X1200","SVH:T-SVH-DREMPEL_PREFAB_2400X120","2180","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X1000","SVH:V-SVH-DREMPEL_PREFAB_2400X100","2219","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_4200X1000","SVH:T-SVH-DREMPEL_PREFAB_4200X100","2194","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X750_LINKS","SVH:B-SVH-DREMPEL_PREFAB_2400X750_LINK","1149","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X750_LINKS","SVH:V-SVH-DREMPEL_PREFAB_2400X750_LINK","2227","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_BUS_RECHTS","SVH:V-SVH-DREMPEL_PREFAB_BUS_RECHT","2239","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X750_RECHTS","SVH:B-SVH-DREMPEL_PREFAB_2400X750_RECHT","1150","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X600_RUITPROFIEL","SVH:B-SVH-DREMPEL_PREFAB_2400X600_RUITPROFIE","1148","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1200X1000","SVH:SVH-DREMPEL_PREFAB_1200X100","1166","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1750X600","SVH:SVH-DREMPEL_PREFAB_1750X60","1181","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_2400X750_RECHTS","SVH:SVH-DREMPEL_PREFAB_2400X750_RECHT","1191","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1500X1200","SVH:V-SVH-DREMPEL_PREFAB_1500X120","2207","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1700X500","SVH:SVH-DREMPEL_PREFAB_1700X50","1175","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X600","SVH:V-SVH-DREMPEL_PREFAB_2400X60","2225","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_4000X1000","SVH:V-SVH-DREMPEL_PREFAB_4000X100","2233","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_RECHTS","SVH:V-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_RECHT","2230","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_3000X500","SVH:T-SVH-DREMPEL_PREFAB_3000X50","2191","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_4000X1000","SVH:SVH-DREMPEL_PREFAB_4000X100","1196","","*","",""
