"ID","HOOFDGROEP","LIJNTYPE","DEFINITIE"
"724","VH","VH-TROTTOIRBAND_VARIANT01-SO","A,10,-2,2,-2,2,-2
"
"443","VH","VH-GELEIDEBAND-SO","A,2,-2,0,-2
"
"486","VH","V-VH-PLATEAUBAND-SO","A,2,-2,0,-2,1,[VERWIJDEREN2,NLCS.SHX,s=1],1,-2,0,-2
"
"463","VH","V-VH-OPSLUITBAND-SO","A,4,-2,2,-2,2,[VERWIJDEREN2,NLCS.SHX,s=1],2,-2,2,-2
"
"444","VH","V-VH-GELEIDEBAND-SO","A,2,-2,0,-2,1,[VERWIJDEREN2,NLCS.SHX,s=1],1,-2,0,-2
"
"723","VH","V-VH-SCHEIDINGSBAND_VARIANT01-SO","A,4,[VERWIJDEREN2,NLCS.SHX,s=1],4,-2,0,-2,0,-2
"
"495","VH","VH-PWSBAND_STELLEN-SO","A,2.5,[""S"",standard,x=-0.5,y=-.9,s=1.8],2.5,-5
"
"715","VH","V-VH-GAZONBAND_VARIANT01-SO","A,3.75,[VERWIJDEREN2,NLCS.SHX,s=1],3.75,-2
"
"485","VH","VH-PLATEAUBAND-SO","A,2,-2,0,-2
"
"442","VH","VH-GAZONBAND_STELLEN-SO","A,2.5,[""S"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],2.5,-2
"
"484","VH","VH-OPSLUITBAND_STELLEN-SO","A,4,-2,2,-2,2,[""S"",standard,x=-0.5,y=-.9,s=1.8],2,-2,2,-2
"
"555","VH","VH-ZAAGSNEDE-SO","A,.00001,-2.54,[ZAAGSNEDE1,NLCS.SHX,x=-2.54,s=2.54],-5.08,[ZAAGSNEDE1,NLCS.SHX,r=180,x=2.54,s=2.54],-2.54
"
"753","VH","VH-ASFALTBAND_STELLEN-SO","A,8,[""S"",standard,U=0.0,x=-0.5,y=-.9,s=1.8],8,-4,0,-2,0,-2,0,-4"
"524","VH","VH-SIGNALERINGSBAND-SO","A,8,-0.4,[LED,NLCS.SHX,s=0.025,x=-0.1],-0.4
"
"525","VH","V-VH-SIGNALERINGSBAND-SO","A,2,[VERWIJDEREN2,NLCS.SHX,s=1],2,-0.5,[LED,NLCS.SHX,s=0.025,x=-0.1],-0.5
"
"535","VH","V-VH-TROTTOIRBAND-SO","A,2.5,[VERWIJDEREN2,NLCS.SHX,s=1],2.5,-2,2,-2,2,-2
"
