"FASE","BIB","SYMBOOL","ID"
"V","SVH","V-SVH-GEOTEXTIEL_KL-SO","4002"
"","SVH","SVH-GEOTEXTIEL_KL-SO","3904"
"V","SVH","V-SVH-GEOTEXTIEL-SO","1450"
"","SVH","SVH-GEOTEXTIEL-SO","1218"
"","SVH","SVH-DREMPEL_PREFAB_2400X500","1186"
"","SVH","SVH-DREMPEL_PREFAB_1700X1000","1174"
"T","SVH","T-SVH-DREMPEL_PREFAB_1700X1000","2170"
"V","SVH","V-SVH-DREMPEL_PREFAB_3000X1000","2231"
"T","SVH","T-SVH-DREMPEL_PREFAB_1500X600","2168"
"V","SVH","V-SVH-DREMPEL_PREFAB_1750X1000_RECHTS","2215"
"B","SVH","B-SVH-DREMPEL_PREFAB_4000X500","1156"
"T","SVH","T-SVH-DREMPEL_PREFAB_1750X1200","2175"
"","SVH","SVH-DREMPEL_PREFAB_1000X1200","1162"
"","SVH","SVH-DREMPEL_PREFAB_2400X600","1188"
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X1200","2180"
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X1000","2219"
"T","SVH","T-SVH-DREMPEL_PREFAB_4200X1000","2194"
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X750_LINKS","1149"
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X750_LINKS","2227"
"V","SVH","V-SVH-DREMPEL_PREFAB_BUS_RECHTS","2239"
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X750_RECHTS","1150"
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X600_RUITPROFIEL","1148"
"","SVH","SVH-DREMPEL_PREFAB_1200X1000","1166"
"","SVH","SVH-DREMPEL_PREFAB_1750X600","1181"
"","SVH","SVH-DREMPEL_PREFAB_2400X750_RECHTS","1191"
"V","SVH","V-SVH-DREMPEL_PREFAB_1500X1200","2207"
"","SVH","SVH-DREMPEL_PREFAB_1700X500","1175"
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X600","2225"
"V","SVH","V-SVH-DREMPEL_PREFAB_4000X1000","2233"
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_RECHTS","2230"
"T","SVH","T-SVH-DREMPEL_PREFAB_3000X500","2191"
"","SVH","SVH-DREMPEL_PREFAB_4000X1000","1196"
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_LINKS","1151"
"V","SVH","V-SVH-DREMPEL_PREFAB_1200X1000_RUITPROFIEL","2204"
"T","SVH","T-SVH-DREMPEL_PREFAB_1750X500","2176"
"","SVH","SVH-DREMPEL_PREFAB_2400X1200_RUITPROFIEL","1185"
"","SVH","SVH-DREMPEL_PREFAB_GUMACON","3192"
"","SVH","SVH-DREMPEL_PREFAB_2400X1000_RUITPROFIEL","1183"
"","SVH","SVH-DREMPEL_PREFAB_2400X500_RUITPROFIEL","1187"
"","SVH","SVH-DREMPEL_PREFAB_1500X1200","1170"
"","SVH","SVH-DREMPEL_PREFAB_1500X600","1172"
"","SVH","SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_LINKS","1192"
"","SVH","SVH-DREMPEL_PREFAB_1200X500","1168"
"","SVH","SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_RECHTS","1193"
"","SVH","SVH-DREMPEL_PREFAB_1000X600","1164"
"","SVH","SVH-DREMPEL_PREFAB_3000X500","1195"
"","SVH","SVH-DREMPEL_PREFAB_1750X1000_RECHTS","1178"
"","SVH","SVH-DREMPEL_PREFAB_1000X600_RUITPROFIEL","1165"
"","SVH","SVH-DREMPEL_PREFAB_1750X500","1180"
"","SVH","SVH-DREMPEL_PREFAB_4000X500","1197"
"","SVH","SVH-DREMPEL_PREFAB_BUS_RECHTS","1202"
"","SVH","SVH-DREMPEL_PREFAB_BUS_LINKS","1201"
"","SVH","SVH-DREMPEL_PREFAB_1750X1000","1176"
"","SVH","SVH-DREMPEL_PREFAB_900X500","1199"
"","SVH","SVH-DREMPEL_PREFAB_4200X1000","1198"
"","SVH","SVH-DREMPEL_PREFAB_2400X750_LINKS","1190"
"","SVH","SVH-DREMPEL_PREFAB_2400X600_RUITPROFIEL","1189"
"","SVH","SVH-DREMPEL_PREFAB_BUS","1200"
"","SVH","SVH-DREMPEL_PREFAB_1200X500_RUITPROFIEL","1169"
"","SVH","SVH-DREMPEL_PREFAB_1500X1200_RUITPROFIEL","1171"
"","SVH","SVH-DREMPEL_PREFAB_2400X1000","1182"
"","SVH","SVH-DREMPEL_PREFAB_1750X1200","1179"
"","SVH","SVH-DREMPEL_PREFAB_2400X1200","1184"
"","SVH","SVH-DREMPEL_PREFAB_1000X1200_RUITPROFIEL","1163"
"","SVH","SVH-DREMPEL_PREFAB_1200X1000_RUITPROFIEL","1167"
"","SVH","SVH-DREMPEL_PREFAB_1750X1000_LINKS","1177"
"","SVH","SVH-DREMPEL_PREFAB_3000X1000","1194"
"","SVH","SVH-DREMPEL_PREFAB_1500X600_RUITPROFIEL","1173"
"T","SVH","T-SVH-DREMPEL_PREFAB_1500X1200_RUITPROFIEL","2167"
"T","SVH","T-SVH-DREMPEL_PREFAB_BUS_RECHTS","2198"
"T","SVH","T-SVH-DREMPEL_PREFAB_1200X1000_RUITPROFIEL","2163"
"T","SVH","T-SVH-DREMPEL_PREFAB_BUS_LINKS","2197"
"T","SVH","T-SVH-DREMPEL_PREFAB_1200X1000","2162"
"B","SVH","B-SVH-DREMPEL_PREFAB_1500X600","1131"
"T","SVH","T-SVH-DREMPEL_PREFAB_1200X500","2164"
"V","SVH","V-SVH-DREMPEL_PREFAB_4000X500","2234"
"T","SVH","T-SVH-DREMPEL_PREFAB_1750X1000_LINKS","2173"
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X500_RUITPROFIEL","1146"
"B","SVH","B-SVH-DREMPEL_PREFAB_1500X1200_RUITPROFIEL","1130"
"T","SVH","T-SVH-DREMPEL_PREFAB_BUS","2196"
"V","SVH","V-SVH-DREMPEL_PREFAB_1500X1200_RUITPROFIEL","2208"
"B","SVH","B-SVH-DREMPEL_PREFAB_1750X1000_RECHTS","1137"
"B","SVH","B-SVH-DREMPEL_PREFAB_GUMACON","3156"
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_LINKS","2188"
"T","SVH","T-SVH-DREMPEL_PREFAB_4000X500","2193"
"T","SVH","T-SVH-DREMPEL_PREFAB_1000X600","2160"
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X1200","1143"
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X500","2182"
"B","SVH","B-SVH-DREMPEL_PREFAB_1750X600","1140"
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X1200_RUITPROFIEL","1144"
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X750_LINKS","2186"
"T","SVH","T-SVH-DREMPEL_PREFAB_1500X600_RUITPROFIEL","2169"
"V","SVH","V-SVH-DREMPEL_PREFAB_1700X500","2212"
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_RECHTS","2189"
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X1200","2221"
"T","SVH","T-SVH-DREMPEL_PREFAB_1750X600","2177"
"V","SVH","V-SVH-DREMPEL_PREFAB_1700X1000","2211"
"V","SVH","V-SVH-DREMPEL_PREFAB_1000X1200","2199"
"T","SVH","T-SVH-DREMPEL_PREFAB_1000X1200","2158"
"B","SVH","B-SVH-DREMPEL_PREFAB_1750X1000","1135"
"B","SVH","B-SVH-DREMPEL_PREFAB_1500X1200","1129"
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X1000","2178"
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X1000_RUITPROFIEL","1142"
"B","SVH","B-SVH-DREMPEL_PREFAB_1750X1200","1138"
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_RECHTS","1152"
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X1000","1141"
"V","SVH","V-SVH-DREMPEL_PREFAB_1750X1000_LINKS","2214"
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X1000_RUITPROFIEL","2179"
"T","SVH","T-SVH-DREMPEL_PREFAB_4000X1000","2192"
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X750_RECHTS","2228"
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X1200_RUITPROFIEL","2222"
"V","SVH","V-SVH-DREMPEL_PREFAB_1200X500_RUITPROFIEL","2206"
"V","SVH","V-SVH-DREMPEL_PREFAB_1000X600_RUITPROFIEL","2202"
"B","SVH","B-SVH-DREMPEL_PREFAB_4000X1000","1155"
"T","SVH","T-SVH-DREMPEL_PREFAB_1000X600_RUITPROFIEL","2161"
"V","SVH","V-SVH-DREMPEL_PREFAB_BUS_LINKS","2238"
"B","SVH","B-SVH-DREMPEL_PREFAB_1500X600_RUITPROFIEL","1132"
"T","SVH","T-SVH-DREMPEL_PREFAB_1750X1000","2172"
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_LINKS","2229"
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X500_RUITPROFIEL","2183"
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X1200_RUITPROFIEL","2181"
"T","SVH","T-SVH-DREMPEL_PREFAB_1000X1200_RUITPROFIEL","2159"
"V","SVH","V-SVH-DREMPEL_PREFAB_3000X500","2232"
"T","SVH","T-SVH-DREMPEL_PREFAB_1500X1200","2166"
"T","SVH","T-SVH-DREMPEL_PREFAB_1750X1000_RECHTS","2174"
"T","SVH","T-SVH-DREMPEL_PREFAB_GUMACON","3353"
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X600_RUITPROFIEL","2185"
"V","SVH","V-SVH-DREMPEL_PREFAB_GUMACON","3260"
"T","SVH","T-SVH-DREMPEL_PREFAB_3000X1000","2190"
"B","SVH","B-SVH-DREMPEL_PREFAB_1200X500_RUITPROFIEL","1128"
"B","SVH","B-SVH-DREMPEL_PREFAB_900X500","1158"
"B","SVH","B-SVH-DREMPEL_PREFAB_BUS_RECHTS","1161"
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X500","1145"
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X600","1147"
"V","SVH","V-SVH-DREMPEL_PREFAB_1200X500","2205"
"T","SVH","T-SVH-DREMPEL_PREFAB_1200X500_RUITPROFIEL","2165"
"B","SVH","B-SVH-DREMPEL_PREFAB_BUS","1159"
"V","SVH","V-SVH-DREMPEL_PREFAB_1750X1000","2213"
"B","SVH","B-SVH-DREMPEL_PREFAB_1000X600","1123"
"V","SVH","V-SVH-DREMPEL_PREFAB_1500X600_RUITPROFIEL","2210"
"V","SVH","V-SVH-DREMPEL_PREFAB_1000X1200_RUITPROFIEL","2200"
"T","SVH","T-SVH-DREMPEL_PREFAB_1700X500","2171"
"B","SVH","B-SVH-DREMPEL_PREFAB_4200X1000","1157"
"B","SVH","B-SVH-DREMPEL_PREFAB_1750X500","1139"
"B","SVH","B-SVH-DREMPEL_PREFAB_3000X1000","1153"
"V","SVH","V-SVH-DREMPEL_PREFAB_900X500","2236"
"V","SVH","V-SVH-DREMPEL_PREFAB_1200X1000","2203"
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X600","2184"
"B","SVH","B-SVH-DREMPEL_PREFAB_1700X1000","1133"
"B","SVH","B-SVH-DREMPEL_PREFAB_1750X1000_LINKS","1136"
"V","SVH","V-SVH-DREMPEL_PREFAB_BUS","2237"
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X750_RECHTS","2187"
"V","SVH","V-SVH-DREMPEL_PREFAB_1000X600","2201"
"V","SVH","V-SVH-DREMPEL_PREFAB_1500X600","2209"
"B","SVH","B-SVH-DREMPEL_PREFAB_3000X500","1154"
"V","SVH","V-SVH-DREMPEL_PREFAB_1750X1200","2216"
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X600_RUITPROFIEL","2226"
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X500_RUITPROFIEL","2224"
"T","SVH","T-SVH-DREMPEL_PREFAB_900X500","2195"
"B","SVH","B-SVH-DREMPEL_PREFAB_1700X500","1134"
"V","SVH","V-SVH-DREMPEL_PREFAB_1750X600","2218"
"B","SVH","B-SVH-DREMPEL_PREFAB_1200X1000_RUITPROFIEL","1126"
"B","SVH","B-SVH-DREMPEL_PREFAB_1200X1000","1125"
"V","SVH","V-SVH-DREMPEL_PREFAB_1750X500","2217"
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X500","2223"
"B","SVH","B-SVH-DREMPEL_PREFAB_1000X1200","1121"
"B","SVH","B-SVH-DREMPEL_PREFAB_BUS_LINKS","1160"
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X1000_RUITPROFIEL","2220"
"B","SVH","B-SVH-DREMPEL_PREFAB_1200X500","1127"
"V","SVH","V-SVH-DREMPEL_PREFAB_4200X1000","2235"
"B","SVH","B-SVH-DREMPEL_PREFAB_1000X600_RUITPROFIEL","1124"
"B","SVH","B-SVH-DREMPEL_PREFAB_1000X1200_RUITPROFIEL","1122"
"","SVH","SVH-SIERBESTRATING_02-SO","1334"
"V","SVH","V-SVH-SIERBESTRATING_01_KL-SO","4037"
"V","SVH","V-SVH-SIERBESTRATING_01-SO","1493"
"V","SVH","V-SVH-SIERBESTRATING_02-SO","1494"
"V","SVH","V-SVH-SIERBESTRATING_02_KL-SO","4038"
"","SVH","SVH-SIERBESTRATING_02_KL-SO","3938"
"","SVH","SVH-SIERBESTRATING_01-SO","1333"
"","SVH","SVH-SIERBESTRATING_01_KL-SO","3937"
"","SVH","SVH-KANTOPSLUITING_RIJWIELPADBAND_120X250-D","2399"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_60X150-D","2381"
"B","SVH","B-SVH-KANTOPSLUITING_AMSTELBAND_200X360-D","2515"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_3740-D","2355"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_ZOABBAND_50_200X200-D","2423"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_100_300X200-D","3443"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_70_150X250-D","3381"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_190_200X220-D","3447"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_60_180 200X250-D","3379"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_190_200X160-D","3445"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_30_80X200-D","3453"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_STADSBAND_180_330X400-D","3387"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_60_120X200-D","3375"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_60_130 150X250-D","3377"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_70_200X150-D","3383"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_60_120X100-D","3373"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_50_200X150-D","3369"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_250X240-D","3451"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_70_200X200-D","3385"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_100_200X270-D","3439"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_100_250X170-D","3441"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_250X200-D","3449"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_40_120X250-D","3455"
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_50_200X200-D","3371"
"","SVH","SVH-KANTOPSLUITING_HOEKBLOK_180 200_R50","1266"
"B","SVH","B-SVH-KANTOPSLUITING_TROTTOIRBAND_180 200X200-D","2505"
"","SVH","SVH-KANTOPSLUITING_GAZONBAND_50 150X70X500-D","3346"
"B","SVH","B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_470 500X100-D","3420"
"B","SVH","B-SVH-KANTOPSLUITING_GAZONBAND_200X200-D","2441"
"B","SVH","B-SVH-KANTOPSLUITING_INRITBAND_160X600X500-D","2448"
"","SVH","SVH-KANTOPSLUITING_TROTTOIRBAND_130 150X160-D","2411"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_150X400-D","2376"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_200 450X200-D","3407"
"B","SVH","B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_280 300-D","3240"
"","SVH","SVH-KANTOPSLUITING_GAZONBAND_120X200-D","2348"
"","SVH","SVH-KANTOPSLUITING_GAZONBAND_100X200-D","2346"
"","SVH","SVH-KANTOPSLUITING_GAZONBAND_150X400-D","2350"
