nlcs_term;nlcs_name
http://digitalbuildingdata.tech/nlcs/term/afd1dfba-1b45-4b14-9e2d-db670a67003d;LICHTMAST
http://digitalbuildingdata.tech/nlcs/term/83b2f44e-475d-4394-83a8-a091731b94a8;PARKEERAUTOMAAT
http://digitalbuildingdata.tech/nlcs/term/2522eee8-2e3e-498c-b698-a3a78cd23f57;GLAS
http://digitalbuildingdata.tech/nlcs/term/2522eee8-2e3e-498c-b698-a3a78cd23f57;GLAS
http://digitalbuildingdata.tech/nlcs/term/375584eb-3a6b-43fb-a5cb-0d27c89433eb;ZONNEPANEEL
http://digitalbuildingdata.tech/nlcs/term/d18e6b96-22af-4018-8edf-e26a37498305;BESCHOEIING
http://digitalbuildingdata.tech/nlcs/term/59a35ecc-c14b-4eb3-9d5a-8005346f399c;PUIN
http://digitalbuildingdata.tech/nlcs/term/0862f406-2670-47f9-a014-a63b95cbf561;REMMINGSWERK
http://digitalbuildingdata.tech/nlcs/term/25640587-01c4-41de-bcdb-6bd72a37a387;FONTEIN
http://digitalbuildingdata.tech/nlcs/term/c68c3336-d377-4d7e-a676-6fb66bf60a39;DRI
http://digitalbuildingdata.tech/nlcs/term/2a135820-8c55-4ddf-a0e9-96294bc3097a;OVERSTORT
http://digitalbuildingdata.tech/nlcs/term/6a33d577-8a02-4e15-9afd-79a21888dd80;HOOGTE
http://digitalbuildingdata.tech/nlcs/term/6a33d577-8a02-4e15-9afd-79a21888dd80;HOOGTE
http://digitalbuildingdata.tech/nlcs/term/1ace0d1f-cfb2-4edc-8984-a5872f73f389;AMFIBIEENTUNNEL
http://digitalbuildingdata.tech/nlcs/term/4097178b-cfc4-4462-ab95-d69ea6300514;BETONSTRAATSTEEN
http://digitalbuildingdata.tech/nlcs/term/4097178b-cfc4-4462-ab95-d69ea6300514;BETONSTRAATSTEEN
http://digitalbuildingdata.tech/nlcs/term/39f82052-c600-425f-91c1-955e118f4682;BOOMROOSTER
http://digitalbuildingdata.tech/nlcs/term/bfd872b5-d2fd-4ee1-86d0-8ef7f7a564b6;LOOPPLANK
http://digitalbuildingdata.tech/nlcs/term/ab35966a-81e4-4e81-90b7-2a8b374b032b;BUSHALTEBAND
http://digitalbuildingdata.tech/nlcs/term/4f0980c0-f95c-4600-9a04-4380ca656b26;ROOD
http://digitalbuildingdata.tech/nlcs/term/ea08dc0c-2d68-42f8-b1d6-5cd4c402bd65;TUSSENLAAG
http://digitalbuildingdata.tech/nlcs/term/d770806c-f0f9-4949-8c71-f8e5b5005042;TUNNELBAK
http://digitalbuildingdata.tech/nlcs/term/def182e3-7359-4bc8-8ac2-2befc305ab00;UITTREEVOORZIENING
