nlcs_term;nlcs_name;imbor_term;imbor_name;imbor_definition
http://digitalbuildingdata.tech/nlcs/term/afd1dfba-1b45-4b14-9e2d-db670a67003d;LICHTMAST;https://data.crow.nl/imbor/term/5be84548-325c-4a7e-b1ea-c189c526d861;Lichtmast;Mast bestemd voor het dragen van een of meer verlichtingsarmaturen.
http://digitalbuildingdata.tech/nlcs/term/83b2f44e-475d-4394-83a8-a091731b94a8;PARKEERAUTOMAAT;https://data.crow.nl/imbor/term/d87fdf3a-d015-4f35-ad4d-f4ffbd79ecd3;Parkeerautomaat;Verkoopautomaat die op straat of in een parkeergarage staat waar men parkeerbelasting moet betalen om te parkeren.
http://digitalbuildingdata.tech/nlcs/term/2522eee8-2e3e-498c-b698-a3a78cd23f57;GLAS;https://data.crow.nl/imbor/term/f76e2ac8-3749-4b1c-8842-25a27d36c09c;Glas;Lichtdoorlatend deel van de armatuur van glas, een vaste, doorzichtige stoffen, met kristalachtige eigenschappen, alhoewel het geen kristalstructuur.
http://digitalbuildingdata.tech/nlcs/term/2522eee8-2e3e-498c-b698-a3a78cd23f57;GLAS;https://data.crow.nl/imbor/term/b72c9eff-9bc5-4e60-ad52-fb39c1083985;Glas;Een vaste, doorzichtige stoffen, met kristalachtige eigenschappen, alhoewel het geen kristalstructuur.
http://digitalbuildingdata.tech/nlcs/term/375584eb-3a6b-43fb-a5cb-0d27c89433eb;ZONNEPANEEL;https://data.crow.nl/imbor/term/a914d124-68ea-4e49-b086-3f76b790f09a;Zonnepaneel;Een zonnepaneel is een paneel dat zonne-energie omzet in elektriciteit.
http://digitalbuildingdata.tech/nlcs/term/d18e6b96-22af-4018-8edf-e26a37498305;BESCHOEIING;https://data.crow.nl/imbor/term/d55f8ce1-ea9b-4f20-a75f-d90418224216;Beschoeiing;Een nagenoeg verticale wand tot kering van grond om afkalving van water te voorkomen, geen kademuur.
http://digitalbuildingdata.tech/nlcs/term/59a35ecc-c14b-4eb3-9d5a-8005346f399c;PUIN;https://data.crow.nl/imbor/term/f784f744-4cd3-4007-b02e-b7aa2360f05e;Puin;Puin is afvalmateriaal dat bestaat uit losse brokstukken, grotendeels bestaande uit stenen en beton, van gesloopte of ingestorte gebouwen, viaducten, bruggen en andere objecten.
http://digitalbuildingdata.tech/nlcs/term/0862f406-2670-47f9-a014-a63b95cbf561;REMMINGSWERK;https://data.crow.nl/imbor/term/33b3f986-3622-4c33-b795-474c04adca27;Remmingswerk;Constructie langs de opstelruimte en wachtruimte bedoeld voor het afmeren van schepen.
http://digitalbuildingdata.tech/nlcs/term/25640587-01c4-41de-bcdb-6bd72a37a387;FONTEIN;https://data.crow.nl/imbor/term/af17cc08-2aeb-4c66-a880-50f1d17d617b;Fontein;Een fontein is een natuurlijke of kunstmatige installatie die water spuit.
http://digitalbuildingdata.tech/nlcs/term/c68c3336-d377-4d7e-a676-6fb66bf60a39;DRI;https://data.crow.nl/imbor/term/6e11c34c-a22f-4c1c-92e4-c811ef403d45;Reistijdinformatiesysteem;Een dynamisch reizigersinformatiesysteem (DRIS) is een reizigersinformatiesysteem voor het openbaar vervoer in Nederland die de werkelijke vertrektijden van de bus, tram of metro en actuele onregelmatigheden weergeeft.
http://digitalbuildingdata.tech/nlcs/term/739e2f1d-88c8-4feb-89e1-be70e3fdf7da;DRAAGCONSTRUCTIE;https://data.crow.nl/imbor/term/6e11c34c-a22f-4c1c-92e4-c811ef403d45;Reistijdinformatiesysteem;Een dynamisch reizigersinformatiesysteem (DRIS) is een reizigersinformatiesysteem voor het openbaar vervoer in Nederland die de werkelijke vertrektijden van de bus, tram of metro en actuele onregelmatigheden weergeeft.
http://digitalbuildingdata.tech/nlcs/term/2a135820-8c55-4ddf-a0e9-96294bc3097a;OVERSTORT;https://data.crow.nl/imbor/term/ec6e7d1b-9499-4a1d-a2ad-e69ee21b3464;Overstortconstructie;Een constructie voorzien van een overstortdrempel met een ontworpen drempellengte en -hoogte.
http://digitalbuildingdata.tech/nlcs/term/ef0dcced-331c-4ee5-a9a8-3cb4c89b0c13;PERK;https://data.crow.nl/imbor/term/ec6e7d1b-9499-4a1d-a2ad-e69ee21b3464;Overstortconstructie;Een constructie voorzien van een overstortdrempel met een ontworpen drempellengte en -hoogte.
http://digitalbuildingdata.tech/nlcs/term/6a33d577-8a02-4e15-9afd-79a21888dd80;HOOGTE;https://data.crow.nl/imbor/term/11afdb46-be8c-421b-895e-284687cb6dff;hoogte;Hoogte van het beheerobject in meters.
http://digitalbuildingdata.tech/nlcs/term/6a33d577-8a02-4e15-9afd-79a21888dd80;HOOGTE;https://data.crow.nl/imbor/term/df7fee11-06c8-495c-9770-304574aab93a;doorvaarthoogte;Doorvaarthoogte van het object of van een opening van het object.
http://digitalbuildingdata.tech/nlcs/term/1ace0d1f-cfb2-4edc-8984-a5872f73f389;AMFIBIEENTUNNEL;https://data.crow.nl/imbor/term/42c786b2-63c8-4979-9b84-142fc239bc6c;Faunatunnel klein;Opheffen van infrastructurele barrières en de migratie van kleine tot middelgrote fauna mogelijk maken tussen of binnen leefgebieden en populaties.
http://digitalbuildingdata.tech/nlcs/term/4097178b-cfc4-4462-ab95-d69ea6300514;BETONSTRAATSTEEN;https://data.crow.nl/imbor/term/d9ee8a46-a0cc-48e2-90d4-5713699d2043;Betonstraatsteen;Elementenverharding gemaakt van betonstraatstenen. Straatsteen die als goedkope vervanging van de gebakken klinkers is ontwikkeld.
http://digitalbuildingdata.tech/nlcs/term/b67a0583-c089-4684-bb27-785ea4cb1dda;BSS;https://data.crow.nl/imbor/term/d9ee8a46-a0cc-48e2-90d4-5713699d2043;Betonstraatsteen;Elementenverharding gemaakt van betonstraatstenen. Straatsteen die als goedkope vervanging van de gebakken klinkers is ontwikkeld.
http://digitalbuildingdata.tech/nlcs/term/2c2d9e5f-9e69-4ea9-bb76-1bcef84c762a;GRASPLAAT;https://data.crow.nl/imbor/term/d9ee8a46-a0cc-48e2-90d4-5713699d2043;Betonstraatsteen;Elementenverharding gemaakt van betonstraatstenen. Straatsteen die als goedkope vervanging van de gebakken klinkers is ontwikkeld.
http://digitalbuildingdata.tech/nlcs/term/4097178b-cfc4-4462-ab95-d69ea6300514;BETONSTRAATSTEEN;https://data.crow.nl/imbor/term/8f65e5b4-046e-4ef1-bf72-a0679a7abf57;Betonstraatsteen;De betonstraatsteen is een straatsteen die als duurzame, goedkope, vervanging van de straatbaksteen is ontwikkeld.
http://digitalbuildingdata.tech/nlcs/term/b67a0583-c089-4684-bb27-785ea4cb1dda;BSS;https://data.crow.nl/imbor/term/8f65e5b4-046e-4ef1-bf72-a0679a7abf57;Betonstraatsteen;De betonstraatsteen is een straatsteen die als duurzame, goedkope, vervanging van de straatbaksteen is ontwikkeld.
