"NLCSObject,""OMSCHRIJVING"",""STATUS"",""DISCIPLINE"",""HOOFDGROEP"",""ARCERING"",""ARCERINGName"",""SYMBOOL"",""SYMBOOLName"",""LAAGNAAM"",""BLineweight"",""BColor"",""BColorA"",""BColorGD"",""BColorGN"",""BColorV"",""BLinetype"",""BLinetypeName"",""NLineweight"",""NColor"",""NColorA"",""NColorGD"",""NColorGN"",""NColorV"",""NLinetype"",""NLinetypeName"",""TLineweight"",""TColor"",""TColorA"",""TColorGD"",""TColorGN"",""TColorV"",""TLinetype"",""TLinetypeName"",""VLineweight"",""VColor"",""VColorA"",""VColorGD"",""VColorGN"",""VColorV"",""VLinetype"",""VLinetypeName"",""VRKL_KORT"",""ID"",""KIND_VAN"""
"http://data.digigo.nu/nlcs/def/c132cd12-d85e-46d8-b862-27c6d713a883,""HOUTVORM"",""*"",""**"",""HC"",""http://data.digigo.nu/nlcs/def/ddacce36-d490-4a15-b762-fa4d90dfdd9d"",""HOUT"","""","""",""*-**-HC-HOUTVORM-G/A"",""0.18"",""30"",""252"",""40"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""2797"","""""
"http://data.digigo.nu/nlcs/def/e1303c6d-5701-4ffb-a68f-1f9b42aa049c,""AANGRENZENDE CONSTRUCTIE"",""*"",""**"",""HC"","""","""","""","""",""*-**-HC-AANGRENZENDE CONSTRUCTIE-G"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""2803"","""""
"http://data.digigo.nu/nlcs/def/1e16b5eb-015c-4c1f-9d10-6ba71dfa167b,""VERBINDING"",""*"",""**"",""HC"","""","""","""","""",""*-**-HC-VERBINDING-G"",""0.18"",""140"",""252"",""130"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""2800"","""""
"http://data.digigo.nu/nlcs/def/374a42e9-4ade-4a8c-b0e5-411acd645794,""REPARATIES"",""*"",""**"",""HC"","""","""","""","""",""*-**-HC-REPARATIES-G"",""0.18"",""170"",""172"",""170"",""170"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""2808"","""""
"http://data.digigo.nu/nlcs/def/d12b31a2-c378-4b84-b3a3-7202fd977d90,""LEVENSDUURVERLENGENDE MAATREGEL"",""*"",""**"",""HC"","""","""","""","""",""*-**-HC-LEVENSDUURVERLENGENDE MAATREGEL-G"",""0.18"",""170"",""172"",""170"",""170"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""2809"","""""
"http://data.digigo.nu/nlcs/def/0ec5ea08-7827-4079-8316-321763498748,""OVERIG MATERIAAL"",""*"",""**"",""HC"","""","""","""","""",""*-**-HC-OVERIG MATERIAAL-G"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""2807"","""""
"http://data.digigo.nu/nlcs/def/7967176f-e5c9-4788-8444-fda10288da5d,""HOUTVORM_BALK"",""*"",""**"",""HC"","""","""","""","""",""*-**-HC-HOUTVORM_BALK-G"",""0.18"",""30"",""252"",""40"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""2798"",""2797"""
"http://data.digigo.nu/nlcs/def/d5ad4db5-e1de-4b1c-9d0f-18356e042788,""HOUTVORM_PLAAT"",""*"",""**"",""HC"","""","""","""","""",""*-**-HC-HOUTVORM_PLAAT-G"",""0.18"",""30"",""252"",""40"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""2799"",""2797"""
"http://data.digigo.nu/nlcs/def/8de01228-4284-4a7b-ab36-19ba368dbca6,""AANGRENZENDE CONSTRUCTIE_METSELWERK"",""*"",""**"",""HC"",""http://data.digigo.nu/nlcs/def/a860a223-0d31-4a32-a54d-ee650b41c6a6"",""METSELWERK"","""","""",""*-**-HC-AANGRENZENDE CONSTRUCTIE_METSELWERK-G/A"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""2806"",""2803"""
"http://data.digigo.nu/nlcs/def/b4c3ef60-21c5-4cdb-9407-a6922730aa81,""AANGRENZENDE CONSTRUCTIE_STAAL"",""*"",""**"",""HC"",""http://data.digigo.nu/nlcs/def/bda008ef-429d-4ad3-9259-3cb7d3176892"",""STAAL"","""","""",""*-**-HC-AANGRENZENDE CONSTRUCTIE_STAAL-G/A"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""2805"",""2803"""
