nameStelselType;uriStelselType;nameGWSWStelselType;GwswStelselType;nameType;uriType;nameGWSWType;GwswType;nameNLCSLaagnaam;NLCSLaagnaam;nameNLCSSymbool;NLCSSymbool
VACUUMLEIDING;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING;Vacuumleiding;http://data.gwsw.nl/1.6/totaal/Vacuumleiding;VACUUMLEIDING_HULPSTUK_VERLOOPSTUK;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING_HULPSTUK_VERLOOPSTUK;Verloopstuk;http://data.gwsw.nl/1.6/totaal/Verloopstuk;VACUUMLEIDING_HULPSTUK_VERLOOPSTUK;http://digitalbuildingdata.tech/nlcs/def/9b15fc18-814b-4e15-934c-253dc16bcb49;SRI-HULP_VERLOOPSTUK;http://digitalbuildingdata.tech/nlcs/def/9e8f1846-3837-4573-a262-c63f507039f5
VACUUMLEIDING;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING;Vacuumleiding;http://data.gwsw.nl/1.6/totaal/Vacuumleiding;VACUUMLEIDING_HULPSTUK_AFSLUITER;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING_HULPSTUK_AFSLUITER;Rioolafsluiter;http://data.gwsw.nl/1.6/totaal/Rioolafsluiter;VACUUMLEIDING_HULPSTUK_AFSLUITER;http://digitalbuildingdata.tech/nlcs/def/6e7477dc-a370-4a70-8e16-c8afb1b1f998;SRI-HULP_AFSLUITER;http://digitalbuildingdata.tech/nlcs/def/71abe310-fbd9-4ac1-8299-3497299031ee
VACUUMLEIDING;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING;Vacuumleiding;http://data.gwsw.nl/1.6/totaal/Vacuumleiding;VACUUMLEIDING_HULPSTUK_ONTLUCHTING;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING_HULPSTUK_ONTLUCHTING;Ontluchtingsventiel;http://data.gwsw.nl/1.6/totaal/Ontluchtingsventiel;VACUUMLEIDING_HULPSTUK_ONTLUCHTING;http://digitalbuildingdata.tech/nlcs/def/c898cb88-0792-4905-a618-7f2bf3ff58a1;SRI-HULP_ONTLUCHTING;http://digitalbuildingdata.tech/nlcs/def/1604b7bf-13ee-4fc6-8e94-ff74ed39e16c
VACUUMLEIDING;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING;Vacuumleiding;http://data.gwsw.nl/1.6/totaal/Vacuumleiding;VACUUMLEIDING_HULPSTUK_ONTSTOPPINGSSTUK;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING_HULPSTUK_ONTSTOPPINGSSTUK;Ontstoppingsstuk;http://data.gwsw.nl/1.6/totaal/Ontstoppingsstuk;VACUUMLEIDING_HULPSTUK_ONTSTOPPINGSSTUK;http://digitalbuildingdata.tech/nlcs/def/a691d9e4-cb07-4e37-ad7d-b07668638728;SRI-HULP_ONTSTOP;http://digitalbuildingdata.tech/nlcs/def/bf8fb76c-b0c1-403c-ad52-3fc9cfc3df99
VACUUMLEIDING;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING;Vacuumleiding;http://data.gwsw.nl/1.6/totaal/Vacuumleiding;VACUUMLEIDING_HULPSTUK_VLINDERKLEP;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING_HULPSTUK_VLINDERKLEP;Vlinderklep;http://data.gwsw.nl/1.6/totaal/Vlinderklep;VACUUMLEIDING_HULPSTUK_VLINDERKLEP;http://digitalbuildingdata.tech/nlcs/def/d3a17fcd-4244-46d3-950e-86ded39635de;SRI-HULP_VLINDERKLEP;http://digitalbuildingdata.tech/nlcs/def/a66deedf-5cab-4374-aad5-7a91162dd7dd
VACUUMLEIDING;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING;Vacuumleiding;http://data.gwsw.nl/1.6/totaal/Vacuumleiding;VACUUMLEIDING_HULPSTUK;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING_HULPSTUK;Constructieonderdeel;http://data.gwsw.nl/1.6/totaal/Constructieonderdeel;VACUUMLEIDING_HULPSTUK;http://digitalbuildingdata.tech/nlcs/def/cbf780ad-68ad-475b-be86-fcf5180b1934;SRI-HULP;http://digitalbuildingdata.tech/nlcs/def/47df2747-2f14-478d-a38b-78850d160fe4
VACUUMLEIDING;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING;Vacuumleiding;http://data.gwsw.nl/1.6/totaal/Vacuumleiding;VACUUMLEIDING_HULPSTUK_KEERKLEP;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING_HULPSTUK_KEERKLEP;Terugslagklep;http://data.gwsw.nl/1.6/totaal/Terugslagklep;VACUUMLEIDING_HULPSTUK_KEERKLEP;http://digitalbuildingdata.tech/nlcs/def/170a582b-876f-43b7-9446-da4a867604c0;SRI-HULP_KEERKLEP;http://digitalbuildingdata.tech/nlcs/def/6066a3e5-2e33-4d8b-8d72-8d2ead1bf45c
VACUUMLEIDING;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING;Vacuumleiding;http://data.gwsw.nl/1.6/totaal/Vacuumleiding;VACUUMLEIDING_RIOOLLEIDING;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING_RIOOLLEIDING;Rioolleiding;http://data.gwsw.nl/1.6/totaal/Rioolleiding;VACUUMLEIDING_RIOOLLEIDING;http://digitalbuildingdata.tech/nlcs/def/37671678-9712-482e-9350-f5ec353ff383;;
VACUUMLEIDING;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING;Vacuumleiding;http://data.gwsw.nl/1.6/totaal/Vacuumleiding;VACUUMLEIDING_HULPSTUK_BELUCHTING;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING_HULPSTUK_BELUCHTING;Beluchtingsventiel;http://data.gwsw.nl/1.6/totaal/Beluchtingsventiel;VACUUMLEIDING_HULPSTUK_BELUCHTING;http://digitalbuildingdata.tech/nlcs/def/b95ac9ce-e69b-4726-b292-8d0d89ecd0ec;SRI-HULP_BELUCHTING;http://digitalbuildingdata.tech/nlcs/def/a980fa03-792b-4a0c-82aa-61be7b6120d3
VACUUMLEIDING;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING;Vacuumleiding;http://data.gwsw.nl/1.6/totaal/Vacuumleiding;VACUUMLEIDING_HULPSTUK_INLAAT;http://digitalbuildingdata.tech/nlcs-class/def/VACUUMLEIDING_HULPSTUK_INLAAT;Inlaat;http://data.gwsw.nl/1.6/totaal/Inlaat;VACUUMLEIDING_HULPSTUK_INLAAT;http://digitalbuildingdata.tech/nlcs/def/b2293531-46d4-4124-831c-59ad29664a02;SRI-HULP_INLAAT;http://digitalbuildingdata.tech/nlcs/def/eb21b980-ed94-422a-897f-ec090a2b4c3d
