OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
AS;*;-;**;-;AM;-;AS;;;;;;;;;;;;;;;;SAM-AS-D;*-**-AM-AS;0.18;10;10;10;10;253;AM-AS-SO;0.18;10;10;10;10;253;AM-AS-SO;0.18;10;10;10;10;253;V-AM-AS-SO;0.18;10;10;10;10;253;AM-AS-SO;;;40;;http://digitalbuildingdata.tech/nlcs/def/1cecafd8-08af-4978-b2ee-dd9fe0f0513c;
AS_BERMBEVEILIGINGSVOORZIENING;*;-;**;-;AM;-;AS;_;BERMBEVEILIGINGSVOORZIENING;;;;;;;;;;;;;;;*-**-AM-AS_BERMBEVEILIGINGSVOORZIENING;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;V-AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;;;133;40;http://digitalbuildingdata.tech/nlcs/def/9dd0a3af-eaa8-4df8-8713-68d1742387c7;http://digitalbuildingdata.tech/nlcs/def/1cecafd8-08af-4978-b2ee-dd9fe0f0513c
AS_CUNET;*;-;**;-;AM;-;AS;_;CUNET;;;;;;;;;;;;;;;*-**-AM-AS_CUNET;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;V-AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;;;143;40;http://digitalbuildingdata.tech/nlcs/def/8c77a812-5d05-4a10-a75e-96d838297838;http://digitalbuildingdata.tech/nlcs/def/1cecafd8-08af-4978-b2ee-dd9fe0f0513c
AS_DIJK;*;-;**;-;AM;-;AS;_;DIJK;;;;;;;;;;;;;;;*-**-AM-AS_DIJK;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;V-AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;;;134;40;http://digitalbuildingdata.tech/nlcs/def/4f4a9838-4222-4cbc-b78b-8053ee0c6ec2;http://digitalbuildingdata.tech/nlcs/def/1cecafd8-08af-4978-b2ee-dd9fe0f0513c
AS_DIJK_WINTERDIJK;*;-;**;-;AM;-;AS;_;DIJK;_;WINTERDIJK;;;;;;;;;;;;;*-**-AM-AS_DIJK_WINTERDIJK;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;V-AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;;;136;134;http://digitalbuildingdata.tech/nlcs/def/57cc4f2e-32af-462b-87be-928d43781c9f;http://digitalbuildingdata.tech/nlcs/def/4f4a9838-4222-4cbc-b78b-8053ee0c6ec2
AS_DIJK_ZOMERDIJK;*;-;**;-;AM;-;AS;_;DIJK;_;ZOMERDIJK;;;;;;;;;;;;;*-**-AM-AS_DIJK_ZOMERDIJK;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;V-AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;;;135;134;http://digitalbuildingdata.tech/nlcs/def/4a6063bc-54e9-4c81-b515-30b031ed43af;http://digitalbuildingdata.tech/nlcs/def/4f4a9838-4222-4cbc-b78b-8053ee0c6ec2
AS_GRONDKERENDECONSTRUCTIE;*;-;**;-;AM;-;AS;_;GRONDKERENDECONSTRUCTIE;;;;;;;;;;;;;;;*-**-AM-AS_GRONDKERENDECONSTRUCTIE;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;V-AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;;;132;40;http://digitalbuildingdata.tech/nlcs/def/e7aad7d5-297a-4d5d-ac87-189d62216013;http://digitalbuildingdata.tech/nlcs/def/1cecafd8-08af-4978-b2ee-dd9fe0f0513c
AS_KADE;*;-;**;-;AM;-;AS;_;KADE;;;;;;;;;;;;;;;*-**-AM-AS_KADE;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;V-AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;;;137;40;http://digitalbuildingdata.tech/nlcs/def/8c6d6f38-0e50-4a3b-bef0-c7e2a066c05a;http://digitalbuildingdata.tech/nlcs/def/1cecafd8-08af-4978-b2ee-dd9fe0f0513c
AS_KERING;*;-;**;-;AM;-;AS;_;KERING;;;;;;;;;;;;;;;*-**-AM-AS_KERING;0.18;10;10;10;10;253;AM-AS-SO;0.18;10;10;10;10;253;AM-AS-SO;0.18;10;10;10;10;253;V-AM-AS-SO;0.18;10;10;10;10;253;AM-AS-SO;;;3365;40;http://digitalbuildingdata.tech/nlcs/def/b5d2ee3e-61fc-4f48-83dd-2789a71667f2;http://digitalbuildingdata.tech/nlcs/def/1cecafd8-08af-4978-b2ee-dd9fe0f0513c
AS_KUNSTWERK;*;-;**;-;AM;-;AS;_;KUNSTWERK;;;;;;;;;;;;;;;*-**-AM-AS_KUNSTWERK;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;0.18;10;12;10;10;253;V-AM-AS-SO;0.18;10;12;10;10;253;AM-AS-SO;;;95;40;http://digitalbuildingdata.tech/nlcs/def/f5ee1d4f-98a6-48aa-b4d1-c42a859b3bc3;http://digitalbuildingdata.tech/nlcs/def/1cecafd8-08af-4978-b2ee-dd9fe0f0513c
