OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
AANGRENZENDE CONSTRUCTIE_HOUT;*;-;**;-;BC;-;AANGRENZENDE CONSTRUCTIE;_;HOUT;;;;;;;;;;;;;ACO-HOUT;;*-**-BC-AANGRENZENDE CONSTRUCTIE_HOUT;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2742;2740;http://digitalbuildingdata.tech/nlcs/def/03f22033-2446-4a24-bed5-c8c465d9e487;http://digitalbuildingdata.tech/nlcs/def/ef5558e0-000b-44d5-8d2a-d5c7b51fa1ed
AANGRENZENDE CONSTRUCTIE_METSELWERK;*;-;**;-;BC;-;AANGRENZENDE CONSTRUCTIE;_;METSELWERK;;;;;;;;;;;;;ACO-METSELWERK;;*-**-BC-AANGRENZENDE CONSTRUCTIE_METSELWERK;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2743;2740;http://digitalbuildingdata.tech/nlcs/def/269497fb-807f-48f3-9516-2c3af1980614;http://digitalbuildingdata.tech/nlcs/def/ef5558e0-000b-44d5-8d2a-d5c7b51fa1ed
AANGRENZENDE CONSTRUCTIE_STAAL;*;-;**;-;BC;-;AANGRENZENDE CONSTRUCTIE;_;STAAL;;;;;;;;;;;;;ACO-STAAL;;*-**-BC-AANGRENZENDE CONSTRUCTIE_STAAL;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2741;2740;http://digitalbuildingdata.tech/nlcs/def/de8f7181-49e2-4fa3-a666-f7e4af7b5bf8;http://digitalbuildingdata.tech/nlcs/def/ef5558e0-000b-44d5-8d2a-d5c7b51fa1ed
VOORSPANNING_ZONDER AANHECHTING;*;-;**;-;BC;-;VOORSPANNING;_;ZONDER AANHECHTING;;;;;;;;;;;;;;SBC-VOORSPANNING_ZONDERAANHECHTING;*-**-BC-VOORSPANNING_ZONDER AANHECHTING;0.18;180;252;200;190;254;CONTINUOUS;0.50;180;254;200;190;254;CONTINUOUS;0.50;180;252;200;190;254;V-CONTINUOUS-SO;0.50;180;252;200;190;254;CONTINUOUS;;;2733;2732;http://digitalbuildingdata.tech/nlcs/def/70f297cb-8f45-49ff-88f9-60124b14a5fb;http://digitalbuildingdata.tech/nlcs/def/f388d713-909d-46fe-9591-f7bf6eff2b77
VOORSPANNING_MET AANHECHTING;*;-;**;-;BC;-;VOORSPANNING;_;MET AANHECHTING;;;;;;;;;;;;;;SBC-VOORSPANNING_METAANHECHTING;*-**-BC-VOORSPANNING_MET AANHECHTING;0.18;180;252;200;190;254;CONTINUOUS;0.50;180;254;200;190;254;CONTINUOUS;0.50;180;252;200;190;254;V-CONTINUOUS-SO;0.50;180;252;200;190;254;CONTINUOUS;;;2736;2732;http://digitalbuildingdata.tech/nlcs/def/03255874-3f3f-432b-9fa6-11a6ea8a2d88;http://digitalbuildingdata.tech/nlcs/def/f388d713-909d-46fe-9591-f7bf6eff2b77
WAPENING;*;-;**;-;BC;-;WAPENING;;;;;;;;;;;;;;;;SBC-WAPENING;*-**-BC-WAPENING;0.18;170;252;130;150;254;CONTINUOUS;0.50;170;252;130;150;254;CONTINUOUS;0.50;170;252;130;150;254;V-CONTINUOUS-SO;0.70;170;252;130;150;254;CONTINUOUS;;;2727;;http://digitalbuildingdata.tech/nlcs/def/70fa8e91-3853-49d0-b7e3-6eecce163b1a;
BETONVORM;*;-;**;-;BC;-;BETONVORM;;;;;;;;;;;;;;;ACO-BETON;;*-**-BC-BETONVORM;0.18;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;V-CONTINUOUS-SO;0.25;40;253;90;10;254;CONTINUOUS;;;2712;;http://digitalbuildingdata.tech/nlcs/def/3f4cb0ab-7804-4a3f-8a99-585225e3fb54;
WAPENING_BIJLEGWAPENING;*;-;**;-;BC;-;WAPENING;_;BIJLEGWAPENING;;;;;;;;;;;;;;;*-**-BC-WAPENING_BIJLEGWAPENING;0.18;150;252;160;130;254;CONTINUOUS;0.50;150;252;160;130;254;CONTINUOUS;0.50;150;252;160;130;254;V-CONTINUOUS-SO;0.70;150;252;160;130;254;CONTINUOUS;;;2729;2727;http://digitalbuildingdata.tech/nlcs/def/37823a5a-cb70-4eb9-98dc-8b0f44504ada;http://digitalbuildingdata.tech/nlcs/def/70fa8e91-3853-49d0-b7e3-6eecce163b1a
WAPENING_LOOPLIJN;*;-;**;-;BC;-;WAPENING;_;LOOPLIJN;;;;;;;;;;;;;;;*-**-BC-WAPENING_LOOPLIJN;0.18;10;252;10;10;254;CONTINUOUS;0.18;10;252;10;10;254;CONTINUOUS;0.18;10;252;10;10;254;V-CONTINUOUS-SO;0.18;10;252;10;10;254;CONTINUOUS;;;2731;2727;http://digitalbuildingdata.tech/nlcs/def/795180f6-0e2e-4b96-a70e-0a9bf52d900d;http://digitalbuildingdata.tech/nlcs/def/70fa8e91-3853-49d0-b7e3-6eecce163b1a
WAPENING_HOOFDWAPENING;*;-;**;-;BC;-;WAPENING;_;HOOFDWAPENING;;;;;;;;;;;;;;;*-**-BC-WAPENING_HOOFDWAPENING;0.18;170;252;130;140;254;CONTINUOUS;0.50;170;252;130;140;254;CONTINUOUS;0.50;170;252;130;140;254;V-CONTINUOUS-SO;0.70;170;252;130;140;254;CONTINUOUS;;;2728;2727;http://digitalbuildingdata.tech/nlcs/def/ad64b013-9079-4804-b233-9c2e8807b192;http://digitalbuildingdata.tech/nlcs/def/70fa8e91-3853-49d0-b7e3-6eecce163b1a
WAPENING_SUPPORT;*;-;**;-;BC;-;WAPENING;_;SUPPORT;;;;;;;;;;;;;;;*-**-BC-WAPENING_SUPPORT;0.18;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2730;2727;http://digitalbuildingdata.tech/nlcs/def/cee21910-c29d-4bbb-b757-1eb00ad03794;http://digitalbuildingdata.tech/nlcs/def/70fa8e91-3853-49d0-b7e3-6eecce163b1a
BETONVORM_VSP;*;-;**;-;BC;-;BETONVORM;_;VSP;;;;;;;;;;;;;;;*-**-BC-BETONVORM_VSP;0.18;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;V-CONTINUOUS-SO;0.25;40;253;90;10;254;CONTINUOUS;;;2715;2712;http://digitalbuildingdata.tech/nlcs/def/32c86848-743a-49ad-aa66-436530d4aac2;http://digitalbuildingdata.tech/nlcs/def/3f4cb0ab-7804-4a3f-8a99-585225e3fb54
BETONVORM_GEWAPEND;*;-;**;-;BC;-;BETONVORM;_;GEWAPEND;;;;;;;;;;;;;;;*-**-BC-BETONVORM_GEWAPEND;0.18;40;253;90;10;254;CONTINUOUS;0.25;40;254;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;V-CONTINUOUS-SO;0.25;40;253;90;10;254;CONTINUOUS;;;2718;2712;http://digitalbuildingdata.tech/nlcs/def/60716ea6-f903-4714-af91-7a56242a9e73;http://digitalbuildingdata.tech/nlcs/def/3f4cb0ab-7804-4a3f-8a99-585225e3fb54
BETONVORM_LICHT;*;-;**;-;BC;-;BETONVORM;_;LICHT;;;;;;;;;;;;;;;*-**-BC-BETONVORM_LICHT;0.18;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;CONTINUOUS;0.25;40;252;90;10;254;V-CONTINUOUS-SO;0.25;40;253;90;10;254;CONTINUOUS;;;2713;2712;http://digitalbuildingdata.tech/nlcs/def/f56d1b13-7258-4314-858c-83be7fabf0a7;http://digitalbuildingdata.tech/nlcs/def/3f4cb0ab-7804-4a3f-8a99-585225e3fb54
BETONVORM_PREFAB;*;-;**;-;BC;-;BETONVORM;_;PREFAB;;;;;;;;;;;;;;;*-**-BC-BETONVORM_PREFAB;0.18;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;V-CONTINUOUS-SO;0.25;40;253;90;10;253;CONTINUOUS;;;2714;2712;http://digitalbuildingdata.tech/nlcs/def/4a67af63-7e1f-4853-9d5b-fa994740a10a;http://digitalbuildingdata.tech/nlcs/def/3f4cb0ab-7804-4a3f-8a99-585225e3fb54
BETONVORM_BALLAST;*;-;**;-;BC;-;BETONVORM;_;BALLAST;;;;;;;;;;;;;;;*-**-BC-BETONVORM_BALLAST;0.18;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;V-CONTINUOUS-SO;0.25;40;253;90;10;254;CONTINUOUS;;;2720;2712;http://digitalbuildingdata.tech/nlcs/def/d9794a65-516f-4f0b-8304-46d12dd1480d;http://digitalbuildingdata.tech/nlcs/def/3f4cb0ab-7804-4a3f-8a99-585225e3fb54
BETONVORM_OWB;*;-;**;-;BC;-;BETONVORM;_;OWB;;;;;;;;;;;;;;;*-**-BC-BETONVORM_OWB;0.18;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;V-CONTINUOUS-SO;0.25;40;253;90;10;254;CONTINUOUS;;;2717;2712;http://digitalbuildingdata.tech/nlcs/def/20fff028-fc6b-4b52-a464-71e85b9cc22e;http://digitalbuildingdata.tech/nlcs/def/3f4cb0ab-7804-4a3f-8a99-585225e3fb54
BETONVORM_ONGEWAPEND;*;-;**;-;BC;-;BETONVORM;_;ONGEWAPEND;;;;;;;;;;;;;;;*-**-BC-BETONVORM_ONGEWAPEND;0.18;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;V-CONTINUOUS-SO;0.25;40;253;90;10;254;CONTINUOUS;;;2719;2712;http://digitalbuildingdata.tech/nlcs/def/a31fbbfa-8ff1-46c7-ada5-0ae4e936a0d0;http://digitalbuildingdata.tech/nlcs/def/3f4cb0ab-7804-4a3f-8a99-585225e3fb54
BETONVORM_WERKVLOER;*;-;**;-;BC;-;BETONVORM;_;WERKVLOER;;;;;;;;;;;;;;;*-**-BC-BETONVORM_WERKVLOER;0.18;10;253;10;10;254;CONTINUOUS;0.18;10;253;10;10;254;CONTINUOUS;0.18;10;253;10;10;254;V-CONTINUOUS-SO;0.18;10;253;10;10;254;CONTINUOUS;;;2721;2712;http://digitalbuildingdata.tech/nlcs/def/6f8f33c9-cf9a-496d-9b6e-29d8d1e6a10e;http://digitalbuildingdata.tech/nlcs/def/3f4cb0ab-7804-4a3f-8a99-585225e3fb54
BETONVORM_IN HET WERK GESTORT;*;-;**;-;BC;-;BETONVORM;_;IN HET WERK GESTORT;;;;;;;;;;;;;;;*-**-BC-BETONVORM_IN HET WERK GESTORT;0.18;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;CONTINUOUS;0.25;40;253;90;10;254;V-CONTINUOUS-SO;0.25;40;253;90;10;254;CONTINUOUS;;;2880;2712;http://digitalbuildingdata.tech/nlcs/def/bce70576-b62c-4f27-b29b-ba0c81635abc;http://digitalbuildingdata.tech/nlcs/def/3f4cb0ab-7804-4a3f-8a99-585225e3fb54
VOORSPANNING_SUPPORT;*;-;**;-;BC;-;VOORSPANNING;_;SUPPORT;;;;;;;;;;;;;;;*-**-BC-VOORSPANNING_SUPPORT;0.18;7;252;7;7;254;CONTINUOUS;0.25;7;254;7;7;254;CONTINUOUS;0.18;7;252;7;7;254;V-CONTINUOUS-SO;0.18;7;252;7;7;254;CONTINUOUS;;;2739;2732;http://digitalbuildingdata.tech/nlcs/def/6285f5b6-77b6-47fc-93a9-ef21512a9fe4;http://digitalbuildingdata.tech/nlcs/def/f388d713-909d-46fe-9591-f7bf6eff2b77
BETONVORM_VSP_PREFAB;*;-;**;-;BC;-;BETONVORM;_;VSP;_;PREFAB;;;;;;;;;;;;;*-**-BC-BETONVORM_VSP_PREFAB;0.18;40;253;90;10;253;CONTINUOUS;0.25;40;253;90;10;253;CONTINUOUS;0.25;40;253;90;10;253;V-CONTINUOUS-SO;0.25;40;253;90;10;253;CONTINUOUS;;;2716;2715;http://digitalbuildingdata.tech/nlcs/def/4bc16cd8-8807-4beb-9b38-d8f3e020eb31;http://digitalbuildingdata.tech/nlcs/def/32c86848-743a-49ad-aa66-436530d4aac2
VOORSPANNING_ZONDER AANHECHTING_VERANKERING;*;-;**;-;BC;-;VOORSPANNING;_;ZONDER AANHECHTING;_;VERANKERING;;;;;;;;;;;;;*-**-BC-VOORSPANNING_ZONDER AANHECHTING_VERANKERING;0.18;180;252;200;190;254;CONTINUOUS;0.25;180;254;200;190;254;CONTINUOUS;0.18;180;252;200;190;254;V-CONTINUOUS-SO;0.18;180;252;200;190;254;CONTINUOUS;;;2735;2733;http://digitalbuildingdata.tech/nlcs/def/84e41810-3d1a-4ab3-b5b7-9965165a48ed;http://digitalbuildingdata.tech/nlcs/def/70f297cb-8f45-49ff-88f9-60124b14a5fb
VOORSPANNING_ZONDER AANHECHTING_KABEL;*;-;**;-;BC;-;VOORSPANNING;_;ZONDER AANHECHTING;_;KABEL;;;;;;;;;;;;;*-**-BC-VOORSPANNING_ZONDER AANHECHTING_KABEL;0.18;180;252;200;190;254;CONTINUOUS;0.50;180;254;200;190;254;CONTINUOUS;0.50;180;252;200;190;254;V-CONTINUOUS-SO;0.50;180;252;200;190;254;CONTINUOUS;;;2734;2733;http://digitalbuildingdata.tech/nlcs/def/df7761da-2f5d-4431-b5f6-2da9edd9b74e;http://digitalbuildingdata.tech/nlcs/def/70f297cb-8f45-49ff-88f9-60124b14a5fb
VOORSPANNING_MET AANHECHTING_KABEL;*;-;**;-;BC;-;VOORSPANNING;_;MET AANHECHTING;_;KABEL;;;;;;;;;;;;;*-**-BC-VOORSPANNING_MET AANHECHTING_KABEL;0.18;180;252;200;190;254;BC-KABEL-SO;0.50;180;254;200;190;254;BC-KABEL-SO;0.50;180;252;200;190;254;V-BC-KABEL-SO;0.50;180;252;200;190;254;BC-KABEL-SO;;;2737;2736;http://digitalbuildingdata.tech/nlcs/def/f41e5cd7-7370-4545-8426-2db5e1699ac8;http://digitalbuildingdata.tech/nlcs/def/03255874-3f3f-432b-9fa6-11a6ea8a2d88
