OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
GELEIDECONSTRUCTIE;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;;;;;;;;;;;;;;;;SBV-GELEIDECONSTRUCTIE;*-**-BV-GELEIDECONSTRUCTIE;0.18;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;V-CONTINUOUS-SO;0.18;210;212;210;210;253;CONTINUOUS;;;151;;http://digitalbuildingdata.tech/nlcs/def/c39b8e84-38a6-4c61-a82f-64f9c77521c2;
GELEIDECONSTRUCTIE_BEBAKENING;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;BEBAKENING;;;;;;;;;;;;;;;*-**-BV-GELEIDECONSTRUCTIE_BEBAKENING;0.18;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;V-CONTINUOUS-SO;0.35;210;212;210;210;253;CONTINUOUS;;;227;151;http://digitalbuildingdata.tech/nlcs/def/4d669de6-d8fa-420b-b1c3-e9f319dd1b56;http://digitalbuildingdata.tech/nlcs/def/c39b8e84-38a6-4c61-a82f-64f9c77521c2
GELEIDECONSTRUCTIE_GELEIDEBARRIER;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;;;;;;;;;;;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER;0.18;210;212;210;210;253;BV-GELEIDEBARRIER-SO;0.35;210;212;210;210;253;BV-GELEIDEBARRIER-SO;0.35;210;212;210;210;253;V-BV-GELEIDEBARRIER-SO;0.35;210;212;210;210;253;BV-GELEIDEBARRIER-SO;;;152;151;http://digitalbuildingdata.tech/nlcs/def/f8eb9044-c06a-43b0-ba31-b65083065572;http://digitalbuildingdata.tech/nlcs/def/c39b8e84-38a6-4c61-a82f-64f9c77521c2
GELEIDECONSTRUCTIE_GELEIDEBARRIER_ANTIVERBLINDINGSSCHERM;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;ANTIVERBLINDINGSSCHERM;;;;;;;;;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_ANTIVERBLINDINGSSCHERM;0.18;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;V-CONTINUOUS-SO;0.35;210;212;210;210;253;CONTINUOUS;;;167;152;http://digitalbuildingdata.tech/nlcs/def/bd6f1540-d406-4c11-93ea-e6411022d8fe;http://digitalbuildingdata.tech/nlcs/def/f8eb9044-c06a-43b0-ba31-b65083065572
GELEIDECONSTRUCTIE_GELEIDEBARRIER_OVERGANG;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;OVERGANG;;;;;;;;;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_OVERGANG;0.18;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;V-CONTINUOUS-SO;0.35;210;212;210;210;253;CONTINUOUS;;;165;152;http://digitalbuildingdata.tech/nlcs/def/b419ff91-8242-486d-9db2-6572f3360f5c;http://digitalbuildingdata.tech/nlcs/def/f8eb9044-c06a-43b0-ba31-b65083065572
GELEIDECONSTRUCTIE_GELEIDEBARRIER_OVERSTAPCONSTRUCTIE;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;OVERSTAPCONSTRUCTIE;;;;;;;;;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_OVERSTAPCONSTRUCTIE;0.18;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;V-CONTINUOUS-SO;0.35;210;212;210;210;253;CONTINUOUS;;;166;152;http://digitalbuildingdata.tech/nlcs/def/8740ea6f-5a5c-49d2-af7c-f5bd642cac8a;http://digitalbuildingdata.tech/nlcs/def/f8eb9044-c06a-43b0-ba31-b65083065572
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;;;;;;;;;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER;0.18;210;212;210;210;253;BV-STEPBARRIER-SO;0.35;210;212;210;210;253;BV-STEPBARRIER-SO;0.35;210;212;210;210;253;V-BV-STEPBARRIER-SO;0.35;210;212;210;210;253;BV-STEPBARRIER-SO;;;153;152;http://digitalbuildingdata.tech/nlcs/def/6d7a2c90-a3d3-45c3-8e55-67cfb0ecb30c;http://digitalbuildingdata.tech/nlcs/def/f8eb9044-c06a-43b0-ba31-b65083065572
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_A1;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;A1;;;;;;;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_A1;0.18;210;212;210;210;253;V-BV-A1-SO;0.35;210;212;210;210;253;V-BV-A1-SO;0.35;210;212;210;210;253;V-BV-A1-SO;0.35;210;212;210;210;253;BV-A1-SO;;;163;153;http://digitalbuildingdata.tech/nlcs/def/9942fa2d-9e56-4a0e-914b-7f18ecd50f65;http://digitalbuildingdata.tech/nlcs/def/6d7a2c90-a3d3-45c3-8e55-67cfb0ecb30c
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;BETON;;;;;;;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON;0.18;210;212;210;210;253;BV-STEPBARRIER_B-SO;0.35;210;212;210;210;253;BV-STEPBARRIER_B-SO;0.35;210;212;210;210;253;V-BV-STEPBARRIER_B-SO;0.35;210;212;210;210;253;BV-STEPBARRIER_B-SO;;;155;153;http://digitalbuildingdata.tech/nlcs/def/f9f9a844-80d7-43ea-9705-9264dbffb2b7;http://digitalbuildingdata.tech/nlcs/def/6d7a2c90-a3d3-45c3-8e55-67cfb0ecb30c
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON_PREFABGEKOPPELD;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;BETON;_;PREFABGEKOPPELD;;;;;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON_PREFABGEKOPPELD;0.18;210;212;210;210;253;BV-STEPBARRIER_BG-SO;0.35;210;212;210;210;253;BV-STEPBARRIER_BG-SO;0.35;210;212;210;210;253;V-BV-STEPBARRIER_BG-SO;0.35;210;212;210;210;253;BV-STEPBARRIER_BG-SO;;;157;155;http://digitalbuildingdata.tech/nlcs/def/47830c97-a9f2-4dd9-994b-04fd5601cf43;http://digitalbuildingdata.tech/nlcs/def/f9f9a844-80d7-43ea-9705-9264dbffb2b7
