OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
DAMWAND;*;-;**;-;FC;-;DAMWAND;;;;;;;;;;;;;;;;;*-**-FC-DAMWAND;0.18;60;252;30;10;254;CONTINUOUS;0.25;60;252;30;10;254;CONTINUOUS;0.25;60;252;30;10;254;V-CONTINUOUS-SO;0.25;60;252;30;10;254;CONTINUOUS;;;2758;;http://digitalbuildingdata.tech/nlcs/def/2b9310ca-4c6e-4276-a8f2-35b06693c491;
DAMWAND_ANKER;*;-;**;-;FC;-;DAMWAND;_;ANKER;;;;;;;;;;;;;ACO-STAAL;;*-**-FC-DAMWAND_ANKER;0.18;60;252;30;10;254;CONTINUOUS;0.25;60;252;30;10;254;CONTINUOUS;0.25;60;252;30;10;254;V-CONTINUOUS-SO;0.25;60;252;30;10;254;CONTINUOUS;;;2762;2758;http://digitalbuildingdata.tech/nlcs/def/db63baaf-b767-45d5-9028-0a50dd1bcf03;http://digitalbuildingdata.tech/nlcs/def/2b9310ca-4c6e-4276-a8f2-35b06693c491
DAMWAND_ANKER_GROUT;*;-;**;-;FC;-;DAMWAND;_;ANKER;_;GROUT;;;;;;;;;;;;;*-**-FC-DAMWAND_ANKER_GROUT;0.18;60;252;30;10;254;CONTINUOUS;0.25;60;252;30;10;254;CONTINUOUS;0.25;60;252;30;10;254;V-CONTINUOUS-SO;0.25;60;252;30;10;254;CONTINUOUS;;;2763;2762;http://digitalbuildingdata.tech/nlcs/def/aa84a15a-bc8f-4de6-929e-ceebe0197203;http://digitalbuildingdata.tech/nlcs/def/db63baaf-b767-45d5-9028-0a50dd1bcf03
DAMWAND_BETON;*;-;**;-;FC;-;DAMWAND;_;BETON;;;;;;;;;;;;;ACO-BETON;;*-**-FC-DAMWAND_BETON;0.18;40;252;90;10;254;CONTINUOUS;0.25;40;254;90;10;254;CONTINUOUS;0.25;40;252;90;10;254;V-CONTINUOUS-SO;0.25;40;252;90;10;254;CONTINUOUS;;;2761;2758;http://digitalbuildingdata.tech/nlcs/def/b3a3ec5f-13bd-4de5-9871-98680cd016ab;http://digitalbuildingdata.tech/nlcs/def/2b9310ca-4c6e-4276-a8f2-35b06693c491
DAMWAND_HOUT;*;-;**;-;FC;-;DAMWAND;_;HOUT;;;;;;;;;;;;;ACO-HOUT;;*-**-FC-DAMWAND_HOUT;0.18;30;252;40;10;254;CONTINUOUS;0.25;30;254;40;10;254;CONTINUOUS;0.25;30;252;40;10;254;V-CONTINUOUS-SO;0.25;30;252;40;10;254;CONTINUOUS;;;2759;2758;http://digitalbuildingdata.tech/nlcs/def/c26c2d41-5e94-42f9-b95e-3920f6012097;http://digitalbuildingdata.tech/nlcs/def/2b9310ca-4c6e-4276-a8f2-35b06693c491
DAMWAND_STAAL;*;-;**;-;FC;-;DAMWAND;_;STAAL;;;;;;;;;;;;;ACO-STAAL;;*-**-FC-DAMWAND_STAAL;0.18;140;252;130;10;254;CONTINUOUS;0.25;140;252;130;10;254;CONTINUOUS;0.25;140;252;130;10;254;V-CONTINUOUS-SO;0.25;140;252;130;10;254;CONTINUOUS;;;2760;2758;http://digitalbuildingdata.tech/nlcs/def/4c512888-ed92-45db-ab62-a03490cca240;http://digitalbuildingdata.tech/nlcs/def/2b9310ca-4c6e-4276-a8f2-35b06693c491
DIEPWAND;*;-;**;-;FC;-;DIEPWAND;;;;;;;;;;;;;;;;;*-**-FC-DIEPWAND;0.18;60;252;30;10;254;CONTINUOUS;0.25;60;252;30;10;254;CONTINUOUS;0.25;60;252;30;10;254;V-CONTINUOUS-SO;0.25;60;252;30;10;254;CONTINUOUS;;;2757;;http://digitalbuildingdata.tech/nlcs/def/742de03b-c1e5-45fb-8307-ede765c42e3b;
GRONDVERBETERING;*;-;**;-;FC;-;GRONDVERBETERING;;;;;;;;;;;;;;;;;*-**-FC-GRONDVERBETERING;0.18;30;252;60;10;254;CONTINUOUS;0.25;30;252;60;10;254;CONTINUOUS;0.25;30;252;60;10;254;V-CONTINUOUS-SO;0.25;30;252;60;10;254;CONTINUOUS;;;2765;;http://digitalbuildingdata.tech/nlcs/def/0c946d14-e533-47a0-9d4f-518793b1255a;
KESP;*;-;**;-;FC;-;KESP;;;;;;;;;;;;;;;ACO-BETON;SFC-KESP;*-**-FC-KESP;0.18;60;252;30;10;254;CONTINUOUS;0.25;60;254;30;10;254;CONTINUOUS;0.25;60;252;30;10;254;V-CONTINUOUS-SO;0.25;60;252;30;10;254;CONTINUOUS;;;2766;;http://digitalbuildingdata.tech/nlcs/def/06bf3e79-8fc0-466e-b8c6-bde382a45c23;
LEVENSDUURVERLENGENDE MAATREGEL;*;-;**;-;FC;-;LEVENSDUURVERLENGENDE MAATREGEL;;;;;;;;;;;;;;;;;*-**-FC-LEVENSDUURVERLENGENDE MAATREGEL;0.18;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;V-CONTINUOUS-SO;0.25;170;172;170;170;253;CONTINUOUS;;;2768;;http://digitalbuildingdata.tech/nlcs/def/bef15a0f-b966-4018-80e8-f00ecb49ecd1;
