OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
ECOLOGISCHEVERBINDINGSZONE;*;-;**;-;FV;-;ECOLOGISCHEVERBINDINGSZONE;;;;;;;;;;;;;;;;;*-**-FV-ECOLOGISCHEVERBINDINGSZONE;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;234;;http://digitalbuildingdata.tech/nlcs/def/0f4144b1-afa9-4587-8549-20fef4761fce;
ECOLOGISCHEVERBINDINGSZONE_CORRIDOR;*;-;**;-;FV;-;ECOLOGISCHEVERBINDINGSZONE;_;CORRIDOR;;;;;;;;;;;;;;;*-**-FV-ECOLOGISCHEVERBINDINGSZONE_CORRIDOR;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;238;234;http://digitalbuildingdata.tech/nlcs/def/1ff74d5e-10fb-4269-8793-35cfb8e5c3be;http://digitalbuildingdata.tech/nlcs/def/0f4144b1-afa9-4587-8549-20fef4761fce
ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_DROOG;*;-;**;-;FV;-;ECOLOGISCHEVERBINDINGSZONE;_;CORRIDOR;_;DROOG;;;;;;;;;;;;;*-**-FV-ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_DROOG;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;240;238;http://digitalbuildingdata.tech/nlcs/def/4639b8af-7836-48c7-accf-9c4dbb4e3935;http://digitalbuildingdata.tech/nlcs/def/1ff74d5e-10fb-4269-8793-35cfb8e5c3be
ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_NAT;*;-;**;-;FV;-;ECOLOGISCHEVERBINDINGSZONE;_;CORRIDOR;_;NAT;;;;;;;;;;;;;*-**-FV-ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_NAT;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;239;238;http://digitalbuildingdata.tech/nlcs/def/36e8eb0d-9615-48cd-bf79-404d9d67bce6;http://digitalbuildingdata.tech/nlcs/def/1ff74d5e-10fb-4269-8793-35cfb8e5c3be
ECOLOGISCHEVERBINDINGSZONE_ROBUUST;*;-;**;-;FV;-;ECOLOGISCHEVERBINDINGSZONE;_;ROBUUST;;;;;;;;;;;;;;;*-**-FV-ECOLOGISCHEVERBINDINGSZONE_ROBUUST;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;235;234;http://digitalbuildingdata.tech/nlcs/def/62bd344a-4b93-42e6-b7ff-0930db182f0f;http://digitalbuildingdata.tech/nlcs/def/0f4144b1-afa9-4587-8549-20fef4761fce
ECOLOGISCHEVERBINDINGSZONE_ROBUUST_DROOG;*;-;**;-;FV;-;ECOLOGISCHEVERBINDINGSZONE;_;ROBUUST;_;DROOG;;;;;;;;;;;;;*-**-FV-ECOLOGISCHEVERBINDINGSZONE_ROBUUST_DROOG;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;237;235;http://digitalbuildingdata.tech/nlcs/def/871e849f-162d-44de-b6d2-e0bdae360bd8;http://digitalbuildingdata.tech/nlcs/def/62bd344a-4b93-42e6-b7ff-0930db182f0f
ECOLOGISCHEVERBINDINGSZONE_ROBUUST_NAT;*;-;**;-;FV;-;ECOLOGISCHEVERBINDINGSZONE;_;ROBUUST;_;NAT;;;;;;;;;;;;;*-**-FV-ECOLOGISCHEVERBINDINGSZONE_ROBUUST_NAT;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;236;235;http://digitalbuildingdata.tech/nlcs/def/70950e17-7383-47c0-b069-2971b34d4c20;http://digitalbuildingdata.tech/nlcs/def/62bd344a-4b93-42e6-b7ff-0930db182f0f
ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN;*;-;**;-;FV;-;ECOLOGISCHEVERBINDINGSZONE;_;STAPSTEEN;;;;;;;;;;;;;;;*-**-FV-ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;241;234;http://digitalbuildingdata.tech/nlcs/def/922c0d5b-596c-4e36-ae87-ee316048f61e;http://digitalbuildingdata.tech/nlcs/def/0f4144b1-afa9-4587-8549-20fef4761fce
ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN_DROOG;*;-;**;-;FV;-;ECOLOGISCHEVERBINDINGSZONE;_;STAPSTEEN;_;DROOG;;;;;;;;;;;;;*-**-FV-ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN_DROOG;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;243;241;http://digitalbuildingdata.tech/nlcs/def/a251e048-f92a-4ba6-8403-803750421440;http://digitalbuildingdata.tech/nlcs/def/922c0d5b-596c-4e36-ae87-ee316048f61e
ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN_NAT;*;-;**;-;FV;-;ECOLOGISCHEVERBINDINGSZONE;_;STAPSTEEN;_;NAT;;;;;;;;;;;;;*-**-FV-ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN_NAT;0.18;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.25;80;82;80;80;253;CONTINUOUS;;;242;241;http://digitalbuildingdata.tech/nlcs/def/c6c291c3-b44a-4003-950c-5f2ad351f6da;http://digitalbuildingdata.tech/nlcs/def/922c0d5b-596c-4e36-ae87-ee316048f61e
