OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
BERLINERWAND;*;-;**;-;GK;-;BERLINERWAND;;;;;;;;;;;;;;;;;*-**-GK-BERLINERWAND;0.18;30;32;30;30;253;CONTINUOUS;0.35;30;32;30;30;253;CONTINUOUS;0.35;30;32;30;30;253;V-CONTINUOUS-SO;0.35;30;32;30;30;253;CONTINUOUS;;;328;;http://digitalbuildingdata.tech/nlcs/def/3635ac0a-1c85-4cf1-a26d-15773363b06a;
BESCHOEIING;*;-;**;-;GK;-;BESCHOEIING;;;;;;;;;;;;;;;;;*-**-GK-BESCHOEIING;0.18;130;132;130;130;253;GK-BESCHOEIING-SO;0.35;130;132;130;130;253;GK-BESCHOEIING-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING-SO;0.35;130;132;130;130;253;GK-BESCHOEIING-SO;;;339;;http://digitalbuildingdata.tech/nlcs/def/949265e3-b2b0-4dab-8428-6d4fd21b63da;
BESCHOEIING_BESCHOEIING1;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING1;;;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING1;0.18;130;132;130;130;253;GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;GK-BESCHOEIING1-SO;;;;339;http://digitalbuildingdata.tech/nlcs/def/3e9f297d-97bd-4da8-be4c-d068bdfa7c59;http://digitalbuildingdata.tech/nlcs/def/949265e3-b2b0-4dab-8428-6d4fd21b63da
BESCHOEIING_BESCHOEIING1_COMBINATIE;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING1;;;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING1;0.18;130;132;130;130;253;GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;GK-BESCHOEIING1-SO;;;;;http://digitalbuildingdata.tech/nlcs/def/6aeb5496-114b-4f7b-ba57-8137b4745889;http://digitalbuildingdata.tech/nlcs/def/3e9f297d-97bd-4da8-be4c-d068bdfa7c59
BESCHOEIING_BESCHOEIING1_HOUT;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING1;;;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING1;0.18;130;132;130;130;253;GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;GK-BESCHOEIING1-SO;;;;;http://digitalbuildingdata.tech/nlcs/def/a4758021-5505-44c0-8f47-402d0f389aa7;http://digitalbuildingdata.tech/nlcs/def/3e9f297d-97bd-4da8-be4c-d068bdfa7c59
BESCHOEIING_BESCHOEIING1_HOUT_PLANKEN;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING1;_;PLANKEN;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING1_PLANKEN;0.18;130;132;130;130;253;GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;GK-BESCHOEIING1-SO;;;;;http://digitalbuildingdata.tech/nlcs/def/ec904c82-ddb3-4513-a32c-a6baeed54990;http://digitalbuildingdata.tech/nlcs/def/a4758021-5505-44c0-8f47-402d0f389aa7
BESCHOEIING_BESCHOEIING1_HOUT_SCHOTTEN;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING1;_;SCHOTTEN;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING1_SCHOTTEN;0.18;130;132;130;130;253;GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;GK-BESCHOEIING1-SO;;;;;http://digitalbuildingdata.tech/nlcs/def/0f1804b5-92ff-4628-b558-b64319c40af3;http://digitalbuildingdata.tech/nlcs/def/a4758021-5505-44c0-8f47-402d0f389aa7
BESCHOEIING_BESCHOEIING1_KUNSTSTOF;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING1;;;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING1;0.18;130;132;130;130;253;GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING1-SO;0.35;130;132;130;130;253;GK-BESCHOEIING1-SO;;;;;http://digitalbuildingdata.tech/nlcs/def/0178e203-06fd-4813-a42f-135302d241d8;http://digitalbuildingdata.tech/nlcs/def/3e9f297d-97bd-4da8-be4c-d068bdfa7c59
BESCHOEIING_BESCHOEIING2;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING2;;;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING2;0.18;130;132;130;130;253;GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;GK-BESCHOEIING2-SO;;;;339;http://digitalbuildingdata.tech/nlcs/def/40422b69-cab7-4db5-9da8-44b4dbe8818e;http://digitalbuildingdata.tech/nlcs/def/949265e3-b2b0-4dab-8428-6d4fd21b63da
BESCHOEIING_BESCHOEIING2_COMBINATIE;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING2;;;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING2;0.18;130;132;130;130;253;GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;GK-BESCHOEIING2-SO;;;;;http://digitalbuildingdata.tech/nlcs/def/474ec295-5015-4199-b32d-8d77fdc3340a;http://digitalbuildingdata.tech/nlcs/def/40422b69-cab7-4db5-9da8-44b4dbe8818e
BESCHOEIING_BESCHOEIING2_HOUT;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING2;;;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING2;0.18;130;132;130;130;253;GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;GK-BESCHOEIING2-SO;;;;;http://digitalbuildingdata.tech/nlcs/def/29fe3e76-8ccf-4984-b939-5b1fd2b1cf85;http://digitalbuildingdata.tech/nlcs/def/40422b69-cab7-4db5-9da8-44b4dbe8818e
BESCHOEIING_BESCHOEIING2_HOUT_PLANKEN;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING2;_;PLANKEN;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING2_PLANKEN;0.18;130;132;130;130;253;GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;GK-BESCHOEIING2-SO;;;;;http://digitalbuildingdata.tech/nlcs/def/51fb195c-36ff-4352-871e-762b132df658;http://digitalbuildingdata.tech/nlcs/def/29fe3e76-8ccf-4984-b939-5b1fd2b1cf85
BESCHOEIING_BESCHOEIING2_HOUT_SCHOTTEN;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING2;_;SCHOTTEN;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING2_SCHOTTEN;0.18;130;132;130;130;253;GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;GK-BESCHOEIING2-SO;;;;;http://digitalbuildingdata.tech/nlcs/def/3378cee8-9654-4f9d-941d-2dd434c58024;http://digitalbuildingdata.tech/nlcs/def/29fe3e76-8ccf-4984-b939-5b1fd2b1cf85
BESCHOEIING_BESCHOEIING2_KUNSTSTOF;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING2;;;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING2;0.18;130;132;130;130;253;GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING2-SO;0.35;130;132;130;130;253;GK-BESCHOEIING2-SO;;;;;http://digitalbuildingdata.tech/nlcs/def/86f4f4ef-fb65-465e-a9de-874b5222e848;http://digitalbuildingdata.tech/nlcs/def/40422b69-cab7-4db5-9da8-44b4dbe8818e
BESCHOEIING_BESCHOEIING3;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING3;;;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING3;0.18;130;132;130;130;253;GK-BESCHOEIING3-SO;0.35;130;132;130;130;253;GK-BESCHOEIING3-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING3-SO;0.35;130;132;130;130;253;GK-BESCHOEIING3-SO;;;;339;http://digitalbuildingdata.tech/nlcs/def/c7299722-58a7-43fd-9058-1729b1b8cf60;http://digitalbuildingdata.tech/nlcs/def/949265e3-b2b0-4dab-8428-6d4fd21b63da
BESCHOEIING_BESCHOEIING3_COMBINATIE;*;-;**;-;GK;-;BESCHOEIING;_;BESCHOEIING3;;;;;;;;;;;;;;;*-**-GK-BESCHOEIING_BESCHOEIING3;0.18;130;132;130;130;253;GK-BESCHOEIING3-SO;0.35;130;132;130;130;253;GK-BESCHOEIING3-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING3-SO;0.35;130;132;130;130;253;GK-BESCHOEIING3-SO;;;;;http://digitalbuildingdata.tech/nlcs/def/8fa8f5d7-a244-436d-9cb0-5db12c173f50;http://digitalbuildingdata.tech/nlcs/def/c7299722-58a7-43fd-9058-1729b1b8cf60
