OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
BEPLANTING;*;-;**;-;GR;-;BEPLANTING;;;;;;;;;;;;;;;AGR-BEPLANTING;SGR-BEPLANTING;*-**-GR-BEPLANTING;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2885;;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a;
BEPLANTING_BLOEMBOLLEN;*;-;**;-;GR;-;BEPLANTING;_;BLOEMBOLLEN;;;;;;;;;;;;;AGR-BOLLEN;SGR-BOLLEN;*-**-GR-BEPLANTING_BLOEMBOLLEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2886;2885;http://digitalbuildingdata.tech/nlcs/def/c835d8ea-decb-46bc-9997-2e7babfd861c;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_BLOEMBOLLEN;*;-;**;-;GR;-;BEPLANTING;_;BLOEMBOLLEN;;;;;;;;;;;;;AGR-BOLLEN;SGR-BEPLANTING;*-**-GR-BEPLANTING_BLOEMBOLLEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2886;2885;http://digitalbuildingdata.tech/nlcs/def/c835d8ea-decb-46bc-9997-2e7babfd861c;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_BODEMBEDEKKERS;*;-;**;-;GR;-;BEPLANTING;_;BODEMBEDEKKERS;;;;;;;;;;;;;;SGR-BODEMBEDEKKER;*-**-GR-BEPLANTING_BODEMBEDEKKERS;0.18;90;92;90;90;140,168,0;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2889;2885;http://digitalbuildingdata.tech/nlcs/def/1ae2d002-4a85-4d03-adc2-f1c486507c8a;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_BOSPLANTSOEN;*;-;**;-;GR;-;BEPLANTING;_;BOSPLANTSOEN;;;;;;;;;;;;;;SGR-BOSPLANTSOEN;*-**-GR-BEPLANTING_BOSPLANTSOEN;0.18;90;92;90;90;140,168,0;GR-PLANTSOEN-SO;0.35;90;92;90;90;253;GR-PLANTSOEN-SO;0.35;90;92;90;90;253;V-GR-PLANTSOEN-SO;0.35;90;92;90;90;253;GR-PLANTSOEN-SO;;;2887;2885;http://digitalbuildingdata.tech/nlcs/def/62124d7f-8f57-44a8-8998-83d28f1db5b7;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_EENJARIGE PLANTEN;*;-;**;-;GR;-;BEPLANTING;_;EENJARIGE PLANTEN;;;;;;;;;;;;;;;*-**-GR-BEPLANTING_EENJARIGE PLANTEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2891;2885;http://digitalbuildingdata.tech/nlcs/def/a59d6ef4-555c-45ac-ba03-c0d9fb6bf9b9;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_KLIMPLANTEN;*;-;**;-;GR;-;BEPLANTING;_;KLIMPLANTEN;;;;;;;;;;;;;;;*-**-GR-BEPLANTING_KLIMPLANTEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;;;;2885;http://digitalbuildingdata.tech/nlcs/def/49b95bc9-0dea-4633-b951-aebde82d6cd2;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_OEVERBEPLANTING;*;-;**;-;GR;-;BEPLANTING;_;OEVERBEPLANTING;;;;;;;;;;;;;;;*-**-GR-BEPLANTING_OEVERBEPLANTING;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;;;;2885;http://digitalbuildingdata.tech/nlcs/def/cbe60208-5552-44a7-ba92-6605cdbf8df8;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_OEVERBEPLANTING_RIET;*;-;**;-;GR;-;BEPLANTING;_;OEVERBEPLANTING;_;RIET;;;;;;;;;;;AGR-RIET;SGR-RIETLAND;*-**-GR-BEPLANTING_OEVERBEPLANTING_RIET;0.18;90;92;90;90;201,235,112;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;;;;;http://digitalbuildingdata.tech/nlcs/def/a3f46e27-f980-43d4-aef8-e259b3e550d7;http://digitalbuildingdata.tech/nlcs/def/cbe60208-5552-44a7-ba92-6605cdbf8df8
BEPLANTING_STRUIKROZEN;*;-;**;-;GR;-;BEPLANTING;_;STRUIKROZEN;;;;;;;;;;;;;;SGR-ROOS;*-**-GR-BEPLANTING_STRUIKROZEN;0.18;90;92;90;90;140,168,0;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2890;2885;http://digitalbuildingdata.tech/nlcs/def/f8a84cec-7364-46c5-a21b-3c63c827c7db;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_VASTE PLANTEN;*;-;**;-;GR;-;BEPLANTING;_;VASTE PLANTEN;;;;;;;;;;;;;AGR-VASTEPLANTEN;SGR-VASTEPLANTEN;*-**-GR-BEPLANTING_VASTE PLANTEN;0.18;90;92;90;90;140,168,0;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2893;2885;http://digitalbuildingdata.tech/nlcs/def/62701e5e-a6da-457e-9437-22b5c29fcec3;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_WATERPLANTEN;*;-;**;-;GR;-;BEPLANTING;_;WATERPLANTEN;;;;;;;;;;;;;AGR-WATERPLANTEN;SGR-WATERPLANTEN;*-**-GR-BEPLANTING_WATERPLANTEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2892;2885;http://digitalbuildingdata.tech/nlcs/def/ca227598-9351-4a3c-8af4-45e29521881c;http://digitalbuildingdata.tech/nlcs/def/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
