OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
BAGGERVAK;*;-;**;-;GW;-;BAGGERVAK;;;;;;;;;;;;;;;AGW-BAGGERVAK;;*-**-GW-BAGGERVAK;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;;;516;;http://digitalbuildingdata.tech/nlcs/def/bbac4ffe-ea37-49f5-ac38-2e3ba0922147;
BERM;*;-;**;-;GW;-;BERM;;;;;;;;;;;;;;;;;*-**-GW-BERM;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;431;;http://digitalbuildingdata.tech/nlcs/def/806c796b-3bea-42e7-a1af-58673f0fb6da;
CUNET;*;-;**;-;GW;-;CUNET;;;;;;;;;;;;;;;;;*-**-GW-CUNET;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;454;;http://digitalbuildingdata.tech/nlcs/def/f32666ca-6121-4b79-a9ab-0b4751c95018;
CUNET_BODEM;*;-;**;-;GW;-;CUNET;_;BODEM;;;;;;;;;;;;;;;*-**-GW-CUNET_BODEM;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;456;454;http://digitalbuildingdata.tech/nlcs/def/419f6c05-a63f-432d-9880-a2215bde5af7;http://digitalbuildingdata.tech/nlcs/def/f32666ca-6121-4b79-a9ab-0b4751c95018
CUNET_INSTEEK;*;-;**;-;GW;-;CUNET;_;INSTEEK;;;;;;;;;;;;;;;*-**-GW-CUNET_INSTEEK;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;455;454;http://digitalbuildingdata.tech/nlcs/def/83e31a4b-138c-4357-8601-699053a60c81;http://digitalbuildingdata.tech/nlcs/def/f32666ca-6121-4b79-a9ab-0b4751c95018
CUNET-GRONDWERK;*;-;**;-;GW;-;CUNET;;;;;;;;;;;-;GRONDWERK;;;AGW-GRONDWERK;;*-**-GW-CUNET-GRONDWERK;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;457;454;http://digitalbuildingdata.tech/nlcs/def/edf62171-4faa-4920-a28a-c4ed3d11a923;http://digitalbuildingdata.tech/nlcs/def/f32666ca-6121-4b79-a9ab-0b4751c95018
DIJK;*;-;**;-;GW;-;DIJK;;;;;;;;;;;;;;;;;*-**-GW-DIJK;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;432;;http://digitalbuildingdata.tech/nlcs/def/93b0b98a-97d8-48e5-b4e2-03eaec2a28fc;
DIJK_BERM;*;-;**;-;GW;-;DIJK;_;BERM;;;;;;;;;;;;;;;*-**-GW-DIJK_BERM;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;439;432;http://digitalbuildingdata.tech/nlcs/def/6f78d761-064f-450a-91a2-30b8db1324c4;http://digitalbuildingdata.tech/nlcs/def/93b0b98a-97d8-48e5-b4e2-03eaec2a28fc
DIJK_BERM_BINNEN;*;-;**;-;GW;-;DIJK;_;BERM;_;BINNEN;;;;;;;;;;;;;*-**-GW-DIJK_BERM_BINNEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;440;439;http://digitalbuildingdata.tech/nlcs/def/de9856e8-128f-4814-ba9f-bc12dc9ee70d;http://digitalbuildingdata.tech/nlcs/def/6f78d761-064f-450a-91a2-30b8db1324c4
DIJK_BERM_BUITEN;*;-;**;-;GW;-;DIJK;_;BERM;_;BUITEN;;;;;;;;;;;;;*-**-GW-DIJK_BERM_BUITEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;441;439;http://digitalbuildingdata.tech/nlcs/def/6e1084a1-1806-4037-8f75-25c81f600823;http://digitalbuildingdata.tech/nlcs/def/6f78d761-064f-450a-91a2-30b8db1324c4
DIJK_BERM_PLASBERM;*;-;**;-;GW;-;DIJK;_;BERM;_;PLASBERM;;;;;;;;;;;;;*-**-GW-DIJK_BERM_PLASBERM;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;3097;439;http://digitalbuildingdata.tech/nlcs/def/1f935dde-7694-491a-9a5f-72f9abbf9c9d;http://digitalbuildingdata.tech/nlcs/def/6f78d761-064f-450a-91a2-30b8db1324c4
