OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
AANGRENZENDE CONSTRUCTIE;*;-;**;-;HC;-;AANGRENZENDE CONSTRUCTIE;;;;;;;;;;;;;;;;;*-**-HC-AANGRENZENDE CONSTRUCTIE;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2803;;http://digitalbuildingdata.tech/nlcs/def/44f32f50-1b1a-482e-9fd0-4b2ad9afd881;
AANGRENZENDE CONSTRUCTIE_BETON;*;-;**;-;HC;-;AANGRENZENDE CONSTRUCTIE;_;BETON;;;;;;;;;;;;;ACO-BETON;;*-**-HC-AANGRENZENDE CONSTRUCTIE_BETON;0.18;7;252;7;20;253;CONTINUOUS;0.18;7;254;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2804;2803;http://digitalbuildingdata.tech/nlcs/def/03ccecce-aac7-4193-bf73-78743670f07c;http://digitalbuildingdata.tech/nlcs/def/44f32f50-1b1a-482e-9fd0-4b2ad9afd881
AANGRENZENDE CONSTRUCTIE_METSELWERK;*;-;**;-;HC;-;AANGRENZENDE CONSTRUCTIE;_;METSELWERK;;;;;;;;;;;;;ACO-METSELWERK;;*-**-HC-AANGRENZENDE CONSTRUCTIE_METSELWERK;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2806;2803;http://digitalbuildingdata.tech/nlcs/def/ffbd41ee-1089-4e4e-9942-93b681e37af6;http://digitalbuildingdata.tech/nlcs/def/44f32f50-1b1a-482e-9fd0-4b2ad9afd881
AANGRENZENDE CONSTRUCTIE_STAAL;*;-;**;-;HC;-;AANGRENZENDE CONSTRUCTIE;_;STAAL;;;;;;;;;;;;;ACO-STAAL;;*-**-HC-AANGRENZENDE CONSTRUCTIE_STAAL;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2805;2803;http://digitalbuildingdata.tech/nlcs/def/f6d1abb6-da98-45d3-82fe-a454b66f8cb2;http://digitalbuildingdata.tech/nlcs/def/44f32f50-1b1a-482e-9fd0-4b2ad9afd881
HOUTVORM;*;-;**;-;HC;-;HOUTVORM;;;;;;;;;;;;;;;ACO-HOUT;;*-**-HC-HOUTVORM;0.18;30;252;40;10;253;CONTINUOUS;0.25;30;252;40;10;253;CONTINUOUS;0.25;30;252;40;10;253;V-CONTINUOUS-SO;0.25;30;252;40;10;253;CONTINUOUS;;;2797;;http://digitalbuildingdata.tech/nlcs/def/5cd5855a-19d2-44e1-a709-1373f8d93376;
HOUTVORM_BALK;*;-;**;-;HC;-;HOUTVORM;_;BALK;;;;;;;;;;;;;;;*-**-HC-HOUTVORM_BALK;0.18;30;252;40;10;253;CONTINUOUS;0.25;30;252;40;10;253;CONTINUOUS;0.25;30;252;40;10;253;V-CONTINUOUS-SO;0.25;30;252;40;10;253;CONTINUOUS;;;2798;2797;http://digitalbuildingdata.tech/nlcs/def/54ab7c2f-756b-4d47-b95f-8a1f63b827d7;http://digitalbuildingdata.tech/nlcs/def/5cd5855a-19d2-44e1-a709-1373f8d93376
HOUTVORM_PLAAT;*;-;**;-;HC;-;HOUTVORM;_;PLAAT;;;;;;;;;;;;;;;*-**-HC-HOUTVORM_PLAAT;0.18;30;252;40;10;253;CONTINUOUS;0.25;30;252;40;10;253;CONTINUOUS;0.25;30;252;40;10;253;V-CONTINUOUS-SO;0.25;30;252;40;10;253;CONTINUOUS;;;2799;2797;http://digitalbuildingdata.tech/nlcs/def/036ad709-61a4-4b5d-96e3-242899103e48;http://digitalbuildingdata.tech/nlcs/def/5cd5855a-19d2-44e1-a709-1373f8d93376
LEVENSDUURVERLENGENDE MAATREGEL;*;-;**;-;HC;-;LEVENSDUURVERLENGENDE MAATREGEL;;;;;;;;;;;;;;;;;*-**-HC-LEVENSDUURVERLENGENDE MAATREGEL;0.18;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;V-CONTINUOUS-SO;0.25;170;172;170;170;253;CONTINUOUS;;;2809;;http://digitalbuildingdata.tech/nlcs/def/daef7f96-e176-47a4-a33c-8f5dcd738c54;
OVERIG MATERIAAL;*;-;**;-;HC;-;OVERIG MATERIAAL;;;;;;;;;;;;;;;;;*-**-HC-OVERIG MATERIAAL;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2807;;http://digitalbuildingdata.tech/nlcs/def/1c49e58d-0fd6-4d75-a4f4-d89fd8a10505;
REPARATIES;*;-;**;-;HC;-;REPARATIES;;;;;;;;;;;;;;;;;*-**-HC-REPARATIES;0.18;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;V-CONTINUOUS-SO;0.25;170;172;170;170;253;CONTINUOUS;;;2808;;http://digitalbuildingdata.tech/nlcs/def/ab0d1bc9-bb2d-471f-907f-a890a42b5212;
