OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
CONSTRUCTIEVE AFSCHEIDING;*;-;**;-;IE;-;CONSTRUCTIEVE AFSCHEIDING;;;;;;;;;;;;;;;;;*-**-IE-CONSTRUCTIEVE AFSCHEIDING;0.18;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;V-IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;;;545;;http://digitalbuildingdata.tech/nlcs/def/1c6b6964-6e46-447e-a92c-4c9b39f13646;
CONSTRUCTIEVE AFSCHEIDING_HEKWERK;*;-;**;-;IE;-;CONSTRUCTIEVE AFSCHEIDING;_;HEKWERK;;;;;;;;;;;;;;;*-**-IE-CONSTRUCTIEVE AFSCHEIDING_HEKWERK;0.18;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;V-IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;;;548;545;http://digitalbuildingdata.tech/nlcs/def/9597fe0a-5c38-4b5b-b519-1d913f1f8aba;http://digitalbuildingdata.tech/nlcs/def/1c6b6964-6e46-447e-a92c-4c9b39f13646
CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BALLENVANGER;*;-;**;-;IE;-;CONSTRUCTIEVE AFSCHEIDING;_;HEKWERK;_;BALLENVANGER;;;;;;;;;;;;;*-**-IE-CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BALLENVANGER;0.18;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;V-IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;;;3108;548;http://digitalbuildingdata.tech/nlcs/def/5f58094e-4244-4f62-9bab-d88c5bce19a5;http://digitalbuildingdata.tech/nlcs/def/9597fe0a-5c38-4b5b-b519-1d913f1f8aba
CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BALLENVANGER_HOOG;*;-;**;-;IE;-;CONSTRUCTIEVE AFSCHEIDING;_;HEKWERK;_;BALLENVANGER;_;HOOG;;;;;;;;;;;*-**-IE-CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BALLENVANGER_HOOG;0.18;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;V-IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;;;3109;3108;http://digitalbuildingdata.tech/nlcs/def/10a52389-badf-4cd5-bb38-4e4ae5292b62;http://digitalbuildingdata.tech/nlcs/def/5f58094e-4244-4f62-9bab-d88c5bce19a5
CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BALLENVANGER_LAAG;*;-;**;-;IE;-;CONSTRUCTIEVE AFSCHEIDING;_;HEKWERK;_;BALLENVANGER;_;LAAG;;;;;;;;;;;*-**-IE-CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BALLENVANGER_LAAG;0.18;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;V-IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;;;;3108;http://digitalbuildingdata.tech/nlcs/def/736521c6-09c4-4b5f-b8ed-76baeab0808f;http://digitalbuildingdata.tech/nlcs/def/5f58094e-4244-4f62-9bab-d88c5bce19a5
CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BUISHEKWERK;*;-;**;-;IE;-;CONSTRUCTIEVE AFSCHEIDING;_;HEKWERK;_;BUISHEKWERK;;;;;;;;;;;;;*-**-IE-CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BUISHEKWERK;0.18;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;V-IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;;;;548;http://digitalbuildingdata.tech/nlcs/def/7f35d511-eee6-4da3-bc77-e655d9ea8a0d;http://digitalbuildingdata.tech/nlcs/def/9597fe0a-5c38-4b5b-b519-1d913f1f8aba
CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BUISHEKWERK_HOOG;*;-;**;-;IE;-;CONSTRUCTIEVE AFSCHEIDING;_;HEKWERK;_;BUISHEKWERK;_;HOOG;;;;;;;;;;;*-**-IE-CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BUISHEKWERK_HOOG;0.18;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;V-IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;;;;;http://digitalbuildingdata.tech/nlcs/def/95572553-f522-4e8a-a964-eb3e87bfd000;http://digitalbuildingdata.tech/nlcs/def/7f35d511-eee6-4da3-bc77-e655d9ea8a0d
CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BUISHEKWERK_LAAG;*;-;**;-;IE;-;CONSTRUCTIEVE AFSCHEIDING;_;HEKWERK;_;BUISHEKWERK;_;LAAG;;;;;;;;;;;*-**-IE-CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BUISHEKWERK_LAAG;0.18;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;V-IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;;;;;http://digitalbuildingdata.tech/nlcs/def/dad0532c-939f-4e69-b1f2-619972bf5b64;http://digitalbuildingdata.tech/nlcs/def/7f35d511-eee6-4da3-bc77-e655d9ea8a0d
CONSTRUCTIEVE AFSCHEIDING_HEKWERK_DOORGANG;*;-;**;-;IE;-;CONSTRUCTIEVE AFSCHEIDING;_;HEKWERK;_;DOORGANG;;;;;;;;;;;;SIE-CONSTRUCTIEVE AFSCHEIDINGEN_HEKWERK_DOORGANG;*-**-IE-CONSTRUCTIEVE AFSCHEIDING_HEKWERK_DOORGANG;0.18;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;V-CONTINUOUS-SO;0.35;210;212;210;210;253;CONTINUOUS;;;556;548;http://digitalbuildingdata.tech/nlcs/def/aa09cab8-6dc5-4203-8293-7a663dc340fe;http://digitalbuildingdata.tech/nlcs/def/9597fe0a-5c38-4b5b-b519-1d913f1f8aba
CONSTRUCTIEVE AFSCHEIDING_HEKWERK_GAASHEKWERK;*;-;**;-;IE;-;CONSTRUCTIEVE AFSCHEIDING;_;HEKWERK;_;GAASHEKWERK;;;;;;;;;;;;;*-**-IE-CONSTRUCTIEVE AFSCHEIDING_HEKWERK_GAASHEKWERK;0.18;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;V-IE-CONSTRUCTIEVE AFSCHEIDING-SO;0.35;30;32;30;30;253;IE-CONSTRUCTIEVE AFSCHEIDING-SO;;;3110;548;http://digitalbuildingdata.tech/nlcs/def/20609fa6-6915-4917-a2bf-3647c403f419;http://digitalbuildingdata.tech/nlcs/def/9597fe0a-5c38-4b5b-b519-1d913f1f8aba
