OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
DRIP;*;-;**;-;IW;-;DRIP;;;;;;;;;;;;;;;;;*-**-IW-DRIP;0.18;160;162;7;7;253;CONTINUOUS;0.35;160;162;7;7;253;CONTINUOUS;0.35;160;162;7;7;253;V-CONTINUOUS-SO;0.35;160;162;7;7;253;CONTINUOUS;;;2648;;http://digitalbuildingdata.tech/nlcs/def/c165180f-31f9-4a8c-9ec3-f6508a37814c;
DRIP_DRAAGCONSTRUCTIE;*;-;**;-;IW;-;DRIP;_;DRAAGCONSTRUCTIE;;;;;;;;;;;;;;;*-**-IW-DRIP_DRAAGCONSTRUCTIE;0.18;160;162;7;7;253;CONTINUOUS;0.35;160;162;7;7;253;CONTINUOUS;0.35;160;162;7;7;253;V-CONTINUOUS-SO;0.35;160;162;7;7;253;CONTINUOUS;;;2649;2648;http://digitalbuildingdata.tech/nlcs/def/5deb2ea7-94d6-482f-bc04-0ab96faae4e3;http://digitalbuildingdata.tech/nlcs/def/c165180f-31f9-4a8c-9ec3-f6508a37814c
DRIP_KABEL;*;-;**;-;IW;-;DRIP;_;KABEL;;;;;;;;;;;;;;;*-**-IW-DRIP_KABEL;0.18;170;172;170;170;253;KL-DRIP-SO;0.35;170;172;170;170;253;KL-DRIP-SO;0.35;170;172;170;170;253;V-KL-DRIP-SO;0.35;170;172;170;170;253;KL-DRIP-SO;;;1389;2648;http://digitalbuildingdata.tech/nlcs/def/e6c0140a-7f8b-4165-a2cc-6394f8e4eb93;http://digitalbuildingdata.tech/nlcs/def/c165180f-31f9-4a8c-9ec3-f6508a37814c
TDI;*;-;**;-;IW;-;TDI;;;;;;;;;;;;;;;;SIW-TDI;*-**-IW-TDI;0.18;160;162;7;7;253;CONTINUOUS;0.35;160;162;7;7;253;CONTINUOUS;0.35;160;162;7;7;253;V-CONTINUOUS-SO;0.35;160;162;7;7;253;CONTINUOUS;;;2642;;http://digitalbuildingdata.tech/nlcs/def/33cf95ba-76c3-4298-b78e-da9499b7096e;
TDI_DRAAGCONSTRUCTIE;*;-;**;-;IW;-;TDI;_;DRAAGCONSTRUCTIE;;;;;;;;;;;;;;;*-**-IW-TDI_DRAAGCONSTRUCTIE;0.18;160;162;7;7;253;CONTINUOUS;0.35;160;162;7;7;253;CONTINUOUS;0.35;160;162;7;7;253;V-CONTINUOUS-SO;0.35;160;162;7;7;253;CONTINUOUS;;;2643;2642;http://digitalbuildingdata.tech/nlcs/def/c7ca4e6d-cd60-4b7e-a184-24f2568fdf06;http://digitalbuildingdata.tech/nlcs/def/33cf95ba-76c3-4298-b78e-da9499b7096e
TELECOM;*;-;**;-;IW;-;TELECOM;;;;;;;;;;;;;;;;;*-**-IW-TELECOM;0.18;80;82;7;7;253;CONTINUOUS;0.35;80;82;7;7;253;CONTINUOUS;0.35;80;82;7;7;253;V-CONTINUOUS-SO;0.35;80;82;7;7;253;CONTINUOUS;;;2653;;http://digitalbuildingdata.tech/nlcs/def/d3a1b633-803f-432f-ba0e-5fc849134c70;
TRAMSIGNALERING;*;-;**;-;IW;-;TRAMSIGNALERING;;;;;;;;;;;;;;;;SIW-TRAMSIGNALERING;*-**-IW-TRAMSIGNALERING;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;3352;;http://digitalbuildingdata.tech/nlcs/def/1ff36128-fddc-41ee-b1ea-212f670d1e79;
TRAMSIGNALERING_PAAL;*;-;**;-;IW;-;TRAMSIGNALERING;_;PAAL;;;;;;;;;;;;;;V-SIW-TRAMSIGNALERING_PAAL-SO;*-**-IW-TRAMSIGNALERING_PAAL;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;3353;3352;http://digitalbuildingdata.tech/nlcs/def/cc43906a-bd4d-4a4d-a8fe-72d2b51a9625;http://digitalbuildingdata.tech/nlcs/def/1ff36128-fddc-41ee-b1ea-212f670d1e79
TRAMSIGNALERING_PAAL;*;-;**;-;IW;-;TRAMSIGNALERING;_;PAAL;;;;;;;;;;;;;;SIW-TRAMSIGNALERING_PAAL-SO;*-**-IW-TRAMSIGNALERING_PAAL;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;3353;3352;http://digitalbuildingdata.tech/nlcs/def/cc43906a-bd4d-4a4d-a8fe-72d2b51a9625;http://digitalbuildingdata.tech/nlcs/def/1ff36128-fddc-41ee-b1ea-212f670d1e79
TRAMSIGNALERING_PORTAAL;*;-;**;-;IW;-;TRAMSIGNALERING;_;PORTAAL;;;;;;;;;;;;;;V-SIW-TRAMSIGNALERING_DRAAGCONSTRUCTIE_PORTAAL-SO;*-**-IW-TRAMSIGNALERING_PORTAAL;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;3354;3352;http://digitalbuildingdata.tech/nlcs/def/f06f5f5c-859b-4c76-a58e-89f73b5a14ec;http://digitalbuildingdata.tech/nlcs/def/1ff36128-fddc-41ee-b1ea-212f670d1e79
TRAMSIGNALERING_PORTAAL;*;-;**;-;IW;-;TRAMSIGNALERING;_;PORTAAL;;;;;;;;;;;;;;SIW-TRAMSIGNALERING_DRAAGCONSTRUCTIE_PORTAAL-SO;*-**-IW-TRAMSIGNALERING_PORTAAL;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;3354;3352;http://digitalbuildingdata.tech/nlcs/def/f06f5f5c-859b-4c76-a58e-89f73b5a14ec;http://digitalbuildingdata.tech/nlcs/def/1ff36128-fddc-41ee-b1ea-212f670d1e79
VRI;*;-;**;-;IW;-;VRI;;;;;;;;;;;;;;;;SIW-VRI;*-**-IW-VRI;0.18;200;202;200;200;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;2644;;http://digitalbuildingdata.tech/nlcs/def/f5204748-297e-4be3-8e2f-dc9c087ced89;
VRI_AUTOMAAT;*;-;**;-;IW;-;VRI;_;AUTOMAAT;;;;;;;;;;;;;;;*-**-IW-VRI_AUTOMAAT;0.18;200;202;200;200;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;;2644;http://digitalbuildingdata.tech/nlcs/def/2f44454e-2a5a-48a6-a6b4-15a3fdae267b;http://digitalbuildingdata.tech/nlcs/def/f5204748-297e-4be3-8e2f-dc9c087ced89
