OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
AANGRENZENDE CONSTRUCTIE;*;-;**;-;KC;-;AANGRENZENDE CONSTRUCTIE;;;;;;;;;;;;;;;;;*-**-KC-AANGRENZENDE CONSTRUCTIE;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2817;;http://digitalbuildingdata.tech/nlcs/def/0979eaf5-cfab-4a84-bca2-7c5cfacbe0e0;
AANGRENZENDE CONSTRUCTIE_BETON;*;-;**;-;KC;-;AANGRENZENDE CONSTRUCTIE;_;BETON;;;;;;;;;;;;;ACO-BETON;;*-**-KC-AANGRENZENDE CONSTRUCTIE_BETON;0.18;7;252;7;20;253;CONTINUOUS;0.18;7;254;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2818;2817;http://digitalbuildingdata.tech/nlcs/def/9080ffdd-48f6-431e-bd2a-50c17152e1ce;http://digitalbuildingdata.tech/nlcs/def/0979eaf5-cfab-4a84-bca2-7c5cfacbe0e0
AANGRENZENDE CONSTRUCTIE_HOUT;*;-;**;-;KC;-;AANGRENZENDE CONSTRUCTIE;_;HOUT;;;;;;;;;;;;;ACO-HOUT;;*-**-KC-AANGRENZENDE CONSTRUCTIE_HOUT;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2819;2817;http://digitalbuildingdata.tech/nlcs/def/d2142b07-70e5-454a-96fc-2dd0a5c1106e;http://digitalbuildingdata.tech/nlcs/def/0979eaf5-cfab-4a84-bca2-7c5cfacbe0e0
AANGRENZENDE CONSTRUCTIE_METSELWERK;*;-;**;-;KC;-;AANGRENZENDE CONSTRUCTIE;_;METSELWERK;;;;;;;;;;;;;ACO-METSELWERK;;*-**-KC-AANGRENZENDE CONSTRUCTIE_METSELWERK;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2821;2817;http://digitalbuildingdata.tech/nlcs/def/09779982-c3bc-4e01-869a-4e88f992f15c;http://digitalbuildingdata.tech/nlcs/def/0979eaf5-cfab-4a84-bca2-7c5cfacbe0e0
AANGRENZENDE CONSTRUCTIE_STAAL;*;-;**;-;KC;-;AANGRENZENDE CONSTRUCTIE;_;STAAL;;;;;;;;;;;;;ACO-STAAL;;*-**-KC-AANGRENZENDE CONSTRUCTIE_STAAL;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2820;2817;http://digitalbuildingdata.tech/nlcs/def/ee730d4b-387d-4626-a122-7a1a38891d08;http://digitalbuildingdata.tech/nlcs/def/0979eaf5-cfab-4a84-bca2-7c5cfacbe0e0
KUNSTSTOFVORM;*;-;**;-;KC;-;KUNSTSTOFVORM;;;;;;;;;;;;;;;ACO-KUNSTSTOF;;*-**-KC-KUNSTSTOFVORM;0.18;40;252;60;10;254;CONTINUOUS;0.25;40;252;60;10;254;CONTINUOUS;0.25;40;252;60;10;254;V-CONTINUOUS-SO;0.25;40;252;60;10;254;CONTINUOUS;;;2811;;http://digitalbuildingdata.tech/nlcs/def/059694b5-5e9a-4c95-a7b7-5bd7982d170a;
KUNSTSTOFVORM_BALK;*;-;**;-;KC;-;KUNSTSTOFVORM;_;BALK;;;;;;;;;;;;;;;*-**-KC-KUNSTSTOFVORM_BALK;0.18;40;252;60;10;254;CONTINUOUS;0.25;40;252;60;10;254;CONTINUOUS;0.25;40;252;60;10;254;V-CONTINUOUS-SO;0.25;40;252;60;10;254;CONTINUOUS;;;2812;2811;http://digitalbuildingdata.tech/nlcs/def/d37370d7-c203-49ae-b49c-95d188451ba0;http://digitalbuildingdata.tech/nlcs/def/059694b5-5e9a-4c95-a7b7-5bd7982d170a
KUNSTSTOFVORM_PLAAT;*;-;**;-;KC;-;KUNSTSTOFVORM;_;PLAAT;;;;;;;;;;;;;;;*-**-KC-KUNSTSTOFVORM_PLAAT;0.18;40;252;60;10;254;CONTINUOUS;0.25;40;252;60;10;254;CONTINUOUS;0.25;40;252;60;10;254;V-CONTINUOUS-SO;0.25;40;252;60;10;254;CONTINUOUS;;;2813;2811;http://digitalbuildingdata.tech/nlcs/def/de2fc2dd-5701-4b0d-b6e4-d83c12f07c50;http://digitalbuildingdata.tech/nlcs/def/059694b5-5e9a-4c95-a7b7-5bd7982d170a
LEVENSDUURVERLENGENDE MAATREGEL;*;-;**;-;KC;-;LEVENSDUURVERLENGENDE MAATREGEL;;;;;;;;;;;;;;;;;*-**-KC-LEVENSDUURVERLENGENDE MAATREGEL;0.18;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;V-CONTINUOUS-SO;0.25;170;172;170;170;253;CONTINUOUS;;;2824;;http://digitalbuildingdata.tech/nlcs/def/535d9fd3-b6a5-40ae-bea9-5f558b44064f;
OVERIG MATERIAAL;*;-;**;-;KC;-;OVERIG MATERIAAL;;;;;;;;;;;;;;;;;*-**-KC-OVERIG MATERIAAL;0.18;7;253;7;20;254;CONTINUOUS;0.18;7;253;7;20;254;CONTINUOUS;0.18;7;253;7;20;254;V-CONTINUOUS-SO;0.18;7;253;7;20;254;CONTINUOUS;;;2822;;http://digitalbuildingdata.tech/nlcs/def/c7cd22a0-ba75-4a47-a0fb-4fb40e25198e;
