OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
KUNSTWERK;*;-;**;-;KW;-;KUNSTWERK;;;;;;;;;;;;;;;;;*-**-KW-KUNSTWERK;0.18;170;7;170;170;204,100,110;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;1422;;http://digitalbuildingdata.tech/nlcs/def/4f401d9e-7b60-4caf-ae29-bf0ccb0edef6;
KUNSTWERK_AQUADUCT;*;-;**;-;KW;-;KUNSTWERK;_;AQUADUCT;;;;;;;;;;;;;;;*-**-KW-KUNSTWERK_AQUADUCT;0.18;170;7;170;170;204,100,110;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;1423;1422;http://digitalbuildingdata.tech/nlcs/def/2d885565-313c-4378-b593-a06e24d0c320;http://digitalbuildingdata.tech/nlcs/def/4f401d9e-7b60-4caf-ae29-bf0ccb0edef6
KUNSTWERK_BODEMVAL;*;-;**;-;KW;-;KUNSTWERK;_;BODEMVAL;;;;;;;;;;;;;;;*-**-KW-KUNSTWERK_BODEMVAL;0.18;170;7;170;170;204,100,110;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;3516;1422;http://digitalbuildingdata.tech/nlcs/def/747f0a48-61ef-4525-8fbf-847ed2ed61f2;http://digitalbuildingdata.tech/nlcs/def/4f401d9e-7b60-4caf-ae29-bf0ccb0edef6
KUNSTWERK_BRUG;*;-;**;-;KW;-;KUNSTWERK;_;BRUG;;;;;;;;;;;;;;;*-**-KW-KUNSTWERK_BRUG;0.18;170;7;170;170;204,100,110;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;1424;1422;http://digitalbuildingdata.tech/nlcs/def/a705f592-76ee-478f-b6e5-7d456dda8304;http://digitalbuildingdata.tech/nlcs/def/4f401d9e-7b60-4caf-ae29-bf0ccb0edef6
KUNSTWERK_BRUG_FIETSBRUG;*;-;**;-;KW;-;KUNSTWERK;_;BRUG;_;FIETSBRUG;;;;;;;;;;;;;*-**-KW-KUNSTWERK_BRUG_FIETSBRUG;0.18;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;1425;1424;http://digitalbuildingdata.tech/nlcs/def/1cc73034-5203-4144-9cf6-5136e29aab1e;http://digitalbuildingdata.tech/nlcs/def/a705f592-76ee-478f-b6e5-7d456dda8304
KUNSTWERK_BRUG_SPOORBRUG;*;-;**;-;KW;-;KUNSTWERK;_;BRUG;_;SPOORBRUG;;;;;;;;;;;;;*-**-KW-KUNSTWERK_BRUG_SPOORBRUG;0.18;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;1426;1424;http://digitalbuildingdata.tech/nlcs/def/f46f12e9-dd03-4822-afce-75d6cb89e01b;http://digitalbuildingdata.tech/nlcs/def/a705f592-76ee-478f-b6e5-7d456dda8304
KUNSTWERK_BRUG_VOETGANGERSBRUG;*;-;**;-;KW;-;KUNSTWERK;_;BRUG;_;VOETGANGERSBRUG;;;;;;;;;;;;;*-**-KW-KUNSTWERK_BRUG_VOETGANGERSBRUG;0.18;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;1427;1424;http://digitalbuildingdata.tech/nlcs/def/cbce931c-f0b0-44a7-a2ab-a8573166c656;http://digitalbuildingdata.tech/nlcs/def/a705f592-76ee-478f-b6e5-7d456dda8304
KUNSTWERK_BRUG_WEGVERKEERSBRUG;*;-;**;-;KW;-;KUNSTWERK;_;BRUG;_;WEGVERKEERSBRUG;;;;;;;;;;;;;*-**-KW-KUNSTWERK_BRUG_WEGVERKEERSBRUG;0.18;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;1428;1424;http://digitalbuildingdata.tech/nlcs/def/0a70ff1f-9e5d-48d2-9a4f-de57694a0b7b;http://digitalbuildingdata.tech/nlcs/def/a705f592-76ee-478f-b6e5-7d456dda8304
KUNSTWERK_COUPURE;*;-;**;-;KW;-;KUNSTWERK;_;COUPURE;;;;;;;;;;;;;;;*-**-KW-KUNSTWERK_COUPURE;0.18;170;7;170;170;204,100,110;CONTINUOUS;0.35;170;7;170;170;253;CONTINUOUS;0.35;170;7;170;170;253;V-CONTINUOUS-SO;0.35;170;7;170;170;253;CONTINUOUS;;;3517;1422;http://digitalbuildingdata.tech/nlcs/def/c0dd5d83-fadf-4383-9795-4d33c5a4f933;http://digitalbuildingdata.tech/nlcs/def/4f401d9e-7b60-4caf-ae29-bf0ccb0edef6
KUNSTWERK_DEK;*;-;**;-;KW;-;KUNSTWERK;_;DEK;;;;;;;;;;;;;;;*-**-KW-KUNSTWERK_DEK;0.18;170;172;170;170;204,100,110;CONTINUOUS;0.35;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;V-CONTINUOUS-SO;0.35;170;172;170;170;253;CONTINUOUS;;;3511;1422;http://digitalbuildingdata.tech/nlcs/def/70307f71-747e-47f5-ad02-280f6c7b1fea;http://digitalbuildingdata.tech/nlcs/def/4f401d9e-7b60-4caf-ae29-bf0ccb0edef6
