OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
AANGRENZENDECONSTRUCTIE;*;-;**;-;MW;-;AANGRENZENDECONSTRUCTIE;;;;;;;;;;;;;;;ACO;;*-**-MW-AANGRENZENDECONSTRUCTIE;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;;;2855;;http://digitalbuildingdata.tech/nlcs/def/64223cb6-7828-4cc1-b6b7-8e0e2408d159;
AANGRENZENDECONSTRUCTIE_BETON;*;-;**;-;MW;-;AANGRENZENDECONSTRUCTIE;_;BETON;;;;;;;;;;;;;ACO-BETON;;*-**-MW-AANGRENZENDECONSTRUCTIE_BETON;0.18;7;252;7;20;253;CONTINUOUS;0.18;7;254;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;;;2856;2855;http://digitalbuildingdata.tech/nlcs/def/e7500eb1-1126-45e9-84b0-4e46eea99d1d;http://digitalbuildingdata.tech/nlcs/def/64223cb6-7828-4cc1-b6b7-8e0e2408d159
AANGRENZENDECONSTRUCTIE_HOUT;*;-;**;-;MW;-;AANGRENZENDECONSTRUCTIE;_;HOUT;;;;;;;;;;;;;ACO-HOUT;;*-**-MW-AANGRENZENDECONSTRUCTIE_HOUT;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;;;2857;2855;http://digitalbuildingdata.tech/nlcs/def/0d31ef03-bc62-4915-b320-8316de771898;http://digitalbuildingdata.tech/nlcs/def/64223cb6-7828-4cc1-b6b7-8e0e2408d159
AANGRENZENDECONSTRUCTIE_STAAL;*;-;**;-;MW;-;AANGRENZENDECONSTRUCTIE;_;STAAL;;;;;;;;;;;;;ACO-STAAL;;*-**-MW-AANGRENZENDECONSTRUCTIE_STAAL;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;;;2858;2855;http://digitalbuildingdata.tech/nlcs/def/e13d4bac-00f6-4961-b61f-4ced853555ac;http://digitalbuildingdata.tech/nlcs/def/64223cb6-7828-4cc1-b6b7-8e0e2408d159
ISOLATIE;*;-;**;-;MW;-;ISOLATIE;;;;;;;;;;;;;;;;;*-**-MW-ISOLATIE;0.18;40;252;140;10;253;CONTINUOUS;0.18;40;252;140;10;253;CONTINUOUS;0.25;40;252;140;10;253;CONTINUOUS;0.18;40;252;140;10;253;CONTINUOUS;;;2854;;http://digitalbuildingdata.tech/nlcs/def/e19b21db-aa2e-47c6-822a-f88fad3d38b2;
LATEI;*;-;**;-;MW;-;LATEI;;;;;;;;;;;;;;;;;*-**-MW-LATEI;0.18;40;252;140;10;253;CONTINUOUS;0.18;40;252;140;10;253;CONTINUOUS;0.25;40;252;140;10;253;CONTINUOUS;0.18;40;252;140;10;253;CONTINUOUS;;;2852;;http://digitalbuildingdata.tech/nlcs/def/961c1d69-ebbb-43f2-a240-892d59a1a590;
LEVENSDUURVERLENGENDE MAATREGEL;*;-;**;-;MW;-;LEVENSDUURVERLENGENDE MAATREGEL;;;;;;;;;;;;;;;;;*-**-MW-LEVENSDUURVERLENGENDE MAATREGEL;0.18;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;V-CONTINUOUS-SO;0.25;170;172;170;170;253;CONTINUOUS;;;2861;;http://digitalbuildingdata.tech/nlcs/def/57cd8f47-bf7a-44fb-a79b-31b91a74ac1e;
METSELWERKVORM;*;-;**;-;MW;-;METSELWERKVORM;;;;;;;;;;;;;;;AMW-METSELWERK;;*-**-MW-METSELWERKVORM;0.18;240;252;230;10;253;CONTINUOUS;0.25;240;252;230;10;253;CONTINUOUS;0.25;240;252;230;10;253;CONTINUOUS;0.25;240;252;230;10;253;CONTINUOUS;;;2846;;http://digitalbuildingdata.tech/nlcs/def/98652677-ef16-44c6-a104-54ab654df57e;
METSELWERKVORM_BAKSTEEN;*;-;**;-;MW;-;METSELWERKVORM;_;BAKSTEEN;;;;;;;;;;;;;;;*-**-MW-METSELWERKVORM_BAKSTEEN;0.18;240;252;230;10;253;CONTINUOUS;0.25;240;252;230;10;253;CONTINUOUS;0.25;240;252;230;10;253;CONTINUOUS;0.25;240;252;230;10;253;CONTINUOUS;;;2847;2846;http://digitalbuildingdata.tech/nlcs/def/010b58c1-f5d4-4b3f-b7ba-b5ff94935705;http://digitalbuildingdata.tech/nlcs/def/98652677-ef16-44c6-a104-54ab654df57e
METSELWERKVORM_BETONSTEEN;*;-;**;-;MW;-;METSELWERKVORM;_;BETONSTEEN;;;;;;;;;;;;;;;*-**-MW-METSELWERKVORM_BETONSTEEN;0.18;240;252;230;10;253;CONTINUOUS;0.25;240;252;230;10;253;CONTINUOUS;0.25;240;252;230;10;253;CONTINUOUS;0.25;240;252;230;10;253;CONTINUOUS;;;2848;2846;http://digitalbuildingdata.tech/nlcs/def/b2830396-d4d4-431f-94b3-cf9599fcdf86;http://digitalbuildingdata.tech/nlcs/def/98652677-ef16-44c6-a104-54ab654df57e
