OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
BEKLEDING;*;-;**;-;OB;-;BEKLEDING;;;;;;;;;;;;;;;;;*-**-OB-BEKLEDING;0.18;7;7;7;7;254;CONTINUOUS;0.35;7;7;7;7;254;CONTINUOUS;0.35;7;7;7;7;254;V-CONTINUOUS-SO;0.35;7;7;7;7;254;CONTINUOUS;;;2914;;http://digitalbuildingdata.tech/nlcs/def/57f40637-086d-47db-90b5-014bba8fdda7;
BEKLEDING_BETON;*;-;**;-;OB;-;BEKLEDING;_;BETON;;;;;;;;;;;;;;;*-**-OB-BEKLEDING_BETON;0.18;253;253;253;253;254;CONTINUOUS;0.35;253;253;253;253;254;CONTINUOUS;0.35;253;253;253;253;254;V-CONTINUOUS-SO;0.35;253;253;253;253;254;CONTINUOUS;;;2916;2914;http://digitalbuildingdata.tech/nlcs/def/ed091380-664e-4d89-a90f-6a5348011a12;http://digitalbuildingdata.tech/nlcs/def/57f40637-086d-47db-90b5-014bba8fdda7
BEKLEDING_BITUMEN;*;-;**;-;OB;-;BEKLEDING;_;BITUMEN;;;;;;;;;;;;;;;*-**-OB-BEKLEDING_BITUMEN;0.18;252;252;252;252;254;CONTINUOUS;0.35;252;252;252;252;254;CONTINUOUS;0.35;252;252;252;252;254;V-CONTINUOUS-SO;0.35;252;252;252;252;254;CONTINUOUS;;;2917;2914;http://digitalbuildingdata.tech/nlcs/def/03f21118-e625-46da-af31-63993504bf31;http://digitalbuildingdata.tech/nlcs/def/57f40637-086d-47db-90b5-014bba8fdda7
BEKLEDING_STEEN;*;-;**;-;OB;-;BEKLEDING;_;STEEN;;;;;;;;;;;;;;;*-**-OB-BEKLEDING_STEEN;0.18;30;30;30;30;254;CONTINUOUS;0.35;30;30;30;30;254;CONTINUOUS;0.35;30;30;30;30;254;V-CONTINUOUS-SO;0.35;30;30;30;30;254;CONTINUOUS;;;2915;2914;http://digitalbuildingdata.tech/nlcs/def/8aa881aa-b630-42ed-9ad3-c5d2641fc3e9;http://digitalbuildingdata.tech/nlcs/def/57f40637-086d-47db-90b5-014bba8fdda7
BEKLEDING_STORTSTEEN;*;-;**;-;OB;-;BEKLEDING;_;STORTSTEEN;;;;;;;;;;;;;;;*-**-OB-BEKLEDING_STORTSTEEN;0.18;30;30;30;30;254;CONTINUOUS;0.35;30;30;30;30;254;CONTINUOUS;0.35;30;30;30;30;254;V-CONTINUOUS-SO;0.35;30;30;30;30;254;CONTINUOUS;;;2918;2914;http://digitalbuildingdata.tech/nlcs/def/be1358a2-021a-4e4f-9b1a-d7ea524d1401;http://digitalbuildingdata.tech/nlcs/def/57f40637-086d-47db-90b5-014bba8fdda7
BESCHOEIING;*;-;**;-;OB;-;BESCHOEIING;;;;;;;;;;;;;;;;;*-**-OB-BESCHOEIING;0.18;7;7;7;7;253;OB-BESCHOEIING-SO;0.35;7;7;7;7;253;OB-BESCHOEIING-SO;0.35;7;7;7;7;253;V-OB-BESCHOEIING-SO;0.35;7;7;7;7;253;OB-BESCHOEIING-SO;;;1587;;http://digitalbuildingdata.tech/nlcs/def/346f0ccb-a49e-4030-9696-8a8710d62942;
BESCHOEIING_BESCHOEIINGPAAL;*;-;**;-;OB;-;BESCHOEIING;_;BESCHOEIINGPAAL;;;;;;;;;;;;;;;*-**-OB-BESCHOEIING_BESCHOEIINGPAAL;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1589;1587;http://digitalbuildingdata.tech/nlcs/def/29f9c9dc-884d-41d6-ab99-d5c192304eb8;http://digitalbuildingdata.tech/nlcs/def/346f0ccb-a49e-4030-9696-8a8710d62942
BESCHOEIING_COMBINATIE;*;-;**;-;OB;-;BESCHOEIING;_;COMBINATIE;;;;;;;;;;;;;;;*-**-OB-BESCHOEIING_COMBINATIE;0.18;130;132;130;130;253;GK-BESCHOEIING-SO;0.35;130;132;130;130;253;GK-BESCHOEIING-SO;0.35;130;132;130;130;253;V-GK-BESCHOEIING-SO;0.35;130;132;130;130;253;GK-BESCHOEIING-SO;;;350;1587;http://digitalbuildingdata.tech/nlcs/def/b63d9d71-b22a-4592-9733-c114aedc9b78;http://digitalbuildingdata.tech/nlcs/def/346f0ccb-a49e-4030-9696-8a8710d62942
BESCHOEIING_PERKOENPALENRIJ;*;-;**;-;OB;-;BESCHOEIING;_;PERKOENPALENRIJ;;;;;;;;;;;;;;;*-**-OB-BESCHOEIING_PERKOENPALENRIJ;0.18;7;7;7;7;253;OB-PERKOEN-SO;0.35;7;7;7;7;253;OB-PERKOEN-SO;0.35;7;7;7;7;253;V-OB-PERKOEN-SO;0.35;7;7;7;7;253;OB-PERKOEN-SO;;;1588;1587;http://digitalbuildingdata.tech/nlcs/def/bd803279-2649-474c-8d9a-aeebcad5eb45;http://digitalbuildingdata.tech/nlcs/def/346f0ccb-a49e-4030-9696-8a8710d62942
BETUINING;*;-;**;-;OB;-;BETUINING;;;;;;;;;;;;;;;;;*-**-OB-BETUINING;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1599;;http://digitalbuildingdata.tech/nlcs/def/9ee738c8-4a29-47ce-ac39-9bf0abe5bec5;
BODEMBESCHERMING;*;-;**;-;OB;-;BODEMBESCHERMING;;;;;;;;;;;;;;;;;*-**-OB-BODEMBESCHERMING;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1600;;http://digitalbuildingdata.tech/nlcs/def/74599cd7-63fb-4938-8ee8-61c0d44f1a2d;
DIJKBEKLEDING;*;-;**;-;OB;-;DIJKBEKLEDING;;;;;;;;;;;;;;;;;*-**-OB-DIJKBEKLEDING;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1594;;http://digitalbuildingdata.tech/nlcs/def/130ad10a-8097-4673-8710-4df6f17c9864;
DUINBESCHERMING;*;-;**;-;OB;-;DUINBESCHERMING;;;;;;;;;;;;;;;;;*-**-OB-DUINBESCHERMING;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1591;;http://digitalbuildingdata.tech/nlcs/def/426457fd-cff3-4706-9a43-c51a78d83442;
DUINBESCHERMING_PERKOENPAAL;*;-;**;-;OB;-;DUINBESCHERMING;_;PERKOENPAAL;;;;;;;;;;;;;;;*-**-OB-DUINBESCHERMING_PERKOENPAAL;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1592;1591;http://digitalbuildingdata.tech/nlcs/def/0bee123b-7c59-4d21-bf24-521461d0096b;http://digitalbuildingdata.tech/nlcs/def/426457fd-cff3-4706-9a43-c51a78d83442
GOLFBREKER;*;-;**;-;OB;-;GOLFBREKER;;;;;;;;;;;;;;;;;*-**-OB-GOLFBREKER;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1593;;http://digitalbuildingdata.tech/nlcs/def/d44fcbc4-cb08-4789-80b9-f48314d85539;
KLEI;*;-;**;-;OB;-;KLEI;;;;;;;;;;;;;;;;;*-**-OB-KLEI;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1583;;http://digitalbuildingdata.tech/nlcs/def/72fe0769-def9-4ae1-ace8-3869de0882c9;
KRIB;*;-;**;-;OB;-;KRIB;;;;;;;;;;;;;;;;;*-**-OB-KRIB;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1595;;http://digitalbuildingdata.tech/nlcs/def/044cf6e7-3086-480e-bf8e-74ac4708ae91;
NATUURLIJKE BESCHERMING;*;-;**;-;OB;-;NATUURLIJKE BESCHERMING;;;;;;;;;;;;;;;;;*-**-OB-NATUURLIJKE BESCHERMING;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1598;;http://digitalbuildingdata.tech/nlcs/def/1892289b-4374-4228-b038-3f1e385fee74;
NATUUROEVER;*;-;**;-;OB;-;NATUUROEVER;;;;;;;;;;;;;;;;;*-**-OB-NATUUROEVER;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1597;;http://digitalbuildingdata.tech/nlcs/def/7a9c98bf-78ae-42ad-99eb-c5119a79a151;
