OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
AFMEERLOKATIE;*;-;**;-;OG;-;AFMEERLOKATIE;;;;;;;;;;;;;;;;;*-**-OG-AFMEERLOKATIE;0.18;140;142;140;140;253;CONTINUOUS;0.35;140;142;140;140;253;CONTINUOUS;0.35;140;142;140;140;253;V-CONTINUOUS-SO;0.35;140;142;140;140;253;CONTINUOUS;;;2547;;http://digitalbuildingdata.tech/nlcs/def/4f9d8d13-f3f9-459b-9a1d-6badbda86241;
BEBOUWING;*;-;**;-;OG;-;BEBOUWING;;;;;;;;;;;;;;;;;*-**-OG-BEBOUWING;0.35;7;7;7;7;204,100,110;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;253;V-CONTINUOUS-SO;0.25;7;7;7;7;253;CONTINUOUS;;;1616;;http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4;
BEBOUWING_BASSIN;*;-;**;-;OG;-;BEBOUWING;_;BASSIN;;;;;;;;;;;;;;;*-**-OG-BEBOUWING_BASSIN;0.18;7;7;7;7;190,232,255;CONTINUOUS;0.25;7;7;7;7;220,120,105;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;;;3525;1616;http://digitalbuildingdata.tech/nlcs/def/8982ca60-6d2b-4caa-ae82-ab13c1a0d2b1;http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4
BEBOUWING_BEDRIJVEN;*;-;**;-;OG;-;BEBOUWING;_;BEDRIJVEN;;;;;;;;;;;;;;;*-**-OG-BEBOUWING_BEDRIJVEN;0.18;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;200,160,215;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;B;;3139;1616;http://digitalbuildingdata.tech/nlcs/def/136eb175-44da-4a01-9a0c-a5f4e972cee2;http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4
BEBOUWING_BEDRIJVEN_DETAILHANDEL;*;-;**;-;OG;-;BEBOUWING;_;BEDRIJVEN;_;DETAILHANDEL;;;;;;;;;;;;;*-**-OG-BEBOUWING_BEDRIJVEN_DETAILHANDEL;0.18;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;255,160,150;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;;;3142;3139;http://digitalbuildingdata.tech/nlcs/def/629d2da7-2124-4f25-898a-d7c253e1404f;http://digitalbuildingdata.tech/nlcs/def/136eb175-44da-4a01-9a0c-a5f4e972cee2
BEBOUWING_BEDRIJVEN_GROOTBEDRIJF;*;-;**;-;OG;-;BEBOUWING;_;BEDRIJVEN;_;GROOTBEDRIJF;;;;;;;;;;;;;*-**-OG-BEBOUWING_BEDRIJVEN_GROOTBEDRIJF;0.18;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;180,095,210;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;;;3141;3139;http://digitalbuildingdata.tech/nlcs/def/e2bc7dda-a9d6-4f6c-8ca8-babb5a4715e4;http://digitalbuildingdata.tech/nlcs/def/136eb175-44da-4a01-9a0c-a5f4e972cee2
BEBOUWING_BEDRIJVEN_MKB;*;-;**;-;OG;-;BEBOUWING;_;BEDRIJVEN;_;MKB;;;;;;;;;;;;;*-**-OG-BEBOUWING_BEDRIJVEN_MKB;0.18;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;255,204,255;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;;;3140;3139;http://digitalbuildingdata.tech/nlcs/def/eb070441-3ef5-4493-a024-c75f04a1c107;http://digitalbuildingdata.tech/nlcs/def/136eb175-44da-4a01-9a0c-a5f4e972cee2
BEBOUWING_BEZINKTANK;*;-;**;-;OG;-;BEBOUWING;_;BEZINKTANK;;;;;;;;;;;;;;;*-**-OG-BEBOUWING_BEZINKTANK;0.18;7;7;7;7;190,232,255;CONTINUOUS;0.25;7;7;7;7;220,120,105;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;;;3524;1616;http://digitalbuildingdata.tech/nlcs/def/3e96ed27-8665-41de-85b0-bf1910db0c75;http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4
BEBOUWING_BIJGEBOUW;*;-;**;-;OG;-;BEBOUWING;_;BIJGEBOUW;;;;;;;;;;;;;;;*-**-OG-BEBOUWING_BIJGEBOUW;0.18;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;220,120,105;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;;;3143;1616;http://digitalbuildingdata.tech/nlcs/def/3afcfe6b-ca18-4277-bde3-baf29480f376;http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4
BEBOUWING_BIJGEBOUW_OPTIE;*;-;**;-;OG;-;BEBOUWING;_;BIJGEBOUW;_;OPTIE;;;;;;;;;;;;;*-**-OG-BEBOUWING_BIJGEBOUW_OPTIE;0.18;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;235,160,160;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;;;3144;3143;http://digitalbuildingdata.tech/nlcs/def/8ef52cb4-5942-4f69-b0fa-c681589e3e3c;http://digitalbuildingdata.tech/nlcs/def/3afcfe6b-ca18-4277-bde3-baf29480f376
