OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
DOORVAART;*;-;**;-;VV;-;DOORVAART;_;;;;;;;;;;;;;;;;*-**-VV-DOORVAART_;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;2548;;http://digitalbuildingdata.tech/nlcs/def/e504d2cf-8aa2-4dfe-afef-a045f8d456c3;
DOORVAART_BREEDTE;*;-;**;-;VV;-;DOORVAART;_;BREEDTE;;;;;;;;;;;;;;;*-**-VV-DOORVAART_BREEDTE;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;2549;2548;http://digitalbuildingdata.tech/nlcs/def/e44b5714-be44-454e-a905-e0ce70462706;http://digitalbuildingdata.tech/nlcs/def/e504d2cf-8aa2-4dfe-afef-a045f8d456c3
DOORVAART_HOOGTE;*;-;**;-;VV;-;DOORVAART;_;HOOGTE;;;;;;;;;;;;;;;*-**-VV-DOORVAART_HOOGTE;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;2550;2548;http://digitalbuildingdata.tech/nlcs/def/b82b329a-2eef-4027-ae7f-7eb5fd6b3cf2;http://digitalbuildingdata.tech/nlcs/def/e504d2cf-8aa2-4dfe-afef-a045f8d456c3
DOORVAART_PVR;*;-;**;-;VV;-;DOORVAART;_;PVR;;;;;;;;;;;;;;;*-**-VV-DOORVAART_PVR;0.18;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;253;CONTINUOUS;0.25;7;7;7;7;253;V-CONTINUOUS-SO;0.25;7;7;7;7;253;CONTINUOUS;;;2992;2548;http://digitalbuildingdata.tech/nlcs/def/92630e8a-7852-4128-b4c2-52ecfff4f976;http://digitalbuildingdata.tech/nlcs/def/e504d2cf-8aa2-4dfe-afef-a045f8d456c3
MARKERING;*;-;**;-;VV;-;MARKERING;_;;;;;;;;;;;;;;;;*-**-VV-MARKERING_;0.18;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;V-CONTINUOUS-SO;0.35;170;172;170;170;253;CONTINUOUS;;;2540;;http://digitalbuildingdata.tech/nlcs/def/f49d54d3-957c-4b06-b8df-0005d2cceeb8;
MARKERING_BALLENLIJN;*;-;**;-;VV;-;MARKERING;_;BALLENLIJN;;;;;;;;;;;;;;;*-**-VV-MARKERING_BALLENLIJN;0.18;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;V-CONTINUOUS-SO;0.35;170;172;170;170;253;CONTINUOUS;;;2541;2540;http://digitalbuildingdata.tech/nlcs/def/1d6e4f92-d21d-4160-acc0-3c77389135fe;http://digitalbuildingdata.tech/nlcs/def/f49d54d3-957c-4b06-b8df-0005d2cceeb8
MARKERING_BETONNING;*;-;**;-;VV;-;MARKERING;_;BETONNING;;;;;;;;;;;;;;SVV-BETONNING;*-**-VV-MARKERING_BETONNING;0.18;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;V-CONTINUOUS-SO;0.35;170;172;170;170;253;CONTINUOUS;;;4085;2540;http://digitalbuildingdata.tech/nlcs/def/6d7cace9-79a8-472d-b888-9e0f60894d21;http://digitalbuildingdata.tech/nlcs/def/f49d54d3-957c-4b06-b8df-0005d2cceeb8
VAARGEBIED;*;-;**;-;VV;-;VAARGEBIED;_;;;;;;;;;;;;;;;;*-**-VV-VAARGEBIED_;0.18;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;V-CONTINUOUS-SO;0.35;210;212;210;210;253;CONTINUOUS;;;2551;;http://digitalbuildingdata.tech/nlcs/def/bb2c3b45-91e7-44d9-9107-1e83efe98311;
VAARGEBIED_SNEL;*;-;**;-;VV;-;VAARGEBIED;_;SNEL;;;;;;;;;;;;;;;*-**-VV-VAARGEBIED_SNEL;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;V-CONTINUOUS-SO;0.35;10;12;10;10;253;CONTINUOUS;;;2552;2551;http://digitalbuildingdata.tech/nlcs/def/164c3f81-801b-4772-8155-338802026769;http://digitalbuildingdata.tech/nlcs/def/bb2c3b45-91e7-44d9-9107-1e83efe98311
VERKEERSTEKEN;*;-;**;-;VV;-;VERKEERSTEKEN;_;;;;;;;;;;;;;;;SVV-VERKEERSTEKEN_INLAATSEIN-SO;*-**-VV-VERKEERSTEKEN_;0.18;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;V-CONTINUOUS-SO;0.35;170;172;170;170;253;CONTINUOUS;;;2542;;http://digitalbuildingdata.tech/nlcs/def/bf0c5f8d-509e-43e9-99cf-39881d60a51f;
