OMSCHRIJVING,STATUS,-,DISCIPLINE,-,HOOFDGROEP,-,OBJECT,_,SUBOBJECT01,_,SUBOBJECT02,_,SUBOBJECT03,_,SUBOBJECT04,_,SUBOBJECT05,-,BEWERKING,-,ELEMENT,-,SCHAAL,ARCERING,SYMBOOL,LAAGNAAM,B lineweight,B color,B color A,B color GD,B color GN,B color V,B linetype,N lineweight,N color,N color A,N color GD,N color GN,N color V,N linetype,V lineweight,V color,V color A,V color GD,V color GN,V color V,V linetype,T lineweight,T color,T color A,T color GD,T color GN,T color V,T linetype,VRKL_kort,VRKL_lang,VERSIE,WIJZIGING,STATUS,ID,KIND_VAN
AS,*,-,**,-,AM,-,AS,,,,,,,,,,,,,-,G/S,,,,SAM-AS,*-**-AM-AS-G/S,0.18,10,10,10,10,253,AM-AS-SO,0.18,10,10,10,10,253,AM-AS-SO,0.18,10,10,10,10,253,V-AM-AS-SO,0.18,10,10,10,10,253,AM-AS-SO,,,2.3,,,40,0
AS_BERMBEVEILIGINGSVOORZIENING,*,-,**,-,AM,-,AS,_,BERMBEVEILIGINGSVOORZIENING,,,,,,,,,,,-,G,,,,,*-**-AM-AS_BERMBEVEILIGINGSVOORZIENING-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,133,40
AS_CUNET,*,-,**,-,AM,-,AS,_,CUNET,,,,,,,,,,,-,G,,,,,*-**-AM-AS_CUNET-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,3.0,,NIEUW,143,40
AS_DIJK,*,-,**,-,AM,-,AS,_,DIJK,,,,,,,,,,,-,G,,,,,*-**-AM-AS_DIJK-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,134,40
AS_DIJK_WINTERDIJK,*,-,**,-,AM,-,AS,_,DIJK,_,WINTERDIJK,,,,,,,,,-,G,,,,,*-**-AM-AS_DIJK_WINTERDIJK-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,136,134
AS_DIJK_ZOMERDIJK,*,-,**,-,AM,-,AS,_,DIJK,_,ZOMERDIJK,,,,,,,,,-,G,,,,,*-**-AM-AS_DIJK_ZOMERDIJK-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,135,134
AS_GELUIDSWAL,*,-,**,-,AM,-,AS,_,GELUIDSWAL,,,,,,,,,,,-,G,,,,,*-**-AM-AS_GELUIDSWAL-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,3.0,,VERVALLEN,144,40
AS_GRONDKERENDECONSTRUCTIE,*,-,**,-,AM,-,AS,_,GRONDKERENDECONSTRUCTIE,,,,,,,,,,,-,G,,,,,*-**-AM-AS_GRONDKERENDECONSTRUCTIE-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,132,40
AS_KADE,*,-,**,-,AM,-,AS,_,KADE,,,,,,,,,,,-,G,,,,,*-**-AM-AS_KADE-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,137,40
AS_KERING,*,-,**,-,AM,-,AS,_,KERING,,,,,,,,,,,-,G,,,,,*-**-AM-AS_KERING-G,0.18,10,10,10,10,253,AM-AS-SO,0.18,10,10,10,10,253,AM-AS-SO,0.18,10,10,10,10,253,V-AM-AS-SO,0.18,10,10,10,10,253,AM-AS-SO,,,4.1,,NIEUW,3365,40
AS_KUNSTWERK,*,-,**,-,AM,-,AS,_,KUNSTWERK,,,,,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,95,40
AS_KUNSTWERK_AQUADUCT,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,AQUADUCT,,,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_AQUADUCT-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,109,95
AS_KUNSTWERK_BRUG,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,BRUG,,,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_BRUG-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,110,95
AS_KUNSTWERK_BRUG_FIETS,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,BRUG,_,FIETS,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_BRUG_FIETS-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,113,110
AS_KUNSTWERK_BRUG_SPOOR,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,BRUG,_,SPOOR,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_BRUG_SPOOR-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,112,110
AS_KUNSTWERK_BRUG_VOETGANGER,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,BRUG,_,VOETGANGER,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_BRUG_VOETGANGER-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,114,110
AS_KUNSTWERK_BRUG_WEG,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,BRUG,_,WEG,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_BRUG_WEG-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,111,110
AS_KUNSTWERK_DUIKER,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,DUIKER,,,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_DUIKER-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,115,95
AS_KUNSTWERK_FLYOVER,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,FLYOVER,,,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_FLYOVER-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,122,95
AS_KUNSTWERK_GELUIDSWERENDEVOORZIENING,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,GELUIDSWERENDEVOORZIENING,,,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_GELUIDSWERENDEVOORZIENING-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,131,95
AS_KUNSTWERK_SLUIS,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,SLUIS,,,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_SLUIS-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,123,95
AS_KUNSTWERK_SLUIS_INLAATSLUIS,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,SLUIS,_,INLAATSLUIS,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_SLUIS_INLAATSLUIS-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,126,123
AS_KUNSTWERK_SLUIS_INNUNDATIESLUIS,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,SLUIS,_,INNUNDATIESLUIS,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_SLUIS_INNUNDATIESLUIS-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,127,123
AS_KUNSTWERK_SLUIS_KEERSLUIS,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,SLUIS,_,KEERSLUIS,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_SLUIS_KEERSLUIS-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,128,123
AS_KUNSTWERK_SLUIS_SCHUTSLUIS,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,SLUIS,_,SCHUTSLUIS,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_SLUIS_SCHUTSLUIS-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,124,123
AS_KUNSTWERK_SLUIS_TIJSLUIS,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,SLUIS,_,TIJSLUIS,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_SLUIS_TIJSLUIS-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,129,123
AS_KUNSTWERK_SLUIS_UITWATERINGSSLUIS,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,SLUIS,_,UITWATERINGSSLUIS,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_SLUIS_UITWATERINGSSLUIS-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,3.2,,GEWIJZIGD,125,123
AS_KUNSTWERK_STUW,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,STUW,,,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_STUW-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,130,95
AS_KUNSTWERK_TUNNEL,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,TUNNEL,,,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_TUNNEL-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,101,95
AS_KUNSTWERK_TUNNEL_FIETS,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,TUNNEL,_,FIETS,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_TUNNEL_FIETS-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,104,101
AS_KUNSTWERK_TUNNEL_SPOOR,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,TUNNEL,_,SPOOR,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_TUNNEL_SPOOR-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,103,101
AS_KUNSTWERK_TUNNEL_VOETGANGER,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,TUNNEL,_,VOETGANGER,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_TUNNEL_VOETGANGER-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,105,101
AS_KUNSTWERK_TUNNEL_WEG,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,TUNNEL,_,WEG,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_TUNNEL_WEG-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,102,101
AS_KUNSTWERK_TUNNELBAK,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,TUNNELBAK,,,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_TUNNELBAK-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,106,95
AS_KUNSTWERK_TUNNELBAK_SPOOR,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,TUNNELBAK,_,SPOOR,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_TUNNELBAK_SPOOR-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,108,106
AS_KUNSTWERK_TUNNELBAK_WEG,*,-,**,-,AM,-,AS,_,KUNSTWERK,_,TUNNELBAK,_,WEG,,,,,,,-,G,,,,,*-**-AM-AS_KUNSTWERK_TUNNELBAK_WEG-G,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,2.3,,,107,106
