OMSCHRIJVING,STATUS,-,DISCIPLINE,-,HOOFDGROEP,-,OBJECT,_,SUBOBJECT01,_,SUBOBJECT02,_,SUBOBJECT03,_,SUBOBJECT04,_,SUBOBJECT05,-,BEWERKING,-,ELEMENT,-,SCHAAL,ARCERING,SYMBOOL,LAAGNAAM,B lineweight,B color,B color A,B color GD,B color GN,B color V,B linetype,N lineweight,N color,N color A,N color GD,N color GN,N color V,N linetype,V lineweight,V color,V color A,V color GD,V color GN,V color V,V linetype,T lineweight,T color,T color A,T color GD,T color GN,T color V,T linetype,VRKL_kort,VRKL_lang,VERSIE,WIJZIGING,STATUS,ID,KIND_VAN
AANGRENZENDE CONSTRUCTIE,*,-,**,-,BC,-,AANGRENZENDE CONSTRUCTIE,,,,,,,,,,,,,-,G,,,,,*-**-BC-AANGRENZENDE CONSTRUCTIE-G,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,V-CONTINUOUS-SO,0.18,7,253,7,20,253,CONTINUOUS,,,3.1,255  vervangen door 253,GEWIJZIGD,2740,0
AANGRENZENDE CONSTRUCTIE_HOUT,*,-,**,-,BC,-,AANGRENZENDE CONSTRUCTIE,_,HOUT,,,,,,,,,,,-,G/A,,,ACO-HOUT,,*-**-BC-AANGRENZENDE CONSTRUCTIE_HOUT-G/A,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,V-CONTINUOUS-SO,0.18,7,253,7,20,253,CONTINUOUS,,,3.1,kleur 255 vervangen door 253,GEWIJZIGD,2742,2740
AANGRENZENDE CONSTRUCTIE_METSELWERK,*,-,**,-,BC,-,AANGRENZENDE CONSTRUCTIE,_,METSELWERK,,,,,,,,,,,-,G/A,,,ACO-METSELWERK,,*-**-BC-AANGRENZENDE CONSTRUCTIE_METSELWERK-G/A,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,V-CONTINUOUS-SO,0.18,7,253,7,20,253,CONTINUOUS,,,3.1,kleur 255 vervangen door 253,GEWIJZIGD,2743,2740
AANGRENZENDE CONSTRUCTIE_STAAL,*,-,**,-,BC,-,AANGRENZENDE CONSTRUCTIE,_,STAAL,,,,,,,,,,,-,G/A,,,ACO-STAAL,,*-**-BC-AANGRENZENDE CONSTRUCTIE_STAAL-G/A,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,V-CONTINUOUS-SO,0.18,7,253,7,20,253,CONTINUOUS,,,3.1,kleur 255 vervangen door 253,GEWIJZIGD,2741,2740
BETONVORM,*,-,**,-,BC,-,BETONVORM,,,,,,,,,,,,,-,G/A,,,ACO-BETON,,*-**-BC-BETONVORM-G/A,0.18,50,252,90,10,254,CONTINUOUS,0.25,50,254,90,10,254,CONTINUOUS,0.25,50,252,90,10,254,V-CONTINUOUS-SO,0.25,50,252,90,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2712,0
BETONVORM_BALLAST,*,-,**,-,BC,-,BETONVORM,_,BALLAST,,,,,,,,,,,-,G,,,,,*-**-BC-BETONVORM_BALLAST-G,0.18,50,252,90,10,254,CONTINUOUS,0.25,50,254,90,10,254,CONTINUOUS,0.25,50,252,90,10,254,V-CONTINUOUS-SO,0.25,50,252,90,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2720,2712
BETONVORM_GEWAPEND,*,-,**,-,BC,-,BETONVORM,_,GEWAPEND,,,,,,,,,,,-,G,,,,,*-**-BC-BETONVORM_GEWAPEND-G,0.18,50,252,90,10,254,CONTINUOUS,0.25,50,254,90,10,254,CONTINUOUS,0.25,50,252,90,10,254,V-CONTINUOUS-SO,0.25,50,252,90,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2718,2712
BETONVORM_IN HET WERK GESTORT,*,-,**,-,BC,-,BETONVORM,_,IN HET WERK GESTORT,,,,,,,,,,,-,G,,,,,*-**-BC-BETONVORM_IN HET WERK GESTORT-G,0.18,50,252,90,10,254,CONTINUOUS,0.25,50,254,90,10,254,CONTINUOUS,0.25,50,252,90,10,254,V-CONTINUOUS-SO,0.25,50,252,90,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2880,2712
BETONVORM_LICHT,*,-,**,-,BC,-,BETONVORM,_,LICHT,,,,,,,,,,,-,G,,,,,*-**-BC-BETONVORM_LICHT-G,0.18,50,252,90,10,254,CONTINUOUS,0.25,50,254,90,10,254,CONTINUOUS,0.25,50,252,90,10,254,V-CONTINUOUS-SO,0.25,50,252,90,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2713,2712
BETONVORM_ONGEWAPEND,*,-,**,-,BC,-,BETONVORM,_,ONGEWAPEND,,,,,,,,,,,-,G,,,,,*-**-BC-BETONVORM_ONGEWAPEND-G,0.18,50,252,90,10,254,CONTINUOUS,0.25,50,254,90,10,254,CONTINUOUS,0.25,50,252,90,10,254,V-CONTINUOUS-SO,0.25,50,252,90,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2719,2712
BETONVORM_OWB,*,-,**,-,BC,-,BETONVORM,_,OWB,,,,,,,,,,,-,G,,,,,*-**-BC-BETONVORM_OWB-G,0.18,50,252,90,10,254,CONTINUOUS,0.25,50,254,90,10,254,CONTINUOUS,0.25,50,252,90,10,254,V-CONTINUOUS-SO,0.25,50,252,90,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2717,2712
BETONVORM_PREFAB,*,-,**,-,BC,-,BETONVORM,_,PREFAB,,,,,,,,,,,-,G,,,,,*-**-BC-BETONVORM_PREFAB-G,0.18,50,252,90,10,254,CONTINUOUS,0.25,50,254,90,10,254,CONTINUOUS,0.25,50,252,90,10,254,V-CONTINUOUS-SO,0.25,50,252,90,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2714,2712
