OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;ELEMENT;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;VERSIE;WIJZIGING;STATUS;ID;KIND_VAN
GELEIDECONSTRUCTIE;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;;;;;;;;;;;;;-;G/S;;;;SBV:SBV-GELEIDECONSTRUCTIE;*-**-BV-GELEIDECONSTRUCTIE-G/S;0.18;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;V-CONTINUOUS-SO;0.18;210;212;210;210;253;CONTINUOUS;;;4.1;Symbool toegevoegd;GEWIJZIGD;151;0
GELEIDECONSTRUCTIE_BEBAKENING;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;BEBAKENING;;;;;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_BEBAKENING-G;0.18;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;V-CONTINUOUS-SO;0.35;210;212;210;210;253;CONTINUOUS;;;2.3;;;227;151
GELEIDECONSTRUCTIE_GELEIDEBARRIER;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;;;;;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER-G;0.18;210;212;210;210;253;BV-GELEIDEBARRIER-SO;0.35;210;212;210;210;253;BV-GELEIDEBARRIER-SO;0.35;210;212;210;210;253;V-BV-GELEIDEBARRIER-SO;0.35;210;212;210;210;253;BV-GELEIDEBARRIER-SO;;;2.3;;;152;151
GELEIDECONSTRUCTIE_GELEIDEBARRIER_ANTIVERBLINDINGSSCHERM;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;ANTIVERBLINDINGSSCHERM;;;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_ANTIVERBLINDINGSSCHERM-G;0.18;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;V-CONTINUOUS-SO;0.35;210;212;210;210;253;CONTINUOUS;;;2.3;;;167;152
GELEIDECONSTRUCTIE_GELEIDEBARRIER_OVERGANG;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;OVERGANG;;;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_OVERGANG-G;0.18;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;V-CONTINUOUS-SO;0.35;210;212;210;210;253;CONTINUOUS;;;2.3;;;165;152
GELEIDECONSTRUCTIE_GELEIDEBARRIER_OVERSTAPCONSTRUCTIE;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;OVERSTAPCONSTRUCTIE;;;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_OVERSTAPCONSTRUCTIE-G;0.18;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;CONTINUOUS;0.35;210;212;210;210;253;V-CONTINUOUS-SO;0.35;210;212;210;210;253;CONTINUOUS;;;2.3;;;166;152
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;;;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER-G;0.18;210;212;210;210;253;BV-STEPBARRIER-SO;0.35;210;212;210;210;253;BV-STEPBARRIER-SO;0.35;210;212;210;210;253;V-BV-STEPBARRIER-SO;0.35;210;212;210;210;253;BV-STEPBARRIER-SO;;;2.3;;;153;152
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_A1;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;A1;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_A1-G;;;;;;;;;;;;;;;0.35;210;212;210;210;253;V-BV-A1-SO;0.35;210;212;210;210;253;BV-A1-SO;;;2.3;;;163;153
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;BETON;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON-G;0.18;210;212;210;210;253;BV-STEPBARRIER_B-SO;0.35;210;212;210;210;253;BV-STEPBARRIER_B-SO;0.35;210;212;210;210;253;V-BV-STEPBARRIER_B-SO;0.35;210;212;210;210;253;BV-STEPBARRIER_B-SO;;;2.3;;;155;153
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON_PREFABGEKOPPELD;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;BETON;_;PREFABGEKOPPELD;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON_PREFABGEKOPPELD-G;0.18;210;212;210;210;253;BV-STEPBARRIER_BG-SO;0.35;210;212;210;210;253;BV-STEPBARRIER_BG-SO;0.35;210;212;210;210;253;V-BV-STEPBARRIER_BG-SO;0.35;210;212;210;210;253;BV-STEPBARRIER_BG-SO;;;2.3;;;157;155
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON_PREFABVERANKERD;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;BETON;_;PREFABVERANKERD;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON_PREFABVERANKERD-G;0.18;210;212;210;210;253;BV-STEPBARRIER_BV-SO;0.35;210;212;210;210;253;BV-STEPBARRIER_BV-SO;0.35;210;212;210;210;253;V-BV-STEPBARRIER_BV-SO;0.35;210;212;210;210;253;BV-STEPBARRIER_BV-SO;;;2.3;;;156;155
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON_SLIPFORMPAVER;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;BETON;_;SLIPFORMPAVER;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON_SLIPFORMPAVER-G;0.18;210;212;210;210;253;BV-SLIPFORM-SO;0.35;210;212;210;210;253;BV-SLIPFORM-SO;0.35;210;212;210;210;253;V-BV-SLIPFORM-SO;0.35;210;212;210;210;253;BV-SLIPFORM-SO;;;2.3;;;158;155
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BEVER;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;BEVER;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BEVER-G;;;;;;;;;;;;;;;0.35;210;212;210;210;253;V-BV-BEVER-SO;0.35;210;212;210;210;253;BV-BEVER-SO;;;2.3;;;164;153
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_RWS;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;RWS;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_RWS-G;;;;;;;;;;;;;;;0.35;210;212;210;210;253;V-BV-RWS-SO;0.35;210;212;210;210;253;BV-RWS-SO;;;2.3;;;159;153
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_SAFEGUARD;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;SAFEGUARD;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_SAFEGUARD-G;;;;;;;;;;;;;;;0.35;210;212;210;210;253;V-BV-SAFEGUARD-SO;0.35;210;212;210;210;253;BV-SAFEGUARD-SO;;;2.3;;;160;153
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_STAALVERANKERD;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;STAALVERANKERD;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_STAALVERANKERD-G;0.18;210;212;210;210;253;BV-STEPBARRIER_S-SO;0.35;210;212;210;210;253;BV-STEPBARRIER_S-SO;0.35;210;212;210;210;253;V-BV-STEPBARRIER_S-SO;0.35;210;212;210;210;253;BV-STEPBARRIER_S-SO;;;2.3;;;154;153
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_VARIOGUARD;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;VARIOGUARD;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_VARIOGUARD-G;;;;;;;;;;;;;;;0.35;210;212;210;210;253;V-BV-VARIOGUARD-SO;0.35;210;212;210;210;253;BV-VARIOGUARD-SO;;;2.3;;;162;153
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_VECUSEC;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDEBARRIER;_;STEPBARRIER;_;VECUSEC;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_VECUSEC-G;;;;;;;;;;;;;;;0.35;210;212;210;210;253;V-BV-VECUSEC-SO;0.35;210;212;210;210;253;BV-VECUSEC-SO;;;2.3;;;161;153
GELEIDECONSTRUCTIE_GELEIDERAIL;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;;;;;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL-G;0.18;210;212;210;210;253;BV-GELEIDERAIL-SO;0.35;210;212;210;210;253;BV-GELEIDERAIL-SO;0.35;210;212;210;210;253;V-BV-GELEIDERAIL-SO;0.35;210;212;210;210;253;BV-GELEIDERAIL-SO;;;2.3;;;168;151
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;;;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN-G;0.18;210;212;210;210;253;BV-GELEIDERAIL_A-SO;0.35;210;212;210;210;253;BV-GELEIDERAIL_A-SO;0.35;210;212;210;210;253;V-BV-GELEIDERAIL_A-SO;0.35;210;212;210;210;253;BV-GELEIDERAIL_A-SO;;;2.3;;;169;168
