OMSCHRIJVING,STATUS,-,DISCIPLINE,-,HOOFDGROEP,-,OBJECT,_,SUBOBJECT01,_,SUBOBJECT02,_,SUBOBJECT03,_,SUBOBJECT04,_,SUBOBJECT05,-,BEWERKING,-,ELEMENT,-,SCHAAL,ARCERING,SYMBOOL,LAAGNAAM,B lineweight,B color,B color A,B color GD,B color GN,B color V,B linetype,N lineweight,N color,N color A,N color GD,N color GN,N color V,N linetype,V lineweight,V color,V color A,V color GD,V color GN,V color V,V linetype,T lineweight,T color,T color A,T color GD,T color GN,T color V,T linetype,VRKL_kort,VRKL_lang,VERSIE,WIJZIGING,STATUS,ID,KIND_VAN
DAMWAND,*,-,**,-,FC,-,DAMWAND,,,,,,,,,,,,,-,G,,,,,*-**-FC-DAMWAND-G,0.18,60,252,30,10,254,CONTINUOUS,0.25,60,252,30,10,254,CONTINUOUS,0.25,60,252,30,10,254,V-CONTINUOUS-SO,0.25,60,252,30,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2758,0
DAMWAND_ANKER,*,-,**,-,FC,-,DAMWAND,_,ANKER,,,,,,,,,,,-,G/A,,,ACO-STAAL,,*-**-FC-DAMWAND_ANKER-G/A,0.18,60,252,30,10,254,CONTINUOUS,0.25,60,252,30,10,254,CONTINUOUS,0.25,60,252,30,10,254,V-CONTINUOUS-SO,0.25,60,252,30,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2762,2758
DAMWAND_ANKER_GROUT,*,-,**,-,FC,-,DAMWAND,_,ANKER,_,GROUT,,,,,,,,,-,G,,,,,*-**-FC-DAMWAND_ANKER_GROUT-G,0.18,60,252,30,10,254,CONTINUOUS,0.25,60,252,30,10,254,CONTINUOUS,0.25,60,252,30,10,254,V-CONTINUOUS-SO,0.25,60,252,30,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2763,2762
DAMWAND_BETON,*,-,**,-,FC,-,DAMWAND,_,BETON,,,,,,,,,,,-,G/A,,,ACO-BETON,,*-**-FC-DAMWAND_BETON-G/A,0.18,50,252,90,10,254,CONTINUOUS,0.25,50,254,90,10,254,CONTINUOUS,0.25,50,252,90,10,254,V-CONTINUOUS-SO,0.25,50,252,90,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2761,2758
DAMWAND_HOUT,*,-,**,-,FC,-,DAMWAND,_,HOUT,,,,,,,,,,,-,G/A,,,ACO-HOUT,,*-**-FC-DAMWAND_HOUT-G/A,0.18,30,252,40,10,254,CONTINUOUS,0.25,30,254,40,10,254,CONTINUOUS,0.25,30,252,40,10,254,V-CONTINUOUS-SO,0.25,30,252,40,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2759,2758
DAMWAND_STAAL,*,-,**,-,FC,-,DAMWAND,_,STAAL,,,,,,,,,,,-,G/A,,,ACO-STAAL,,*-**-FC-DAMWAND_STAAL-G/A,0.18,140,252,130,10,254,CONTINUOUS,0.25,140,252,130,10,254,CONTINUOUS,0.25,140,252,130,10,254,V-CONTINUOUS-SO,0.25,140,252,130,10,254,CONTINUOUS,,,3.1,Pendiktes en kleur,GEWIJZIGD,2760,2758
DIEPWAND,*,-,**,-,FC,-,DIEPWAND,,,,,,,,,,,,,-,G,,,,,*-**-FC-DIEPWAND-G,0.18,60,252,30,10,254,CONTINUOUS,0.25,60,252,30,10,254,CONTINUOUS,0.25,60,252,30,10,254,V-CONTINUOUS-SO,0.25,60,252,30,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2757,0
GRONDVERBETERING,*,-,**,-,FC,-,GRONDVERBETERING,,,,,,,,,,,,,-,G,,,,,*-**-FC-GRONDVERBETERING-G,0.18,30,252,60,10,254,CONTINUOUS,0.25,30,252,60,10,254,CONTINUOUS,0.25,30,252,60,10,254,V-CONTINUOUS-SO,0.25,30,252,60,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2765,0
KESP,*,-,**,-,FC,-,KESP,,,,,,,,,,,,,-,G/S/A,,,ACO-BETON,SFC-KESP,*-**-FC-KESP-G/S/A,0.18,60,252,30,10,254,CONTINUOUS,0.25,60,254,30,10,254,CONTINUOUS,0.25,60,252,30,10,254,V-CONTINUOUS-SO,0.25,60,252,30,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2766,0
LEVENSDUURVERLENGENDE MAATREGEL,*,-,**,-,FC,-,LEVENSDUURVERLENGENDE MAATREGEL,,,,,,,,,,,,,-,G,,,,,*-**-FC-LEVENSDUURVERLENGENDE MAATREGEL-G,0.18,170,172,170,170,253,CONTINUOUS,0.25,170,172,170,170,253,CONTINUOUS,0.25,170,172,170,170,253,V-CONTINUOUS-SO,0.25,170,172,170,170,253,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2768,0
