OMSCHRIJVING,STATUS,-,DISCIPLINE,-,HOOFDGROEP,-,OBJECT,_,SUBOBJECT01,_,SUBOBJECT02,_,SUBOBJECT03,_,SUBOBJECT04,_,SUBOBJECT05,-,BEWERKING,-,ELEMENT,-,SCHAAL,ARCERING,SYMBOOL,LAAGNAAM,B lineweight,B color,B color A,B color GD,B color GN,B color V,B linetype,N lineweight,N color,N color A,N color GD,N color GN,N color V,N linetype,V lineweight,V color,V color A,V color GD,V color GN,V color V,V linetype,T lineweight,T color,T color A,T color GD,T color GN,T color V,T linetype,VRKL_kort,VRKL_lang,VERSIE,WIJZIGING,STATUS,ID,KIND_VAN
ECOLOGISCHEVERBINDINGSZONE,*,-,**,-,FV,-,ECOLOGISCHEVERBINDINGSZONE,,,,,,,,,,,,,-,G,,,,,*-**-FV-ECOLOGISCHEVERBINDINGSZONE-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,234,0
ECOLOGISCHEVERBINDINGSZONE_CORRIDOR,*,-,**,-,FV,-,ECOLOGISCHEVERBINDINGSZONE,_,CORRIDOR,,,,,,,,,,,-,G,,,,,*-**-FV-ECOLOGISCHEVERBINDINGSZONE_CORRIDOR-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,238,234
ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_DROOG,*,-,**,-,FV,-,ECOLOGISCHEVERBINDINGSZONE,_,CORRIDOR,_,DROOG,,,,,,,,,-,G,,,,,*-**-FV-ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_DROOG-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,240,238
ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_NAT,*,-,**,-,FV,-,ECOLOGISCHEVERBINDINGSZONE,_,CORRIDOR,_,NAT,,,,,,,,,-,G,,,,,*-**-FV-ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_NAT-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,239,238
ECOLOGISCHEVERBINDINGSZONE_ROBUUST,*,-,**,-,FV,-,ECOLOGISCHEVERBINDINGSZONE,_,ROBUUST,,,,,,,,,,,-,G,,,,,*-**-FV-ECOLOGISCHEVERBINDINGSZONE_ROBUUST-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,235,234
ECOLOGISCHEVERBINDINGSZONE_ROBUUST_DROOG,*,-,**,-,FV,-,ECOLOGISCHEVERBINDINGSZONE,_,ROBUUST,_,DROOG,,,,,,,,,-,G,,,,,*-**-FV-ECOLOGISCHEVERBINDINGSZONE_ROBUUST_DROOG-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,237,235
ECOLOGISCHEVERBINDINGSZONE_ROBUUST_NAT,*,-,**,-,FV,-,ECOLOGISCHEVERBINDINGSZONE,_,ROBUUST,_,NAT,,,,,,,,,-,G,,,,,*-**-FV-ECOLOGISCHEVERBINDINGSZONE_ROBUUST_NAT-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,236,235
ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN,*,-,**,-,FV,-,ECOLOGISCHEVERBINDINGSZONE,_,STAPSTEEN,,,,,,,,,,,-,G,,,,,*-**-FV-ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,241,234
ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN_DROOG,*,-,**,-,FV,-,ECOLOGISCHEVERBINDINGSZONE,_,STAPSTEEN,_,DROOG,,,,,,,,,-,G,,,,,*-**-FV-ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN_DROOG-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,243,241
ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN_NAT,*,-,**,-,FV,-,ECOLOGISCHEVERBINDINGSZONE,_,STAPSTEEN,_,NAT,,,,,,,,,-,G,,,,,*-**-FV-ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN_NAT-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,242,241
