OMSCHRIJVING,STATUS,-,DISCIPLINE,-,HOOFDGROEP,-,OBJECT,_,SUBOBJECT01,_,SUBOBJECT02,_,SUBOBJECT03,_,SUBOBJECT04,_,SUBOBJECT05,-,BEWERKING,-,ELEMENT,-,SCHAAL,ARCERING,SYMBOOL,LAAGNAAM,B lineweight,B color,B color A,B color GD,B color GN,B color V,B linetype,N lineweight,N color,N color A,N color GD,N color GN,N color V,N linetype,V lineweight,V color,V color A,V color GD,V color GN,V color V,V linetype,T lineweight,T color,T color A,T color GD,T color GN,T color V,T linetype,VRKL_kort,VRKL_lang,VERSIE,WIJZIGING,STATUS,ID,KIND_VAN
DAMWAND,*,-,**,-,GC,-,DAMWAND,,,,,,,,,,,,,-,G,,,,,*-**-GC-DAMWAND-G,0.18,60,252,30,10,254,CONTINUOUS,0.25,60,252,30,10,254,CONTINUOUS,0.25,60,252,30,10,254,V-CONTINUOUS-SO,0.25,60,252,30,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2769,0
DAMWAND_BETON,*,-,**,-,GC,-,DAMWAND,_,BETON,,,,,,,,,,,-,G/A,,,ACO-BETON,,*-**-GC-DAMWAND_BETON-G/A,0.18,50,252,90,10,254,CONTINUOUS,0.25,50,254,90,10,254,CONTINUOUS,0.25,50,252,90,10,254,V-CONTINUOUS-SO,0.25,50,252,90,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2772,2769
DAMWAND_HOUT,*,-,**,-,GC,-,DAMWAND,_,HOUT,,,,,,,,,,,-,G/A,,,ACO-HOUT,,*-**-GC-DAMWAND_HOUT-G/A,0.18,30,252,40,10,254,CONTINUOUS,0.25,30,252,40,10,254,CONTINUOUS,0.25,30,252,40,10,254,V-CONTINUOUS-SO,0.25,30,252,40,10,254,CONTINUOUS,,,3.1,Pendiktes en kleur,GEWIJZIGD,2771,2769
DAMWAND_STAAL,*,-,**,-,GC,-,DAMWAND,_,STAAL,,,,,,,,,,,-,G/A/S,,,ACO-STAAL,SGC-DAMWAND_STAAL,*-**-GC-DAMWAND_STAAL-G/A/S,0.18,140,252,130,10,254,CONTINUOUS,0.25,140,252,130,10,254,CONTINUOUS,0.25,140,252,130,10,254,V-CONTINUOUS-SO,0.25,140,252,130,10,254,CONTINUOUS,,,3.1,Pendiktes en kleur,GEWIJZIGD,2770,2769
DEKSLOOF,*,-,**,-,GC,-,DEKSLOOF,,,,,,,,,,,,,-,G,,,,,*-**-GC-DEKSLOOF-G,0.18,40,252,210,10,254,CONTINUOUS,0.25,40,252,210,10,254,CONTINUOUS,0.25,40,252,210,10,254,V-CONTINUOUS-SO,0.25,40,252,210,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2785,0
DEKSLOOF_BETON,*,-,**,-,GC,-,DEKSLOOF,_,BETON,,,,,,,,,,,-,G/A,,,ACO-BETON,,*-**-GC-DEKSLOOF_BETON-G/A,0.18,50,252,90,10,254,CONTINUOUS,0.25,50,254,90,10,254,CONTINUOUS,0.25,50,252,90,10,254,V-CONTINUOUS-SO,0.25,50,252,90,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2788,2785
DEKSLOOF_HOUT,*,-,**,-,GC,-,DEKSLOOF,_,HOUT,,,,,,,,,,,-,G/A,,,ACO-HOUT,,*-**-GC-DEKSLOOF_HOUT-G/A,0.18,30,252,40,10,254,CONTINUOUS,0.25,30,252,40,10,254,CONTINUOUS,0.25,30,252,40,10,254,V-CONTINUOUS-SO,0.25,30,252,40,10,254,CONTINUOUS,,,3.1,Pendiktes en kleur,GEWIJZIGD,2787,2785
DEKSLOOF_STAAL,*,-,**,-,GC,-,DEKSLOOF,_,STAAL,,,,,,,,,,,-,G/A,,,ACO-STAAL,,*-**-GC-DEKSLOOF_STAAL-G/A,0.18,140,252,130,10,254,CONTINUOUS,0.25,140,252,130,10,254,CONTINUOUS,0.25,140,252,130,10,254,V-CONTINUOUS-SO,0.25,140,252,130,10,254,CONTINUOUS,,,3.1,Pendiktes en kleur,GEWIJZIGD,2786,2785
DIEPWAND,*,-,**,-,GC,-,DIEPWAND,,,,,,,,,,,,,-,G,,,,,*-**-GC-DIEPWAND-G,0.18,60,252,30,10,254,CONTINUOUS,0.25,60,252,30,10,254,CONTINUOUS,0.25,60,252,30,10,254,V-CONTINUOUS-SO,0.25,60,252,30,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2794,0
FOLIE,*,-,**,-,GC,-,FOLIE,,,,,,,,,,,,,-,G,,,,,*-**-GC-FOLIE-G,0.18,7,252,7,10,254,CONTINUOUS,0.25,7,252,7,10,254,CONTINUOUS,0.25,7,252,7,10,254,V-CONTINUOUS-SO,0.25,7,252,7,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2793,0
GORDING,*,-,**,-,GC,-,GORDING,,,,,,,,,,,,,-,G,,,,,*-**-GC-GORDING-G,0.18,150,252,30,10,254,CONTINUOUS,0.25,150,252,30,10,254,CONTINUOUS,0.25,150,252,30,10,254,V-CONTINUOUS-SO,0.25,150,252,30,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2773,0
GORDING_BETON,*,-,**,-,GC,-,GORDING,_,BETON,,,,,,,,,,,-,G/A,,,ACO-BETON,,*-**-GC-GORDING_BETON-G/A,0.18,50,252,90,10,254,CONTINUOUS,0.25,50,254,90,10,254,CONTINUOUS,0.25,50,252,90,10,254,V-CONTINUOUS-SO,0.25,50,252,90,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2776,2773
