OMSCHRIJVING,STATUS,-,DISCIPLINE,-,HOOFDGROEP,-,OBJECT,_,SUBOBJECT01,_,SUBOBJECT02,_,SUBOBJECT03,_,SUBOBJECT04,_,SUBOBJECT05,-,BEWERKING,-,ELEMENT,-,SCHAAL,ARCERING,SYMBOOL,LAAGNAAM,B lineweight,B color,B color A,B color GD,B color GN,B color V,B linetype,N lineweight,N color,N color A,N color GD,N color GN,N color V,N linetype,V lineweight,V color,V color A,V color GD,V color GN,V color V,V linetype,T lineweight,T color,T color A,T color GD,T color GN,T color V,T linetype,VRKL_kort,VRKL_lang,VERSIE,WIJZIGING,STATUS,ID,KIND_VAN
BESCHOEIING,*,-,**,-,GK,-,BESCHOEIING,,,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,5.0,B, N, T LINEWEIGTH AANGEPAST,GEWIJZIGD,339,0
BESCHOEIING_BETON,*,-,**,-,GK,-,BESCHOEIING,_,BETON,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_BETON-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,2.3,,,348,339
BESCHOEIING_DAMWAND,*,-,**,-,GK,-,BESCHOEIING,_,DAMWAND,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_DAMWAND-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,2.3,,,340,339
BESCHOEIING_DAMWAND_BETON,*,-,**,-,GK,-,BESCHOEIING,_,DAMWAND,_,BETON,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_DAMWAND_BETON-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,2.3,,,343,340
BESCHOEIING_DAMWAND_HOUT,*,-,**,-,GK,-,BESCHOEIING,_,DAMWAND,_,HOUT,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_DAMWAND_HOUT-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,2.3,,,342,340
BESCHOEIING_DAMWAND_KUNSTSTOF,*,-,**,-,GK,-,BESCHOEIING,_,DAMWAND,_,KUNSTSTOF,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_DAMWAND_KUNSTSTOF-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,2.3,,,344,340
BESCHOEIING_DAMWAND_STAAL,*,-,**,-,GK,-,BESCHOEIING,_,DAMWAND,_,STAAL,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_DAMWAND_STAAL-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,2.3,,,341,340
BESCHOEIING_HOUT,*,-,**,-,GK,-,BESCHOEIING,_,HOUT,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_HOUT-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,2.3,,,345,339
BESCHOEIING_HOUT_PERKOENPALENRIJ,*,-,**,-,GK,-,BESCHOEIING,_,HOUT,_,PERKOENPALENRIJ,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_HOUT_PERKOENPALENRIJ-G,0.18,130,132,130,130,253,GK-PERKOEN-SO,0.35,130,132,130,130,253,GK-PERKOEN-SO,0.35,130,132,130,130,253,V-GK-PERKOEN-SO,0.35,130,132,130,130,253,GK-PERKOEN-SO,,,2.3,,,347,345
BESCHOEIING_HOUT_SCHOT,*,-,**,-,GK,-,BESCHOEIING,_,HOUT,_,SCHOT,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_HOUT_SCHOT-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,2.3,,,346,345
