GR-GRoen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;ELEMENT;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;VERSIE;WIJZIGING;STATUS;ID;KIND_VAN
BEPLANTING;*;-;**;-;GR;-;BEPLANTING;;;;;;;;;;;;;-;G/A/S;;;AGR:AGR-BEPLANTING;SGR:SGR-BEPLANTING;*-**-GR-BEPLANTING-G/A/S;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;3.1;;NIEUW;2885;0
BEPLANTING_CULTUUR;*;-;**;-;GR;-;BEPLANTING;_;CULTUUR;;;;;;;;;;;-;G/A/S;;;AGR:AGR-BEPLANTING;SGR:SGR-BEPLANTING;*-**-GR-BEPLANTING_CULTUUR-G/A/S;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;3.1;;NIEUW;2886;2885
BEPLANTING_CULTUUR_BODEMBEDEKKER;*;-;**;-;GR;-;BEPLANTING;_;CULTUUR;_;BODEMBEDEKKER;;;;;;;;;-;G/S;;;;SGR:SGR-BODEMBEDEKKER;*-**-GR-BEPLANTING_CULTUUR_BODEMBEDEKKER-G/S;0.18;90;92;90;90;140,168,0;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;5.0;KLEUR B color V AANGEPAST IVM MAPPING BGT;GEWIJZIGD;2889;2886
BEPLANTING_CULTUUR_BOSPLANTSOEN;*;-;**;-;GR;-;BEPLANTING;_;CULTUUR;_;BOSPLANTSOEN;;;;;;;;;-;G/S/A;;;AGR:AGR-BOSPLANTSOEN;SGR:SGR-BOSPLANTSOEN;*-**-GR-BEPLANTING_CULTUUR_BOSPLANTSOEN-G/S/A;0.18;90;92;90;90;140,168,0;GR-PLANTSOEN-SO;0.35;90;92;90;90;253;GR-PLANTSOEN-SO;0.35;90;92;90;90;253;V-GR-PLANTSOEN-SO;0.35;90;92;90;90;253;GR-PLANTSOEN-SO;;;5.0;KLEUR B color V AANGEPAST IVM MAPPING BGT;GEWIJZIGD;2887;2886
BEPLANTING_CULTUUR_BOTANISCHE ROOS;*;-;**;-;GR;-;BEPLANTING;_;CULTUUR;_;BOTANISCHE ROOS;;;;;;;;;-;G;;;;;*-**-GR-BEPLANTING_CULTUUR_BOTANISCHE ROOS-G;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;3.1;;NIEUW;2895;2886
BEPLANTING_CULTUUR_EENJARIGEPLANT;*;-;**;-;GR;-;BEPLANTING;_;CULTUUR;_;EENJARIGEPLANT;;;;;;;;;-;G;;;;;*-**-GR-BEPLANTING_CULTUUR_EENJARIGEPLANT-G;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;3.1;;NIEUW;2891;2886
BEPLANTING_CULTUUR_HEESTERS;*;-;**;-;GR;-;BEPLANTING;_;CULTUUR;_;HEESTERS;;;;;;;;;-;G;;;;;*-**-GR-BEPLANTING_CULTUUR_HEESTERS-G;0.18;90;92;90;90;140,168,0;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;5.0;KLEUR B color V AANGEPAST IVM MAPPING BGT;GEWIJZIGD;2888;2886
BEPLANTING_CULTUUR_ROOS;*;-;**;-;GR;-;BEPLANTING;_;CULTUUR;_;ROOS;;;;;;;;;-;G/S;;;;SGR:SGR-ROOS;*-**-GR-BEPLANTING_CULTUUR_ROOS-G/S;0.18;90;92;90;90;140,168,0;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;5.0;KLEUR B color V AANGEPAST IVM MAPPING BGT;GEWIJZIGD;2890;2886
BEPLANTING_CULTUUR_VASTE PLANTENVAK;*;-;**;-;GR;-;BEPLANTING;_;CULTUUR;_;VASTE PLANTENVAK;;;;;;;;;-;G/S/A;;;AGR:AGR-VASTEPLANTEN;SGR:SGR-VASTEPLANTEN;*-**-GR-BEPLANTING_CULTUUR_VASTE PLANTENVAK-G/S/A;0.18;90;92;90;90;140,168,0;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;5.0;KLEUR B color V AANGEPAST IVM MAPPING BGT;GEWIJZIGD;2893;2886
BEPLANTING_CULTUUR_WATERPLANT;*;-;**;-;GR;-;BEPLANTING;_;CULTUUR;_;WATERPLANT;;;;;;;;;-;G/A/S;;;AGR:AGR-WATERPLANTEN;SGR:SGR-WATERPLANTEN;*-**-GR-BEPLANTING_CULTUUR_WATERPLANT-G/A/S;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;3.1;;NIEUW;2892;2886
