"mappingElement,""gwswStelselType"",""gwswType"",""nlcsObject"",""nlcsObjectName"",""nlcsSymbool"",""nlcsSymbolName"""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/3a41fb6a-0f53-4de9-b2a5-aa97ce81fba3,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Vuilwaterriool"",""http://digitalbuildingdata.tech/nlcs/def/eac0d419-f850-4c8b-9dfb-8bf9f0db9e66"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/30b2dce9-bd7b-4d52-ba64-2519b1426b88,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/Stuwput"",""http://digitalbuildingdata.tech/nlcs/def/508912f1-01f5-448b-b757-52b8cbd223f8"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/942a8d9d-7452-49a3-8249-15550a49c8d2,""http://data.gwsw.nl/1.6/totaal/GemengdStelsel"",""http://data.gwsw.nl/1.6/totaal/Parallelriool"",""http://digitalbuildingdata.tech/nlcs/def/8d0e3e9c-0991-4a76-986f-b1d3c8d4593c"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/1efaa43e-c31c-44b3-90dd-53cebda67af9,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/Perceelaansluitpunt"",""http://digitalbuildingdata.tech/nlcs/def/0fa0f3ff-44ba-401c-950d-54b83f32c5ab"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/6e4df763-223f-43e5-b671-94f2a2d4fb9b,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Wervelput"",""http://digitalbuildingdata.tech/nlcs/def/4a4e0491-d0ae-4fec-9b8d-32835ebe6b36"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/710d7b25-5a3e-44dd-b8f6-4b10365efb59,""http://data.gwsw.nl/1.6/totaal/Infiltratiestelsel"",""http://data.gwsw.nl/1.6/totaal/GemengdePerceelaansluitleiding"",""http://digitalbuildingdata.tech/nlcs/def/7936aeff-ab52-456e-98f0-1f1b3342a1dd"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/0f397409-9e39-4e4c-81a6-ca7a2c734818,""http://data.gwsw.nl/1.6/totaal/GemengdStelsel"",""http://data.gwsw.nl/1.6/totaal/Hondenhokput"",""http://digitalbuildingdata.tech/nlcs/def/1e8c5556-7c7c-4a1d-bf1e-66db371ee81b"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/58690eb0-ed9e-4740-80b4-e9e6a0ca6592,""http://data.gwsw.nl/1.6/totaal/GemengdStelsel"",""http://data.gwsw.nl/1.6/totaal/Tandemriool"",""http://digitalbuildingdata.tech/nlcs/def/8d0e3e9c-0991-4a76-986f-b1d3c8d4593c"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/eb87f1cd-e07e-4220-95ad-adf3d1976cc6,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/VolgezandeLeiding"",""http://digitalbuildingdata.tech/nlcs/def/38ba5313-258a-481d-8fba-0a1129610d64"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/7c00918c-91e5-404b-bd3d-03d6b08c6378,""http://data.gwsw.nl/1.6/totaal/Duikerstelsel"",""http://data.gwsw.nl/1.6/totaal/Kolk"",""http://digitalbuildingdata.tech/nlcs/def/7632c2a8-ecfe-4bb0-a4c0-80a40888f89a"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/88b6ecef-4598-4921-a376-04eae2d189a3,""http://data.gwsw.nl/1.6/totaal/Infiltratiestelsel"",""http://data.gwsw.nl/1.6/totaal/Overnamepunt"",""http://digitalbuildingdata.tech/nlcs/def/f19102cc-19ee-4726-bd16-b9afb6d2abd1"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/e92f3f12-25ea-435f-93a0-bf0160f4439a,""http://data.gwsw.nl/1.6/totaal/GemengdStelsel"",""http://data.gwsw.nl/1.6/totaal/Pendelstuk"",""http://digitalbuildingdata.tech/nlcs/def/8d0e3e9c-0991-4a76-986f-b1d3c8d4593c"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/40c68a59-a9a9-436b-9805-990b9595c5c3,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Bergbezinkleiding"",""http://digitalbuildingdata.tech/nlcs/def/d3e79539-6a5a-46a0-b84a-8894d70a9a38"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/f83a7152-2b6f-4796-9e43-677b9538f9a0,""http://data.gwsw.nl/1.6/totaal/Infiltratiestelsel"",""http://data.gwsw.nl/1.6/totaal/GedammerdeLeiding"",""http://digitalbuildingdata.tech/nlcs/def/7e021e15-ed9c-4920-bac6-6d25475ab34c"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/334a4c14-ca8a-41f3-8ab3-4103f2a68f59,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Luchtinjectie_unit"",""http://digitalbuildingdata.tech/nlcs/def/2183c5d4-71ee-451c-a7fe-df7d3d5ef4e2"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/e4558b2c-5ea0-401d-960a-44e25f4b53cb,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/Vetvangput"",""http://digitalbuildingdata.tech/nlcs/def/7027624b-592a-4962-8983-c34095ab1335"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/3819d582-e16f-4b73-8ec1-95cca395839e,""http://data.gwsw.nl/1.6/totaal/Infiltratiestelsel"",""http://data.gwsw.nl/1.6/totaal/Brandput"",""http://digitalbuildingdata.tech/nlcs/def/f19102cc-19ee-4726-bd16-b9afb6d2abd1"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/1bd8852e-abbb-4c37-8aca-aae20935db3d,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/LozePut"",""http://digitalbuildingdata.tech/nlcs/def/380bd8b3-4589-470d-827b-5233d826c511"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/364e311d-0f90-4e6a-83dd-808bfadba8e0,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/Parallelriool"",""http://digitalbuildingdata.tech/nlcs/def/412c49b3-657f-44ec-8ea3-1ac29f1d1f43"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/45e8cf60-49dc-47ab-90ed-76c63e3ee074,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/Weesleiding"",""http://digitalbuildingdata.tech/nlcs/def/97a7b1fb-80d4-4bc8-afe1-1d03e03971f2"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/c9a5c69f-fbad-416b-8f3b-97a574e84a53,""http://data.gwsw.nl/1.6/totaal/Duikerstelsel"",""http://data.gwsw.nl/1.6/totaal/Bergingsleiding"",""http://digitalbuildingdata.tech/nlcs/def/f89d386f-715a-4ef8-a4f7-7c18370d8013"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/58420419-4e1a-456c-8be1-e1fcb689973f,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/GecombineerdeStraat_trottoirkolk"",""http://digitalbuildingdata.tech/nlcs/def/d8482699-382b-4ce3-bf62-2fba2eff15e7"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/98e245f6-c09f-47a1-bbbb-375599427383,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Spoelleiding"",""http://digitalbuildingdata.tech/nlcs/def/705a8d37-14d4-4320-9036-1a1d8b77db14"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/b5d580fc-d28a-49f5-b1df-a33d2c5a27b9,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Overnamepunt"",""http://digitalbuildingdata.tech/nlcs/def/4a4e0491-d0ae-4fec-9b8d-32835ebe6b36"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/f3ee35ab-f533-4a64-b7b8-eaab014fbd8d,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/ExterneOverstortput"",""http://digitalbuildingdata.tech/nlcs/def/1020990c-b0da-46bb-9db0-2e5d44a86863"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/813adb50-0b94-471b-83a6-a01f9c3d638e,""http://data.gwsw.nl/1.6/totaal/Duikerstelsel"",""http://data.gwsw.nl/1.6/totaal/Straatkolk"",""http://digitalbuildingdata.tech/nlcs/def/8bbcc643-6f54-4259-adbc-7a751c5cdceb"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/71950d38-a607-4f95-b6b9-b6f062b3d604,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Tandemriool"",""http://digitalbuildingdata.tech/nlcs/def/a8301102-38cf-4e59-9b7f-5bd2a2945190"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/13dfac87-83d4-49b5-bc8c-bf8ac6d5867f,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Leidingsegment"",""http://digitalbuildingdata.tech/nlcs/def/705a8d37-14d4-4320-9036-1a1d8b77db14"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/308c44d4-a176-40bb-ae6d-aff602c445d6,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/VolgeschuimdeLeiding"",""http://digitalbuildingdata.tech/nlcs/def/3536fa6c-191c-48cd-95fc-1f6e3d2020a5"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/cfb0bca0-3ec3-46d0-88fd-9c7e7b89db6d,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Overnamepunt"",""http://digitalbuildingdata.tech/nlcs/def/5907c42e-e386-4162-a216-1cbe71218422"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/6d5b5185-24c1-45a1-a53a-7c5d12c5ba73,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Vacuumopslagtank"",""http://digitalbuildingdata.tech/nlcs/def/6b665b51-9f38-4feb-a7b6-2861d20ed0bb"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/754efd2c-b93c-4cb0-881c-dbcfd0ff955b,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/Goot"",""http://digitalbuildingdata.tech/nlcs/def/ed616b3c-7364-4411-9691-1a798edff003"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/39c185e7-7593-4027-8836-dd963e89c221,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/Opvangput"",""http://digitalbuildingdata.tech/nlcs/def/aa138c2e-57de-464b-aa2b-308bcd859490"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/beb22a9b-9791-4da3-971f-ed6084f4e776,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/Molgoot"",""http://digitalbuildingdata.tech/nlcs/def/11518b76-884e-4d89-afce-f0b4f4becc62"","""","""","""""
