symboolURI,id,sbibliotheek,sbibliotheekURI,fase,symbool,optie,fileURL
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1f4cfbde-9dbc-43d2-83c9-9dbe61f03caa,,SKL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163,V,V-SKL-KB_MEETPAAL_REMOTE-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_MEETPAAL_REMOTE-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d152a495-1aea-4e09-9e87-f66334bdd576,,SKL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163,B,B-SKL-KB_MEETPAAL_REMOTE-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-KB_MEETPAAL_REMOTE-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b7a6b66f-4962-4069-bd14-2a42a343259f,,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-TEGEL_300X150_DIK_BLOK_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-TEGEL_300X150_DIK_BLOK_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cdebac87-5422-4272-aa31-eebe3e0b2d4b,,SKL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163,V,V-SKL-KB_GELIJKRICHTER-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_GELIJKRICHTER-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/248d2579-a35a-479a-ac77-374c0d4f6e58,,SKL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163,V,V-SKL-KB_DRAINAGE_AC-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_DRAINAGE_AC-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6010bda5-aa6c-4f2f-bfda-0b11d5ed12a6,,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,B,B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_50 250X120-D,D,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_50 250X120-D.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6ebe642f-b5df-4be0-8d28-672043672cf2,,SKL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163,V,V-SKL-KB_DRAINAGE-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_DRAINAGE-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/eceb744b-ebc7-46ab-b871-a148f83f9ed9,,SKL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163,V,V-SKL-KB_MEETPAAL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_MEETPAAL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2a56d6a5-5142-4f1d-898a-17c96d0f90e7,,SKL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163,B,B-SKL-KB_ANODE-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-KB_ANODE-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/88f98690-162d-41e1-8a4e-bd5405382606,,SKL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163,B,B-SKL-KB_DRAINAGE_DC-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-KB_DRAINAGE_DC-SO.dwg
