wg       Wegen-geometrie
bw       Bewegwijzering
gr       Geleiderail
gv       Geluidswerende voorzieningen
mk       Markeringen
vh       Verhardingen
vm       Verkeersmaatregelen
wm       Wegmeubilair
li       Landverkeerinstallaties
bc       Beton-geometrie
bv       Betonvorm
wp       Wapening
vs       Voorspanning
fc       Funderingscontructies
sc       Staal-geometrie
sv       Staal-vorm
mc       Mechanisch-geometrie
mv       Mechanisch-vorm
wc       Waterbouw-constructies-geometrie
wa       Waterbouw-geometrie
iw       Inrichting waterwegen
mw       Markering waterwegen
ww       Waterwegen
el       Electro-geometrie
es       Electrotechnisch schemas
ev       Electrotechnisch vorm
af       Afscheidingen
as       Assen & kilometrering
bp       Beplanting
dp       Dwarsprofiel
fv       Faunavoorzieningen
ga       Grondaankoop
gk       Grondkerende constructies
go       Grondonderzoek
gw       Grondwerk
kd       Kadastrale informatie / grenzen
kl       Kabels & leidingen
kw       Kunstwerken (algemeen)
lp       Lengteprofiel
mi       Milieu
og       Ondergrond
oe       Onteigening
wb       Waterbouw
wh       Waterhuishouding
to       Tekeningenopmaak
einde
