bw       Bewegwijzering
gr       Geleiderail
gv       Geluidswerende voorzieningen
li       Landverkeerinstallaties
mk       Markeringen
vh       Verhardingen
vm       Verkeersmaatregelen
wm       Wegmeubilair
af       Afscheidingen
as       Assen & kilometrering
bp       Beplanting
dp       Dwarsprofiel
fv       Faunavoorzieningen
ga       Grondaankoop
gk       Grondkerende constructies
go       Grondonderzoek
gw       Grondwerk
kd       Kadastrale informatie / grenzen
kl       Kabels & leidingen
kw       Kunstwerken (algemeen)
lp       Lengteprofiel
mi       Milieu
og       Ondergrond
oe       Onteigening
wb       Waterbouw
wh       Waterhuishouding
to       Tekeningenopmaak
einde
