NLCSArcering,id_nummer,oudeNLCSArceringName,nieuweNLCSArceringName
http://digitalbuildingdata.tech/nlcs/def/f3f3f120-ac4d-4bbf-ba68-35fbbd6acf17,,AGW-WERK,AGW-GRONDWERK
http://digitalbuildingdata.tech/nlcs/def/ed037c28-ddf5-4580-8070-226395f82c02,,AGW-GROND,AGW-GRONDSOORTEN
http://digitalbuildingdata.tech/nlcs/def/9d306d5e-8f91-42dc-bd4f-5bc2700ed54d,,AVH-COBBLESTONE,AVH-KASSEIEN
http://digitalbuildingdata.tech/nlcs/def/86d6dfe3-9e23-439d-8830-735e748fc443,,AOG-MILIEUBESCHERMINGSGEBIED,AOG-MILIEUBESCHERMINGSGEB
http://digitalbuildingdata.tech/nlcs/def/a1c036af-0012-4810-b45d-3d05322a239b,83,AGW-WERK_FREZEN_DIEPFREZEN-SOD,AGW-GRONDWERK_FREZEN_DIEP-SOD
http://digitalbuildingdata.tech/nlcs/def/d11be90e-f0a8-4b99-afd4-1eb113c3f673,388,AOG-ZONE_GEVAARLIJKE_STOFFEN-SOD,AOG-ZONE_GEVAARLIJKE_STOF-SOD
http://digitalbuildingdata.tech/nlcs/def/7dfbe651-e355-4a99-b1a4-fc982d970fb1,348,AVH-SBS_LINGEFORMAAT_ELLEBOOG-SO,AVH-SBS_LINGEFORMAAT_ELLEB-SO
http://digitalbuildingdata.tech/nlcs/def/37cbe59e-4350-426e-827a-6c439465823c,366,AGW-WERK_ONTGRAVEN-SOD,AGW-GRONDWERK_ONTGRAVEN-SOD
http://digitalbuildingdata.tech/nlcs/def/01300723-d554-4fac-a776-7bc98359ceec,382,AGW-WERK_ONTGRAVEN_AANVULLEN-SOD,AGW-GRONDWERK_ONTGR_AANV-SOD
http://digitalbuildingdata.tech/nlcs/def/6e5e6f83-71a1-4e1a-a80c-1c631d990d18,119,AVH-BETONPLAAT_BLOK_RAND-SO,AVH-OPENVERH_BEDRVLR_BLK_RND-SO
http://digitalbuildingdata.tech/nlcs/def/44a54fa4-4739-4e9e-b2e4-83ff4c327c03,97,AKG-GRONDEIGENDOM_PARTICUL_04-SO,AKG-GRONDEIGENDOM_PARTIC_04-SO
http://digitalbuildingdata.tech/nlcs/def/1c636b68-5d23-4c7b-8bb2-1af022ae9309,418,AVH-COBBLESTONE-SOD,AVH-KASSEIEN-SOD
http://digitalbuildingdata.tech/nlcs/def/4bbf7df2-2fcb-4f03-bd55-a45d849d7df7,263,AOG-ZONE_GEVAARLIJKE_STOFFEN-SO,AOG-ZONE_GEVAARLIJKE_STOF-SO
http://digitalbuildingdata.tech/nlcs/def/8e83124e-3bf8-4351-b8d1-9c5bf8b2268b,96,AKG-GRONDEIGENDOM_PARTICUL_03-SO,AKG-GRONDEIGENDOM_PARTIC_03-SO
http://digitalbuildingdata.tech/nlcs/def/b45c75b1-07f9-4742-89ab-6f5c4390f9f8,267,AOG-OVERB_ZONDER_KOPPELBALKEN-SO,AOG-OVERB_ZONDER_KOPPELBALK-SO
http://digitalbuildingdata.tech/nlcs/def/5b50e1eb-2535-43d8-80ae-9a434f53a37c,56,AGR-RIET_01-SO,AGR-RIET-SO
http://digitalbuildingdata.tech/nlcs/def/5cbf095c-2142-4273-84da-76a964236051,261,AOG-MILIEUBESCHERMINGSGEBIED-SO,AOG-MILIEUBESCHERMINGSGEB-SO
http://digitalbuildingdata.tech/nlcs/def/5d732a8f-68ba-46bc-b060-697ac000dab7,183,AVH-NATUURSTEEN_LOSVERBAND_01-SO,AVH-NATUURSTEEN_LOSVERB_01-SO
http://digitalbuildingdata.tech/nlcs/def/0c3eea78-3fc9-4616-953b-70f75d2de548,95,AKG-GRONDEIGENDOM_PARTICUL_02-SO,AKG-GRONDEIGENDOM_PARTIC_02-SO
http://digitalbuildingdata.tech/nlcs/def/fa821b98-76f3-43f7-b248-1da4c606b675,296,AVH-BSS_LINGEFORMAAT_ELLEBOOG,AVH-BSS_LINGEFORMAAT_ELLEB
http://digitalbuildingdata.tech/nlcs/def/92f4de0f-6217-456f-a31a-4bc9b9e51881,80,AGW-WERK_AANVULLEN-SO,AGW-GRONDWERK_AANVULLEN-SO
http://digitalbuildingdata.tech/nlcs/def/3b4acfc6-ef66-4348-b513-7597a8c13ef8,295,AVH-BSS_LINGEFORMAAT_DRIEKWART,AVH-BSS_LINGEFORMAAT_DRIEKW
http://digitalbuildingdata.tech/nlcs/def/ee86be0c-6031-4790-85de-79764df4fcbd,365,AGW-WERK_FREZEN-SOD,AGW-GRONDWERK_FREZEN-SOD
http://digitalbuildingdata.tech/nlcs/def/5cea11de-6964-4b85-8254-be1d84aa53be,82,AGW-WERK_FREZEN-SO,AGW-GRONDWERK_FREZEN-SO
http://digitalbuildingdata.tech/nlcs/def/592759fd-def2-4680-a9bd-09a628f7b4f4,386,AOG-MILIEUBESCHERMINGSGEBIED-SOD,AOG-MILIEUBESCHERMINGSGEB-SOD
http://digitalbuildingdata.tech/nlcs/def/48190b85-316b-4d84-8015-40e169bc354c,346,AVH-SBS_LINGEFORMAAT_DRIEKWART-SO,AVH-SBS_LINGEFORMAAT_DRIEKW-SO
http://digitalbuildingdata.tech/nlcs/def/c732030c-17c9-48ff-8bea-45ed2ff33db3,347,AVH-SBS_LINGEFORMAAT_ELLEBOOG,AVH-SBS_LINGEFORMAAT_ELLEB
http://digitalbuildingdata.tech/nlcs/def/e31bec01-153d-470e-9800-fa70aa8cfd72,118,AVH-BETONPLAAT_BLOK-SO,AVH-OPENVERH_BEDRVLR_BLOK-SO
http://digitalbuildingdata.tech/nlcs/def/9f9e8121-ace5-43ec-8074-bbd43678da60,140,AVH-COBBLESTONE-SO,AVH-KASSEIEN-SO
http://digitalbuildingdata.tech/nlcs/def/1fbeb028-a3c0-4485-a1e6-8d3711b5575e,94,AKG-GRONDEIGENDOM_PARTICUL_01-SO,AKG-GRONDEIGENDOM_PARTIC_01-SO
http://digitalbuildingdata.tech/nlcs/def/6bdcd68d-926e-4435-a2ef-da8572d74d97,345,AVH-SBS_LINGEFORMAAT_DRIEKWART,AVH-SBS_LINGEFORMAAT_DRIEKW
http://digitalbuildingdata.tech/nlcs/def/78657267-505c-47dc-abb0-9c070b94b4f1,132,AVH-BSS_LINGEFORMAAT_DRIEKWART-SO,AVH-BSS_LINGEFORMAAT_DRIEKW-SO
http://digitalbuildingdata.tech/nlcs/def/38d799b9-2719-4d85-9d63-8925229c632d,79,AGW-WERK_ONTGRAVEN-SO,AGW-GRONDWERK_ONTGRAVEN-SO
