NLCSLijntype,id_nummer,oudeNLCSLijntypeName,nieuweNLCSLijntypeName
http://digitalbuildingdata.tech/nlcs/def/b62e2a62-090b-46ec-8e9c-baab7250cc47,96,IE-TERREINAFSCHEIDING_NATUURLIJK-SO,GR-HAAG_DRAAD-SO
http://digitalbuildingdata.tech/nlcs/def/55df7bd9-5189-472e-a640-06f5c2817cf1,97,V-IE-TERREINAFSCHEIDING_NATUURLIJK-SO,V-GR-HAAG_DRAAD-SO
http://digitalbuildingdata.tech/nlcs/def/6f4724bd-e71e-480b-8529-be298d5c14c4,90,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,IE-CONSTRUCTIEVE AFSCHEIDING-SO
http://digitalbuildingdata.tech/nlcs/def/097708b4-7953-4371-b3a5-19a078eda2c0,91,V-IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,V-IE-CONSTRUCTIEVE AFSCHEIDING-SO
http://digitalbuildingdata.tech/nlcs/def/84aadd0a-9d27-4db2-a5b0-3d32b901d226,118,V-KG-PERCEEL-SO,V-KG-KADASTRALEPERCEELGRENS-SO
http://digitalbuildingdata.tech/nlcs/def/f6952592-d9c0-430a-8c0c-94433be6c171,592,AL-GRONDWATERLIJN-SO,WH-GRONDWATERLIJN-SO
http://digitalbuildingdata.tech/nlcs/def/2a0edafa-5805-4627-bb15-a4924d651a3e,593,V-AL-GRONDWATERLIJN-SO,V-WH-GRONDWATERLIJN-SO
http://digitalbuildingdata.tech/nlcs/def/39ede391-463c-40bb-8bc8-e31040ed338c,598,V-AL-MAAIVELD-SO,V-WH-WATERBODEM-SO
http://digitalbuildingdata.tech/nlcs/def/5702e3af-eea9-4a52-9f36-a2254182084e,594,AL-NAP_LIJN-SO,ZZ-NAP_LIJN-SO
http://digitalbuildingdata.tech/nlcs/def/86b6a7f9-a161-40d9-90a4-de161f8768b3,117,KG-PERCEEL-SO,KG-KADASTRALEPERCEELGRENS-SO
http://digitalbuildingdata.tech/nlcs/def/c07af75b-f50b-445b-ac33-aee779f4fff2,597,AL-MAAIVELD-SO,WH-WATERBODEM-SO
http://digitalbuildingdata.tech/nlcs/def/0c0c9110-397e-4973-bc32-56b59c870f4f,606,ZZ-AFBREEK-SO,ZZ-AFBREEKLIJN-SO
