objectURI,id_nummer,oudLaagnaam,nieuweLaagnaam
http://digitalbuildingdata.tech/nlcs/def/e3d65363-f207-402c-b453-26987b0a2be2,3014,*_**_VH_GESLOTENVERHARDING_ASFALT_DEKLAAG-TRAPSGEWIJSFREZEN,*_**_VH_GESLOTENVERHARDING_ASFALT_DEKLAAG
http://digitalbuildingdata.tech/nlcs/def/bdb2e7a4-4b3b-4ae3-b680-00645086e0d6,2468,*_**_VH_GESLOTENVERHARDING_ASFALT_ROOD-TRAPSGEWIJSFREZEN,*_**_VH_GESLOTENVERHARDING_ASFALT_ROOD
http://digitalbuildingdata.tech/nlcs/def/975625b8-5761-470d-8bd6-d7f83d212828,2466,*_**_VH_GESLOTENVERHARDING_ASFALT_GIETASFALT-TRAPSGEWIJSFREZEN,*_**_VH_GESLOTENVERHARDING_ASFALT_GIETASFALT
http://digitalbuildingdata.tech/nlcs/def/bb1c0ae9-2015-410a-bb68-22c7236decbb,2942,*_**_VH_GESLOTENVERHARDING_ASFALT_SLIJTLAAG-TRAPSGEWIJSFREZEN,*_**_VH_GESLOTENVERHARDING_ASFALT_SLIJTLAAG
http://digitalbuildingdata.tech/nlcs/def/2f5f6577-7b2d-4da7-b980-44151b29b7d1,3011,*_**_VH_GESLOTENVERHARDING_ASFALT_ONDERLAAG-TRAPSGEWIJSFREZEN,*_**_VH_GESLOTENVERHARDING_ASFALT_ONDERLAAG
http://digitalbuildingdata.tech/nlcs/def/fff83fbf-fa6a-4b73-948b-980511d103b2,2470,*_**_VH_GESLOTENVERHARDING_ASFALT_ZAAGSNEDE-TRAPSGEWIJSFREZEN,*_**_VH_GESLOTENVERHARDING_ASFALT_ZAAGSNEDE
http://digitalbuildingdata.tech/nlcs/def/93dac544-3093-4602-8f27-37e6dd735e45,2941,*_**_VH_GESLOTENVERHARDING_ASFALT_COATING-TRAPSGEWIJSFREZEN,*_**_VH_GESLOTENVERHARDING_ASFALT_COATING
http://digitalbuildingdata.tech/nlcs/def/c0aadd76-7659-4891-81c2-d044f03c019b,3015,*_**_VH_GESLOTENVERHARDING_ASFALT_TUSSENLAAG-TRAPSGEWIJSFREZEN,*_**_VH_GESLOTENVERHARDING_ASFALT_TUSSENLAAG
http://digitalbuildingdata.tech/nlcs/def/d0680d47-c5f6-41aa-ae94-3dfc2727fcc3,2469,*_**_VH_GESLOTENVERHARDING_ASFALT_WIT-TRAPSGEWIJSFREZEN,*_**_VH_GESLOTENVERHARDING_ASFALT_WIT
http://digitalbuildingdata.tech/nlcs/def/bc4fc648-02df-4d73-9b4d-039587ad1450,3010,*_**_VH_GESLOTENVERHARDING_ASFALT_FUNDERING-TRAPSGEWIJSFREZEN,*_**_VH_GESLOTENVERHARDING_ASFALT_FUNDERING
