NLCSSymbool,id_nummer,oudeNLCSSymboolName,nieuweNLCSSymboolName
http://digitalbuildingdata.tech/nlcs/def/3b5ee973-30b6-4509-a4d5-09ba00e104ea,,SVH-DREMPEL,SVH-DREMPEL_PREFAB
http://digitalbuildingdata.tech/nlcs/def/dbcc7c4f-3e7d-41e7-bc40-49100bd5edf1,,SVH-KANTOPSLUITING,SVH-KANTOPSLUITING_TROITTOIRBAND
http://digitalbuildingdata.tech/nlcs/def/dff7c397-e26b-4e62-a7d1-4f721679dd01,,SKL-GAS,SKL-GAS_STRAATPOT
http://digitalbuildingdata.tech/nlcs/def/07052992-be45-4542-ac45-983023b63b22,,SVW-MARKERING,SVW-MARKERING_PIJL
http://digitalbuildingdata.tech/nlcs/def/320d1ef7-1848-4387-952a-febcedad50f6,,SRI-PUT,SRI-PUT_KRUISPUT
http://digitalbuildingdata.tech/nlcs/def/da75fe6d-37ae-4bb7-884b-797275e32e4a,,SKL-ET,SKL-ET_MOF
http://digitalbuildingdata.tech/nlcs/def/0e5bc8e6-c352-4936-8532-f49989126b5b,,SVH-INRITELEMENT,SVH-KANTOPSLUITING_INRITBAND
http://digitalbuildingdata.tech/nlcs/def/b988bff3-8fef-4e85-87fe-ca43faa9f210,6801,SBC-VOORSPANNING,SBC-VOORSPANNING_ZONDERAANHECHTING
http://digitalbuildingdata.tech/nlcs/def/9ecc11f0-0c16-4c42-80cc-baf9eac2573d,,SKL-WTB,SKL-WTB_WARMTENET_PUT
http://digitalbuildingdata.tech/nlcs/def/328c3949-eaa6-4ffe-9240-cbffc969a73a,,SVH-COBBLESTONE,SVH-KASSEIEN
http://digitalbuildingdata.tech/nlcs/def/560c7a3b-ff08-4d2a-805b-94fec402764e,,SAM-AS,SAM-AS_SPOOR
http://digitalbuildingdata.tech/nlcs/def/c70bd209-3bbb-42fb-84fd-07ec098f0a20,,SIE-TERREINAFSCHEIDING,SIE-CONSTRUCTIEVE AFSCHEIDINGEN_HEKWERK_DOORGANG
http://digitalbuildingdata.tech/nlcs/def/c0c114c8-4818-455a-b9d5-82c7bd905b00,,SRI-TANK,SOG-TANK
http://digitalbuildingdata.tech/nlcs/def/0e56e199-3dbb-4798-b94f-a68d94e8fa5a,,SKL-DATA,SKL-DATA_MOF
http://digitalbuildingdata.tech/nlcs/def/64e13aab-47c3-4c45-a96f-5cc240dcda99,,SKL-WATER,SKL-WATER_BRANDHYDRANT
http://digitalbuildingdata.tech/nlcs/def/88328682-4561-4711-ac92-f69c9a6162bc,,SIE-HERDENKINGSMONUMENT,SIE-MEUBILAIR_HERDENKINGSMONUMENT
http://digitalbuildingdata.tech/nlcs/def/f6a04f88-b8d9-4c6d-aef5-2942d4736119,,SKL-BEREGENING,SKL-BEREGENING_SPROEIER
http://digitalbuildingdata.tech/nlcs/def/708fc23e-53da-4485-8b50-373ce74c3005,,SOG-BEBOUWING,SOG-BEBOUWING_FIETSENSTALLING
http://digitalbuildingdata.tech/nlcs/def/35a1f176-091b-47ec-bf5a-085620a71df6,,SOV-HULP,SOV-HULP_MOF
http://digitalbuildingdata.tech/nlcs/def/05d89e5e-9c14-4cdb-ab46-7c2aadcf2f10,,SIE-HOOGTEDETECTIEMETER,SIE-MEUBILAIR_HOOGTEDETECTIEMETER
http://digitalbuildingdata.tech/nlcs/def/1939bd2d-00f4-4b40-b4b2-c0ca043c9b4c,,SRI-DRAIN,SRI-DRAIN_TALUDGOOT
http://digitalbuildingdata.tech/nlcs/def/4b79ef10-4679-450a-9c7a-bded296bd0f1,,SVH-GRAS,SVH-GRAS_GESTABILISEERD
http://digitalbuildingdata.tech/nlcs/def/297f7a81-f486-44c5-b12b-845d77f3e949,,SIE-INKLIMBEVEILIGING,SIE-MEUBILAIR_INKLIMBEVEILIGING
http://digitalbuildingdata.tech/nlcs/def/ffbaa112-f460-4d1e-b033-1f185de02a97,,SIE-SIRENE,SIE-MEUBILAIR_SIRENE
http://digitalbuildingdata.tech/nlcs/def/b2d8e9d2-c54c-4891-81b6-95a3045b2a6e,,SIE-KUNSTOBJECT,SIE-MEUBILAIR_KUNSTOBJECT
http://digitalbuildingdata.tech/nlcs/def/6ccea74a-79bc-4653-8039-4a60459de9e2,,SKL-BENZINEPUT,SKL-BENZINEPUT_OLIEPUT
http://digitalbuildingdata.tech/nlcs/def/6384eacf-1ad8-4ca5-b57f-20cceff6aacb,,SIE-WEERSTATION,SIE-MEUBILAIR_WEERSTATION
http://digitalbuildingdata.tech/nlcs/def/c0137e33-1f88-460c-b3f2-f09739aa9a05,,SKL-TELECOM,SKL-TELECOM_TERREINKAST
http://digitalbuildingdata.tech/nlcs/def/beced2ed-a43b-4566-9975-9e6e9d959238,,SIE-ZONNEPANEEL,SIE-MEUBILAIR_ZONNEPANEEL
http://digitalbuildingdata.tech/nlcs/def/30255900-ed8d-490c-a33a-f4d58dce5b5a,,SIE-OPENBAARTOILET,SIE-MEUBILAIR_OPENBAARTOILET
http://digitalbuildingdata.tech/nlcs/def/3a4b7135-e29f-43d3-8191-c3d3d33f36c8,,SGR-VEGETATIE,SGR-VEGETATIE_GESLOTEN
http://digitalbuildingdata.tech/nlcs/def/f34443c2-4c99-407c-a4a3-c6e1e3bf2a37,8,SAL-TEKENBLAD_A0_841X841-SO,SAL-TEKENBLAD_A0_841X841-SOMM
http://digitalbuildingdata.tech/nlcs/def/e83b7e2b-7b2d-4b3a-be57-fe69078f94c3,3066,SIE-AFVAL APART PLAATS-SO,SIE-MEUBILAIR_AFVAL APART PLAATS-SO
http://digitalbuildingdata.tech/nlcs/def/0ac3feee-c233-46a1-8a4b-b0ef00802d4d,3446,B-SVH-KANTOPSLUITING_GELEIDEBAND_190_200X160-D,B-SVH-KANTOPSLUITING_GELEIDEBAND_190 220X160-D
http://digitalbuildingdata.tech/nlcs/def/97132641-a209-4a41-a1eb-f8b74a2d4a36,707,SIE-WEG_SCHIJNWERPER-SO,SIE-MEUBILAIR_SCHIJNWERPER-SO
http://digitalbuildingdata.tech/nlcs/def/836243fe-46f5-418d-a378-a379770ccf12,642,SIE-WEG_BRIEVENBUS-SO,SIE-MEUBILAIR_BRIEVENBUS-SO
http://digitalbuildingdata.tech/nlcs/def/30a90167-af7e-4e46-ad1e-769c726c3197,741,V-SIE-WEG_BRIEVENBUS-SO,V-SIE-MEUBILAIR_BRIEVENBUS-SO
http://digitalbuildingdata.tech/nlcs/def/8dd9a7f9-fa7f-4551-a6ff-a779f6b50830,717,SIE-WEG_TELEFOONCEL-SO,SIE-MEUBILAIR_TELEFOONCEL-SO
http://digitalbuildingdata.tech/nlcs/def/621d9c7e-d2ac-48d7-add3-4825b94c71f8,815,V-SIE-WEG_TELEFOONCEL-SO,V-SIE-MEUBILAIR_TELEFOONCEL-SO
http://digitalbuildingdata.tech/nlcs/def/5e35ddf1-d4b6-46d4-a098-ac555f06e07c,761,V-SIE-WEG_INGANGSCONTROLE_CAMERA-SO,V-SIE-MEUBILAIR_INGANGSCONTROLE_CAMERA-SO
http://digitalbuildingdata.tech/nlcs/def/d9377de2-9579-48a5-81ed-e48294dab28d,3885,SVH-BETONPLAAT_HALFST_KL-SO,SVH-OPENVERHARDING_BEDRIJFSVLOERPLAAT_HALFST_KL-SO
http://digitalbuildingdata.tech/nlcs/def/d7681555-3114-48f2-9527-32f4f82bbbe8,656,SIE-WEG_FIETSKLEM_RECHT,SIE-MEUBILAIR_FIETSKLEM_RECHT
http://digitalbuildingdata.tech/nlcs/def/a66e92dd-9b16-4aae-85fd-e67e6d57bfe7,748,V-SIE-WEG_CONTAINER_HUISVUIL_OPSTELPLAATS-SO,V-SIE-MEUBILAIR_CONTAINER_HUISVUIL_OPSTELPLAATS-SO
http://digitalbuildingdata.tech/nlcs/def/5b79141a-36b8-4c72-bfd9-dd0bff31830a,3175,B-SVH-INRITELEMENT_180 200_160X500X1000_LINKS,B-SVH-KANTOPSLUITING_INRITBAND_180 200_500X160X1000_LINKS
http://digitalbuildingdata.tech/nlcs/def/e0577bed-38af-47c2-b194-97f5cd972cdd,3371,SVH-KANTOPSLUITING_GELEIDEBAND_50_200X200-D,SVH-KANTOPSLUITING_GELEIDEBAND_50 200X200-D
http://digitalbuildingdata.tech/nlcs/def/940dc047-608b-40d5-a913-df09fabe3455,37,SAL-TEKENBLAD_A3.0-SO,SAL-TEKENBLAD_A3.0-SOMM
http://digitalbuildingdata.tech/nlcs/def/adc8c911-a37b-4c1d-8b31-1ee096ac8556,648,SIE-WEG_CONTAINER_GROFVUIL-SO,SIE-MEUBILAIR_CONTAINER_GROFVUIL-SO
http://digitalbuildingdata.tech/nlcs/def/1e7380c8-65b0-4a96-b63e-a7108ee101e9,650,SIE-WEG_CONTAINER_PAPIER-SO,SIE-MEUBILAIR_CONTAINER_PAPIER-SO
http://digitalbuildingdata.tech/nlcs/def/efc29db8-b1dc-4799-a7fc-f40f107bbe13,2709,SIE-WEG_CONTAINER_KUNSTSTOF-SO,SIE-MEUBILAIR_CONTAINER_KUNSTSTOF-SO
http://digitalbuildingdata.tech/nlcs/def/ae1b0ced-62a2-4a03-8e2c-d37151530d08,749,V-SIE-WEG_CONTAINER_PAPIER-SO,V-SIE-MEUBILAIR_CONTAINER_PAPIER-SO
http://digitalbuildingdata.tech/nlcs/def/c4206716-f889-4d2d-988e-34a1a549a09e,744,V-SIE-WEG_CONTAINER_AFVAL-SO,V-SIE-MEUBILAIR_CONTAINER_AFVAL-SO
http://digitalbuildingdata.tech/nlcs/def/f8665e8c-0930-4d17-ba13-ff5fbb45602c,747,V-SIE-WEG_CONTAINER_GROFVUIL-SO,V-SIE-MEUBILAIR_CONTAINER_GROFVUIL-SO
http://digitalbuildingdata.tech/nlcs/def/070ebc81-24b3-47c1-8e3d-1c3138b2eaaa,652,SIE-WEG_CONTAINER_TEXTIEL-SO,SIE-MEUBILAIR_CONTAINER_TEXTIEL-SO
http://digitalbuildingdata.tech/nlcs/def/6d66afdb-9c00-4428-acea-db7464d97717,745,V-SIE-WEG_CONTAINER_ALGEMEEN-SO,V-SIE-MEUBILAIR_CONTAINER_ALGEMEEN-SO
http://digitalbuildingdata.tech/nlcs/def/aeedee03-cf1b-48d6-9cf5-a29d5478ac1e,649,SIE-WEG_CONTAINER_HUISVUIL_OPSTELPLAATS-SO,SIE-MEUBILAIR_CONTAINER_HUISVUIL_OPSTELPLAATS-SO
http://digitalbuildingdata.tech/nlcs/def/d49f4765-7b23-446a-a80a-9a42f15ebafb,746,V-SIE-WEG_CONTAINER_GLAS-SO,V-SIE-MEUBILAIR_CONTAINER_GLAS-SO
http://digitalbuildingdata.tech/nlcs/def/d238619d-c905-4c6d-be69-66dcc7a659d1,645,SIE-WEG_CONTAINER_AFVAL-SO,SIE-MEUBILAIR_CONTAINER_AFVAL-SO
http://digitalbuildingdata.tech/nlcs/def/e05f960a-8bed-4733-a7ce-bef5f8d7c0dd,2710,V-SIE-WEG_CONTAINER_KUNSTSTOF-SO,V-SIE-MEUBILAIR_CONTAINER_KUNSTSTOF-SO
http://digitalbuildingdata.tech/nlcs/def/e737427d-8bde-4303-a848-f22b60d3b923,647,SIE-WEG_CONTAINER_GLAS-SO,SIE-MEUBILAIR_CONTAINER_GLAS-SO
http://digitalbuildingdata.tech/nlcs/def/65f7421a-14f3-4fb6-8e3d-ab6ea8de9449,751,V-SIE-WEG_CONTAINER_TEXTIEL-SO,V-SIE-MEUBILAIR_CONTAINER_TEXTIEL-SO
http://digitalbuildingdata.tech/nlcs/def/3c339520-7660-486d-bcb9-10246d69623f,646,SIE-WEG_CONTAINER_ALGEMEEN-SO,SIE-MEUBILAIR_CONTAINER_ALGEMEEN-SO
http://digitalbuildingdata.tech/nlcs/def/f199681e-1299-490e-9b19-9d9eaa36f861,3078,SIE-WATER_DEBIETMETER-SO,SIE-MEUBILAIR_DEBIETMETER-SO
http://digitalbuildingdata.tech/nlcs/def/163e9c1d-848d-4e88-88b9-ed4aeb07f34c,3202,SVH-INRITELEMENT_130 150_200X450X500_LINKS,SVH-KANTOPSLUITING_INRITBAND_130 150_450X200X500_LINKS
http://digitalbuildingdata.tech/nlcs/def/a96adb4c-b30a-413d-9378-e6cf15213ffd,740,V-SIE-WEG_BESCHERMBEUGEL_RECHT,V-SIE-MEUBILAIR_BESCHERMBEUGEL_RECHT
http://digitalbuildingdata.tech/nlcs/def/1947b39a-def8-4efa-9125-faad4705fc13,1119,SVH-COBBLESTONE-SO,SVH-KASSEIEN-SO
http://digitalbuildingdata.tech/nlcs/def/d4bc41ef-284a-4295-be3a-ca9b8033c5ac,766,V-SIE-WEG_BESCHERMBEUGEL_ROND,V-SIE-MEUBILAIR_BESCHERMBEUGEL_ROND
http://digitalbuildingdata.tech/nlcs/def/49b27e8d-fcc3-49ed-8b55-9e3834e2a32c,641,SIE-WEG_BESCHERMBEUGEL_RECHT,SIE-MEUBILAIR_BESCHERMBEUGEL_RECHT
http://digitalbuildingdata.tech/nlcs/def/a34f2eb2-d991-49b8-86a5-8cd6a3bd56df,667,SIE-WEG_BESCHERMBEUGEL_ROND,SIE-MEUBILAIR_BESCHERMBEUGEL_ROND
http://digitalbuildingdata.tech/nlcs/def/39bc7f4d-3a59-4dbf-9b1e-e14bb71fa94d,686,SIE-WEG_PARKEERAUTOMAAT-SO,SIE-MEUBILAIR_PARKEERAUTOMAAT-SO
http://digitalbuildingdata.tech/nlcs/def/5f4851ec-9a31-4494-827c-c66364f35eb8,654,SIE-TERREINAFSCHEIDING_DOORGANG_SCHUIFPOORT-SO,SIE-CONSTRUCTIEVE AFSCHEIDINGEN_HEKWERK_DOORGANG_SCHUIFPOORT
http://digitalbuildingdata.tech/nlcs/def/12ec4a45-40cf-46f5-9796-57a9a0b03783,21,SAL-TEKENBLAD_A2_420X1260-SO,SAL-TEKENBLAD_A2_420X1260-SOMM
http://digitalbuildingdata.tech/nlcs/def/3398dbdf-f5e4-4894-8891-6bce8621a262,2752,V-SRI-TANK_PROPAAN-SO,V-SOG-TANK_PROPAAN-SO
http://digitalbuildingdata.tech/nlcs/def/e4c7c978-09f4-4e0b-8653-7ab4d7f51b3b,3108,SIE-WEG_PAAL_LAADPAAL-SO,SIE-MEUBILAIR_PAAL_LAADPAAL-SO
http://digitalbuildingdata.tech/nlcs/def/10a0eae2-334f-426a-b9cf-b86225085135,2144,SRI-PUT_VWA-SO,SRI-PUT_DWA-SO
http://digitalbuildingdata.tech/nlcs/def/22675c97-834c-45f1-b85b-a0c3bdfefcea,2128,B-SRI-PUT_VWA-SO,B-SRI-PUT_DWA-SO
http://digitalbuildingdata.tech/nlcs/def/3f3ad104-6e8e-4b47-b71a-cccdcfea60c2,1075,V-SRI-PUT_VWA-SO,V-SRI-PUT_DWA-SO
http://digitalbuildingdata.tech/nlcs/def/f82872d8-34b8-44e4-b4ef-64af665a0777,822,V-SIE-WEG_WEGWIJZER-SO,V-SIE-MEUBILAIR_WEGWIJZER-SO
http://digitalbuildingdata.tech/nlcs/def/fb0267e1-5513-4ebe-8511-74603cdd504c,3214,SVH-INRITELEMENT_180 200_160X500X500_LINKS,SVH-KANTOPSLUITING_INRITBAND_180 200_500X160X500_LINKS
http://digitalbuildingdata.tech/nlcs/def/3ce39843-9857-4a83-9ef0-679c07583462,38,SAL-TEKENBLAD_A3.1-SO,SAL-TEKENBLAD_A3.1-SOMM
http://digitalbuildingdata.tech/nlcs/def/e4092a95-a912-4dcf-b415-813076227248,4,SAL-TEKENBLAD_A0_841X1470-SO,SAL-TEKENBLAD_A0_841X1470-SOMM
http://digitalbuildingdata.tech/nlcs/def/a7c11b2d-2939-4f71-82d7-514c1725fa08,6762,V-SIE-FIETSENKLUIS-SO,V-SIE-MEUBILAIR_FIETSKLUIS-SO
http://digitalbuildingdata.tech/nlcs/def/df4bb570-f631-4854-abbd-13031c70645b,2946,V-SIE-WEG_STROOIRESERVOIR-SO,V-SIE-MEUBILAIR_STROOIRESERVOIR-SO
http://digitalbuildingdata.tech/nlcs/def/1c955e86-db64-466f-9635-dc2065d762f7,2944,SIE-WEG_STROOIRESERVOIR-SO,SIE-MEUBILAIR_STROOIRESERVOIR-SO
http://digitalbuildingdata.tech/nlcs/def/4054fec7-e0aa-4ec7-9fc0-5683ec2fbf23,3215,SVH-INRITELEMENT_180 200_160X500X500_MIDDEN,SVH-KANTOPSLUITING_INRITBAND_180 200_500X160X500_MIDDEN
http://digitalbuildingdata.tech/nlcs/def/bc917ab1-4fd7-4359-8cc9-307210e102f6,814,V-SIE-WEG_STRAATPOT_WATER-SO,V-SIE-MEUBILAIR_STRAATPOT_WATER-SO
http://digitalbuildingdata.tech/nlcs/def/40514293-b332-4774-9039-d381986c7fe0,628,SIE-WEG_ABRI-SO,SIE-MEUBILAIR_ABRI-SO
http://digitalbuildingdata.tech/nlcs/def/4478af30-5217-42fe-b47d-70816e36631d,727,V-SIE-WEG_ABRI-SO,V-SIE-MEUBILAIR_ABRI-SO
http://digitalbuildingdata.tech/nlcs/def/868b68be-bdbd-4db5-85dd-ac025ac49148,655,SIE-WATER_DUKDALF-SO,SIE-MEUBILAIR_DUKDALF-SO
http://digitalbuildingdata.tech/nlcs/def/92404df4-6148-4b23-84f5-65f211763742,11,SAL-TEKENBLAD_A1_594X1050-SO,SAL-TEKENBLAD_A1_594X1050-SOMM
http://digitalbuildingdata.tech/nlcs/def/eb4940be-75cb-4235-845f-8be7658e9c4e,3079,SIE-WATER_WATERSTANDMETER-SO,SIE-MEUBILAIR_WATERSTANDMETER-SO
http://digitalbuildingdata.tech/nlcs/def/fa66d8d2-693f-49a4-a6e1-afc00ae29883,3544,V-SIE-WATER_WATERSTANDMETER-SO,V-SIE-MEUBILAIR_WATERSTANDMETER-SO
http://digitalbuildingdata.tech/nlcs/def/6855fcff-ba38-4d12-a42d-08f2f4ba7a67,754,V-SIE-WATER_DUKDALF-SO,V-SIE-MEUBILAIR_DUKDALF-SO
http://digitalbuildingdata.tech/nlcs/def/7aacd8dd-dffc-410a-9626-c54fcf3e55df,711,SIE-WEG_SPEELTOESTEL-SO,SIE-MEUBILAIR_SPEELTOESTEL-SO
http://digitalbuildingdata.tech/nlcs/def/da5badee-a19f-4752-a16d-b50f350eda5a,810,V-SIE-WEG_SPEELTOESTEL-SO,V-SIE-MEUBILAIR_SPEELTOESTEL-SO
http://digitalbuildingdata.tech/nlcs/def/a23acbb1-ef71-4b56-b7d0-7ef2ec7bc446,662,SIE-WEG_INGANGSCONTROLE_CAMERA-SO,SIE-MEUBILAIR_INGANGSCONTROLE_CAMERA-SO
http://digitalbuildingdata.tech/nlcs/def/dddb8e46-ee05-44a5-b52c-84df8df47777,760,V-SIE-WEG_GRONDSPOT-SO,V-SIE-MEUBILAIR_GRONDSPOT-SO
http://digitalbuildingdata.tech/nlcs/def/4fbf9adc-1bc1-4d47-8392-c58411c138d9,661,SIE-WEG_GRONDSPOT-SO,SIE-MEUBILAIR_GRONDSPOT-SO
http://digitalbuildingdata.tech/nlcs/def/84c9b375-791c-45b3-a5dc-d90b91e68ff6,715,SIE-WEG_STRAATPOT_WATER-SO,SIE-MEUBILAIR_STRAATPOT_WATER-SO
http://digitalbuildingdata.tech/nlcs/def/c652467e-7be7-41b0-8485-7121c4237384,723,SIE-WEG_WEGWIJZER-SO,SIE-MEUBILAIR_WEGWIJZER-SO
http://digitalbuildingdata.tech/nlcs/def/b4022c4c-3987-4a61-9494-67dbbe6d370a,3186,B-SVH-INRITELEMENT_180 200_200X650X500_RECHTS,B-SVH-KANTOPSLUITING_INRITBAND_180 200_800X180X500_RECHTS
http://digitalbuildingdata.tech/nlcs/def/75d71e8c-f40b-43f6-b64c-2307eebf1c58,801,V-SIE-WEG_PEUKENPAAL-SO,V-SIE-MEUBILAIR_PEUKENPAAL-SO
http://digitalbuildingdata.tech/nlcs/def/39fbba04-2fc0-430a-853b-9dc7fe865f25,3282,V-SVH-INRITELEMENT_180 200_160X500X500_LINKS,V-SVH-KANTOPSLUITING_INRITBAND_180 200_500X160X500_LINKS
http://digitalbuildingdata.tech/nlcs/def/4d7da5d3-fa26-4452-8843-59e5af79281a,3203,SVH-INRITELEMENT_130 150_200X450X500_MIDDEN,SVH-KANTOPSLUITING_INRITBAND_130 150_450X200X500_MIDDEN
http://digitalbuildingdata.tech/nlcs/def/edf9159c-0d5b-4d58-a96b-8645d00ae237,1079,V-SRI-TANK_SEPTIC-SO,V-SOG-TANK_SEPTIC-SO
http://digitalbuildingdata.tech/nlcs/def/da1e212d-d9f4-46d7-b58e-317cdba2051a,1021,SRI-TANK_SEPTIC-SO,SOG-TANK_SEPTIC-SO
http://digitalbuildingdata.tech/nlcs/def/9841d76d-1694-41d0-9163-99530c8c57c9,3271,V-SVH-INRITELEMENT_130 150_200X450X500_MIDDEN,V-SVH-KANTOPSLUITING_INRITBAND_130 150_450X200X500_MIDDEN
http://digitalbuildingdata.tech/nlcs/def/7e418e04-d420-4a64-add1-c0b35c1559b2,24,SAL-TEKENBLAD_A2_420X1890-SO,SAL-TEKENBLAD_A2_420X1890-SOMM
http://digitalbuildingdata.tech/nlcs/def/1fe3fca5-0904-44b3-a371-039f8bf8de1a,3440,B-SVH-KANTOPSLUITING_GELEIDEBAND_100_200X270-D,B-SVH-KANTOPSLUITING_GELEIDEBAND_100 200X270-D
http://digitalbuildingdata.tech/nlcs/def/cf0dd622-0bdc-438a-b3c4-0df5b6a9eece,3171,B-SVH-INRITELEMENT_130 150_600X200X300_RECHTS,B-SVH-KANTOPSLUITING_INRITBAND_130 150_600X200X300_RECHTS
http://digitalbuildingdata.tech/nlcs/def/fb7bf9b7-5024-4770-a5db-c74964287837,631,SIE-WEG_AFVALBAK_02-SO,SIE-MEUBILAIR_AFVALBAK_02-SO
http://digitalbuildingdata.tech/nlcs/def/f434a0fd-0a2b-44fe-8375-9f4def7b6f49,3069,SIE-FONTEIN-SO,SIE-MEUBILAIR_FONTEIN-SO
http://digitalbuildingdata.tech/nlcs/def/681f2ea1-6549-47d4-a1d0-a3ddd148e9cb,36,SAL-TEKENBLAD_A3_420X297-SO,SAL-TEKENBLAD_A3_420X297-SOMM
http://digitalbuildingdata.tech/nlcs/def/3cdb168b-c5c2-43ae-ad9b-f2f7db9d22fd,702,SIE-WEG_PEUKENPAAL-SO,SIE-MEUBILAIR_PEUKENPAAL-SO
http://digitalbuildingdata.tech/nlcs/def/112ac75e-483c-450d-8281-f90079604e41,3456,B-SVH-KANTOPSLUITING_GELEIDEBAND_40_120X250-D,B-SVH-KANTOPSLUITING_GELEIDEBAND_40 120X250-D
http://digitalbuildingdata.tech/nlcs/def/04e46276-331b-475a-b84d-b6510bc399c6,3275,V-SVH-INRITELEMENT_130 150_600X200X300_RECHTS,V-SVH-KANTOPSLUITING_INRITBAND_130 150_600X200X300_RECHTS
http://digitalbuildingdata.tech/nlcs/def/47c9cde8-b1bc-4369-b828-b829cc38092a,1095,SVH-BETONPLAAT_HALFST-SO,SVH-OPENVERHARDING_BEDRIJFSVLOERPLAAT_HALFST-SO
http://digitalbuildingdata.tech/nlcs/def/8a84fc94-e7e2-4ce1-94e1-7e8ff955d90a,2952,SKL-POLLER_KAST-SO,SVW-POLLER_KAST-SO
http://digitalbuildingdata.tech/nlcs/def/aee67c7e-1dba-45f0-a548-1bf70a17c569,2954,V-SKL-POLLER_KAST-SO,V-SVW-POLLER_KAST-SO
http://digitalbuildingdata.tech/nlcs/def/e82b950b-3624-4800-8b55-9af33768b8f0,3383,SVH-KANTOPSLUITING_GELEIDEBAND_70_200X150-D,SVH-KANTOPSLUITING_GELEIDEBAND_70 200X150-D
http://digitalbuildingdata.tech/nlcs/def/5ca08384-b85a-4673-8a9e-9a13c2fa4ead,3195,SVH-INRITELEMENT_130 150_180X450X1000_RECHTS,SVH-KANTOPSLUITING_INRITBAND_130 150_450X180X1000_RECHTS
http://digitalbuildingdata.tech/nlcs/def/c96db88b-3afb-42f0-be7a-1b82746e5c25,3548,V-SIE-WEG_DRINKBAK-SO,V-SIE-MEUBILAIR_BAK_DRINKBAK-SO
http://digitalbuildingdata.tech/nlcs/def/d7797c97-255a-46d7-b618-829ac4534881,3090,SIE-WEG_DRINKBAK-SO,SIE-MEUBILAIR_BAK_DRINKBAK-SO
http://digitalbuildingdata.tech/nlcs/def/93554488-4f86-4960-a0ad-de2fd5187757,3181,B-SVH-INRITELEMENT_180 200_180X800X500_LINKS,B-SVH-KANTOPSLUITING_INRITBAND_180 200_650X200X500_LINKS
http://digitalbuildingdata.tech/nlcs/def/9d06f3f5-fb09-4184-b372-ecc54fc2950f,1094,SVH-BETONPLAAT_BLOK_RAND-SO,SVH-OPENVERHARDING_BEDRIJFSVLOERPLAAT_BLOK_RAND-SO
http://digitalbuildingdata.tech/nlcs/def/ca4f1808-4173-4fe4-843f-44d1b74f4a84,3439,SVH-KANTOPSLUITING_GELEIDEBAND_100_200X270-D,SVH-KANTOPSLUITING_GELEIDEBAND_100 200X270-D
http://digitalbuildingdata.tech/nlcs/def/af555975-4cb5-44f0-b689-0f77c2897292,681,SIE-WEG_PAAL_HOUT-SO,SIE-MEUBILAIR_PAAL_HOUT-SO
http://digitalbuildingdata.tech/nlcs/def/9cdf60da-4774-4396-be3d-108f4f68307e,733,V-SIE-WATER_BOLDER-SO,V-SIE-MEUBILAIR_BOLDER-SO
http://digitalbuildingdata.tech/nlcs/def/ea5f82b3-2326-463a-957e-a57da6f0c604,634,SIE-WATER_BOLDER-SO,SIE-MEUBILAIR_BOLDER-SO
