vervallenConcept,vervallenConceptName
http://digitalbuildingdata.tech/nlcs/def/a2c8f7db-10b6-4ccc-a061-f820842284af,V-SIE-WEG_VERKEERSBORD_STRAATNAAMBORD_PAAL-SO
http://digitalbuildingdata.tech/nlcs/def/c49afa7e-f5f9-4fe5-90e4-30d74c40f70a,SIE-WEG
http://digitalbuildingdata.tech/nlcs/def/4eb2ad1c-8130-44c8-86f9-5637efc131d5,V-SVH-TEGEL_600X600_LINT_STIP-SO
http://digitalbuildingdata.tech/nlcs/def/468f5391-e801-4936-ab58-d087f542c598,SIE-AFVAL APART PLAATS
http://digitalbuildingdata.tech/nlcs/def/7512a104-7f58-467a-8ada-9f81f7691424,SVH-SPECIAAL_OVERIG_TRANENPLAAT_01-SO
http://digitalbuildingdata.tech/nlcs/def/ce21f11c-69ab-4ebf-b5c1-dfab8317b6a6,SVH-SPECIAAL
http://digitalbuildingdata.tech/nlcs/def/bb4c0091-9e23-46c7-9ee0-f9d41d8f208e,V-SVH-SPECIAAL_OVERIG_KOPSHOUT-SO
http://digitalbuildingdata.tech/nlcs/def/cd0ac034-1dd4-4e65-ad97-496ed15012b2,V-ZZ-PROJECTGRENS-SO
http://digitalbuildingdata.tech/nlcs/def/d1afd631-3700-473e-ab4f-e5d6ac0a24b5,TERREINAFSCHEIDING_NATUURLIJK_HAAG
http://digitalbuildingdata.tech/nlcs/def/ba7b558e-75e3-440e-a036-5de07fc298ee,TERREINAFSCHEIDING_NATUURLIJK
http://digitalbuildingdata.tech/nlcs/def/a51b6f01-dc32-4739-9849-0cdaa2a9c19a,B-SVH-KANTOPSLUITING_ROTONDE_425 500X500-D
http://digitalbuildingdata.tech/nlcs/def/4894be17-dee4-41a2-8170-1dad5cb6ab5c,B-SVH-KANTOPSLUITING_GAZONBAND_200X200-D
http://digitalbuildingdata.tech/nlcs/def/d42e16de-a3ee-4bf6-a29c-f7d2f8040ea6,MEUBILAIR_WEGMEUBILAIR_FONTEIN
http://digitalbuildingdata.tech/nlcs/def/041816b6-dc23-4bd8-830c-243e0fd5e894,MEUBILAIR_WEGMEUBILAIR
http://digitalbuildingdata.tech/nlcs/def/b55de68b-e7bc-492e-bbc4-a2a20f2858e7,KOUDENET_AANSLUITLEIDING_RETOUR_PE
http://digitalbuildingdata.tech/nlcs/def/1676470f-3e6e-415f-bada-ed4f38d0f224,KOUDENET_AANSLUITLEIDING_RETOUR
http://digitalbuildingdata.tech/nlcs/def/027c3e40-32b1-48ed-8f74-30ce1424286c,HOUTOPSTAND
http://digitalbuildingdata.tech/nlcs/def/04fc9039-ac72-4ebc-bb67-a980030dab44,AGR-HOUTOPSTAND
http://digitalbuildingdata.tech/nlcs/def/0eb0e879-fb8f-49ce-ad1c-7cfc5408c74b,STOOTBAND
http://digitalbuildingdata.tech/nlcs/def/d20b0c00-3a4e-41b6-9da8-6d64994f4125,B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_200 400X500-D
http://digitalbuildingdata.tech/nlcs/def/87c4c54a-31cd-420e-9649-47371b51e52e,SVH-KANTOPSLUITING_VERLOOP_180 200X250_50 200X200_RECHTS
http://digitalbuildingdata.tech/nlcs/def/4cacee11-e35d-41fa-bf50-242615dcd00a,BESCHOEIING_DAMWAND_BETON
http://digitalbuildingdata.tech/nlcs/def/16751b43-167f-47e0-a535-2aaf635740a9,BESCHOEIING_DAMWAND
http://digitalbuildingdata.tech/nlcs/def/a6ce3ea4-7433-4da8-abaf-4503dbd0ddd9,V-RI-SWA-SO
http://digitalbuildingdata.tech/nlcs/def/23c9a10a-eef3-402e-a173-5ad158656ccf,V-SVW-MARKERING_STREEP_39_015
http://digitalbuildingdata.tech/nlcs/def/261512d6-ad97-4310-895c-09a5bf611f30,V-SVW-MARKERING_STREEP_39_010
http://digitalbuildingdata.tech/nlcs/def/2a1d02b1-e09d-4631-9726-dbdede2dd329,V-SVW-MARKERING_STREEP_39_030
http://digitalbuildingdata.tech/nlcs/def/bbae6613-d7ab-4057-9193-50bea4ce4dd7,SVW-MARKERING_STREEP_39_030
http://digitalbuildingdata.tech/nlcs/def/3b9d0d8d-0a71-4acf-a755-2d41b69ac75e,SVW-MARKERING_STREEP_39_015
http://digitalbuildingdata.tech/nlcs/def/82781d0e-3f5f-4f28-8313-2a66dc76df9d,SVW-MARKERING_STREEP_39_010
http://digitalbuildingdata.tech/nlcs/def/893a75e7-d17a-4673-91cf-1ff29d4c3acf,V-SRI-PUT_SWA-SO
http://digitalbuildingdata.tech/nlcs/def/aa7d3a0a-88ed-4a0f-9b01-e7d9e12d7864,V-SVW-MARKERING_STREEP_DRIEHOEK_030_030
