NLCS Object;NLCS Symbool;rvvCode;blackCode;zoneCode;Oplossing
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_005-SO;A1;5;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_010-SO;A1;10;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_015-SO;A1;15;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_020-SO;A1;20;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_025-SO;A1;25;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_030_ZB-SO;A1;30;ZB;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_030-SO;A1;30;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_050_ZH-SO;A1;30;ZH;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_060-SO;A1;50;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_060_ZB-SO;A1;60;ZB;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_060-SO;A1;60;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_060_ZH-SO;A1;60;ZH;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_070-SO;A1;70;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_080-SO;A1;80;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_090-SO;A1;90;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_100-SO;A1;100;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_120-SO;A1;120;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A01_130-SO;A1;130;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A02_015-SO;A2;15;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A02_030-SO;A2;30;;
VW-VERKEERSTEKEN_BORD_CATEGORIE_A;B-SVW-VERKEERSTEKEN_BORD_A02_030_ZE-SO;A2;30;ZE;
