hoofdgroepURI,id,hoofdgroep,afkorting
http://digitalbuildingdata.tech/nlcs/def/5b0d986a-88d3-4bb4-bc6f-fe940836c242,1,Voor alle hoofdgroepen,ZZ
http://digitalbuildingdata.tech/nlcs/def/6c4b8ac2-7a72-4ae6-b169-4dec77be3f02,10,Kadastrale informatie en Grenzen,KG
http://digitalbuildingdata.tech/nlcs/def/cf3d9f17-91ab-409b-be8b-25391d045637,11,Kabels en Leidingen,KL
http://digitalbuildingdata.tech/nlcs/def/99cd5c2b-367e-499a-aff4-393ad9176c5e,12,KunstWerken,KW
http://digitalbuildingdata.tech/nlcs/def/6f49b1fc-fcaf-4169-a2ab-d6e5db04466e,13,Milieu en Onderzoek,MO
http://digitalbuildingdata.tech/nlcs/def/0672f3a1-e7aa-4b9c-96bc-1a5ece50c636,14,Oever- en Bodembescherming,OB
http://digitalbuildingdata.tech/nlcs/def/c39aba0a-3716-47e0-ac95-897696f1ca62,15,OnderGrond,OG
http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,16,RIolering,RI
http://digitalbuildingdata.tech/nlcs/def/be7423a8-a108-405c-9606-76ec0d4744d7,17,VerHardingen,VH
http://digitalbuildingdata.tech/nlcs/def/1ed2ccbc-b998-47a3-860b-9e785b5ff1ad,18,Verkeersmaatregelen Vaarweg,VV
http://digitalbuildingdata.tech/nlcs/def/788fa0df-c3df-4d9e-8378-4ff971ed9f96,19,Verkeersmaatregelen Weg,VW
http://digitalbuildingdata.tech/nlcs/def/a6dd3cd1-92f9-4f48-b418-a556c3475b60,2,ALgemeen,AL
http://digitalbuildingdata.tech/nlcs/def/df6302c3-2eeb-4970-aeb1-507b48b83425,20,WaterHuishouding,WH
http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051,21,BetonConstructies,BC
http://digitalbuildingdata.tech/nlcs/def/0d5581ed-6b1d-4d66-b59b-0be0e8dbe9d8,22,FunderingsConstructies,FC
http://digitalbuildingdata.tech/nlcs/def/e6c0356d-0b0d-4916-86fd-e7fd6da29c06,23,GrondkerendeConstructies,GC
http://digitalbuildingdata.tech/nlcs/def/71aa99d2-4883-4a04-9eec-fc3cdf98a9bd,24,HoutConstructies,HC
http://digitalbuildingdata.tech/nlcs/def/6b9fa994-c423-4e2b-83f1-0f4b215126ff,25,HUlpconstructies,HU
http://digitalbuildingdata.tech/nlcs/def/ddaec266-08de-44de-9ff1-7ff1f19a85f1,26,MechanischeConstructies,MC
http://digitalbuildingdata.tech/nlcs/def/db46ddd0-a2a8-4998-884e-f34657984c67,27,StaalConstructies,SC
http://digitalbuildingdata.tech/nlcs/def/bdebc154-3fef-4148-94eb-a02b978d9e55,28,KunststofConstructies,KC
http://digitalbuildingdata.tech/nlcs/def/856a1bbf-b6ce-4b3d-8984-35bec5550839,29,MetselWerk,MW
http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db,3,Assen en Metrering,AM
http://digitalbuildingdata.tech/nlcs/def/35cbcf61-cb29-4a6b-b0a1-c1d98c2813e9,30,Installaties Weg,IW
http://digitalbuildingdata.tech/nlcs/def/bea7d7a4-9cf7-4f39-a22d-f4f2706f7b8e,31,Installaties Vaarweg,IV
http://digitalbuildingdata.tech/nlcs/def/ef67e7fd-7893-4179-bf25-0222e1b3744b,32,Openbare Verlichting,OV
http://digitalbuildingdata.tech/nlcs/def/39fe1834-0ba3-4bc5-9ef0-ced9a784c9b0,33,Installaties Spoor,IS
http://digitalbuildingdata.tech/nlcs/def/d0cdf0f4-34e2-4e93-aafa-d8771d113f5c,34,SpoorBaan,SB
http://digitalbuildingdata.tech/nlcs/def/23f2dd56-9672-4608-aeed-c4b24b36a964,35,"Heet nu Energievoorziening Spoor, ID 36",VS
http://digitalbuildingdata.tech/nlcs/def/3f404b4b-a21a-4772-9a3c-4d9a94c2e6a0,36,Energievoorziening Spoor,ES
http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc,4,BermbeveiligingsVoorzieningen,BV
http://digitalbuildingdata.tech/nlcs/def/d490e785-a03d-49e7-863d-5996ace24951,5,FaunaVoorzieningen,FV
http://digitalbuildingdata.tech/nlcs/def/24f9762b-7cd6-41ca-b087-f49b19970669,6,GrondKeringen,GK
http://digitalbuildingdata.tech/nlcs/def/a8f72862-d638-4081-b758-efa6911fd659,7,GRoen,GR
http://digitalbuildingdata.tech/nlcs/def/3b00b99b-145f-4dd0-81fc-bee2103cb6d2,8,GrondWerk,GW
http://digitalbuildingdata.tech/nlcs/def/27b56e60-4d27-442b-9b5b-65330f387d2f,9,InrichtingsElementen,IE
