"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"BC,""2742"",""AANGRENZENDE CONSTRUCTIE_HOUT"",""2740"",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"","""","""""
"BC,""2743"",""AANGRENZENDE CONSTRUCTIE_METSELWERK"",""2740"",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"","""","""""
"BC,""2741"",""AANGRENZENDE CONSTRUCTIE_STAAL"",""2740"",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"","""","""""
"BC,""2733"",""VOORSPANNING_ZONDER AANHECHTING"",""2732"",""*"",""**"",""0.18"",""180"",""252"",""200"",""190"",""254"",""CONTINUOUS"",""0.50"",""180"",""254"",""200"",""190"",""254"",""CONTINUOUS"",""0.50"",""180"",""252"",""200"",""190"",""254"",""CONTINUOUS"",""0.50"",""180"",""252"",""200"",""190"",""254"",""V-CONTINUOUS-SO"","""","""""
"BC,""2736"",""VOORSPANNING_MET AANHECHTING"",""2732"",""*"",""**"",""0.18"",""180"",""252"",""200"",""190"",""254"",""CONTINUOUS"",""0.50"",""180"",""254"",""200"",""190"",""254"",""CONTINUOUS"",""0.50"",""180"",""252"",""200"",""190"",""254"",""CONTINUOUS"",""0.50"",""180"",""252"",""200"",""190"",""254"",""V-CONTINUOUS-SO"","""","""""
"BC,""2727"",""WAPENING"","""",""*"",""**"",""0.18"",""170"",""252"",""130"",""150"",""254"",""CONTINUOUS"",""0.50"",""170"",""252"",""130"",""150"",""254"",""CONTINUOUS"",""0.70"",""170"",""252"",""130"",""150"",""254"",""CONTINUOUS"",""0.50"",""170"",""252"",""130"",""150"",""254"",""V-CONTINUOUS-SO"","""","""""
"BC,""2712"",""BETONVORM"","""",""*"",""**"",""0.18"",""40"",""253"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""253"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""253"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""253"",""90"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"BC,""2729"",""WAPENING_BIJLEGWAPENING"",""2727"",""*"",""**"",""0.18"",""150"",""252"",""160"",""130"",""254"",""CONTINUOUS"",""0.50"",""150"",""252"",""160"",""130"",""254"",""CONTINUOUS"",""0.70"",""150"",""252"",""160"",""130"",""254"",""CONTINUOUS"",""0.50"",""150"",""252"",""160"",""130"",""254"",""V-CONTINUOUS-SO"","""","""""
"BC,""2731"",""WAPENING_LOOPLIJN"",""2727"",""*"",""**"",""0.18"",""10"",""252"",""10"",""10"",""254"",""CONTINUOUS"",""0.18"",""10"",""252"",""10"",""10"",""254"",""CONTINUOUS"",""0.18"",""10"",""252"",""10"",""10"",""254"",""CONTINUOUS"",""0.18"",""10"",""252"",""10"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"BC,""2728"",""WAPENING_HOOFDWAPENING"",""2727"",""*"",""**"",""0.18"",""170"",""252"",""130"",""140"",""254"",""CONTINUOUS"",""0.50"",""170"",""252"",""130"",""140"",""254"",""CONTINUOUS"",""0.70"",""170"",""252"",""130"",""140"",""254"",""CONTINUOUS"",""0.50"",""170"",""252"",""130"",""140"",""254"",""V-CONTINUOUS-SO"","""","""""
