"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"ES,"""",""LEIDINGONDERBREKER"","""",""*"",""**"",""0.18"",""2"",""2"",""2"",""2"",""2"",""CONTINUOUS"",""0.35"",""2"",""2"",""2"",""2"",""2"",""CONTINUOUS"",""0.35"",""6"",""6"",""6"",""6"",""6"",""CONTINUOUS"",""0.35"",""2"",""2"",""2"",""2"",""2"",""V-CONTINUOUS-SO"","""","""""
"ES,"""",""AFSPANCONSTRUCTIE"","""",""*"",""**"",""0.18"",""104"",""104"",""104"",""104"",""104"",""CONTINUOUS"",""0.35"",""150"",""150"",""150"",""150"",""150"",""CONTINUOUS"",""0.35"",""6"",""6"",""6"",""6"",""6"",""CONTINUOUS"",""0.35"",""1"",""1"",""1"",""1"",""1"",""V-CONTINUOUS-SO"","""","""""
"ES,"""",""AFSPANNING"","""",""*"",""**"",""0.18"",""104"",""104"",""104"",""104"",""104"",""CONTINUOUS"",""0.35"",""150"",""150"",""150"",""150"",""150"",""CONTINUOUS"",""0.35"",""6"",""6"",""6"",""6"",""6"",""CONTINUOUS"",""0.35"",""1"",""1"",""1"",""1"",""1"",""V-CONTINUOUS-SO"","""","""""
"ES,"""",""BEREKENEN KRACHTEN GAWIRE"","""",""*"",""**"",""0.18"",""2"",""2"",""2"",""2"",""2"",""CONTINUOUS"",""0.35"",""2"",""2"",""2"",""2"",""2"",""CONTINUOUS"",""0.35"",""6"",""6"",""6"",""6"",""6"",""CONTINUOUS"",""0.35"",""2"",""2"",""2"",""2"",""2"",""V-CONTINUOUS-SO"","""","""""
"ES,"""",""LIGGING PROFIELDRAAD"","""",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""6"",""6"",""6"",""6"",""6"",""CONTINUOUS"",""0.35"",""1"",""1"",""1"",""1"",""1"",""V-CONTINUOUS-SO"","""","""""
"ES,"""",""FUNDATIE"","""",""*"",""**"",""0.18"",""0"",""0"",""0"",""0"",""0"",""CONTINUOUS"",""0.35"",""0"",""0"",""0"",""0"",""0"",""CONTINUOUS"",""0.35"",""6"",""6"",""6"",""6"",""6"",""CONTINUOUS"",""0.35"",""0"",""0"",""0"",""0"",""0"",""V-CONTINUOUS-SO"","""","""""
"ES,"""",""ELEKTRISCHEVERBINDING"","""",""*"",""**"",""0.18"",""210"",""210"",""210"",""210"",""210"",""CONTINUOUS"",""0.35"",""210"",""210"",""210"",""210"",""210"",""CONTINUOUS"",""0.35"",""6"",""6"",""6"",""6"",""6"",""CONTINUOUS"",""0.35"",""210"",""210"",""210"",""210"",""210"",""V-CONTINUOUS-SO"","""","""""
"ES,"""",""DRAADKRUISING"","""",""*"",""**"",""0.18"",""0"",""0"",""0"",""0"",""0"",""CONTINUOUS"",""0.35"",""0"",""0"",""0"",""0"",""0"",""CONTINUOUS"",""0.35"",""6"",""6"",""6"",""6"",""6"",""CONTINUOUS"",""0.35"",""0"",""0"",""0"",""0"",""0"",""V-CONTINUOUS-SO"","""","""""
"ES,"""",""SECTIE"","""",""*"",""**"",""0.18"",""0"",""0"",""0"",""0"",""0"",""CONTINUOUS"",""0.35"",""0"",""0"",""0"",""0"",""0"",""CONTINUOUS"",""0.35"",""6"",""6"",""6"",""6"",""6"",""CONTINUOUS"",""0.35"",""0"",""0"",""0"",""0"",""0"",""V-CONTINUOUS-SO"","""","""""
"ES,"""",""SCHAKELAAR"","""",""*"",""**"",""0.18"",""52"",""52"",""52"",""52"",""52"",""CONTINUOUS"",""0.35"",""52"",""52"",""52"",""52"",""52"",""CONTINUOUS"",""0.35"",""6"",""6"",""6"",""6"",""6"",""CONTINUOUS"",""0.35"",""52"",""52"",""52"",""52"",""52"",""V-CONTINUOUS-SO"","""","""""
