"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"FC,""2750"",""PAAL_BETON"",""2747"",""*"",""**"",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2748"",""PAAL_HOUT"",""2747"",""*"",""**"",""0.18"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2766"",""KESP"","""",""*"",""**"",""0.18"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""254"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2761"",""DAMWAND_BETON"",""2758"",""*"",""**"",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2762"",""DAMWAND_ANKER"",""2758"",""*"",""**"",""0.18"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2759"",""DAMWAND_HOUT"",""2758"",""*"",""**"",""0.18"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""254"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2760"",""DAMWAND_STAAL"",""2758"",""*"",""**"",""0.18"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2755"",""PAAL_STAALBUIS"",""2747"",""*"",""**"",""0.18"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2752"",""PAAL_BETON_IN DE GRONDGEVORMD"",""2750"",""*"",""**"",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2754"",""PAAL_BETON_SCHROEFPAAL"",""2750"",""*"",""**"",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2751"",""PAAL_BETON_PREFAB"",""2750"",""*"",""**"",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2749"",""PAAL_HOUT_OPLANGER"",""2748"",""*"",""**"",""0.18"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2753"",""PAAL_BETON_IN DE GRONDGEVORMD_TREKPAAL"",""2752"",""*"",""**"",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2763"",""DAMWAND_ANKER_GROUT"",""2762"",""*"",""**"",""0.18"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2756"",""PAAL_STAALBUIS_SCHROEFPAAL"",""2755"",""*"",""**"",""0.18"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2758"",""DAMWAND"","""",""*"",""**"",""0.18"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2757"",""DIEPWAND"","""",""*"",""**"",""0.18"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2768"",""LEVENSDUURVERLENGENDE MAATREGEL"","""",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"FC,""2765"",""GRONDVERBETERING"","""",""*"",""**"",""0.18"",""30"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""60"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2764"",""OPSTAAL"","""",""*"",""**"",""0.18"",""40"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""130"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2747"",""PAAL"","""",""*"",""**"",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"FC,""2767"",""REPARATIES"","""",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
