"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"HC,""2802"",""VERBINDING_STAAL"",""2800"",""*"",""**"",""0.18"",""140"",""252"",""130"",""10"",""253"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""V-CONTINUOUS-SO"","""","""""
"HC,""2801"",""VERBINDING_BOUT"",""2800"",""*"",""**"",""0.18"",""140"",""252"",""130"",""10"",""253"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""V-CONTINUOUS-SO"","""","""""
"HC,""2804"",""AANGRENZENDE CONSTRUCTIE_BETON"",""2803"",""*"",""**"",""0.18"",""7"",""252"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""254"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"","""","""""
"HC,""2806"",""AANGRENZENDE CONSTRUCTIE_METSELWERK"",""2803"",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"","""","""""
"HC,""2805"",""AANGRENZENDE CONSTRUCTIE_STAAL"",""2803"",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"","""","""""
"HC,""2797"",""HOUTVORM"","""",""*"",""**"",""0.18"",""30"",""252"",""40"",""10"",""253"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""V-CONTINUOUS-SO"","""","""""
"HC,""2798"",""HOUTVORM_BALK"",""2797"",""*"",""**"",""0.18"",""30"",""252"",""40"",""10"",""253"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""V-CONTINUOUS-SO"","""","""""
"HC,""2799"",""HOUTVORM_PLAAT"",""2797"",""*"",""**"",""0.18"",""30"",""252"",""40"",""10"",""253"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""253"",""V-CONTINUOUS-SO"","""","""""
"HC,""2800"",""VERBINDING"","""",""*"",""**"",""0.18"",""140"",""252"",""130"",""10"",""253"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""V-CONTINUOUS-SO"","""","""""
"HC,""2803"",""AANGRENZENDE CONSTRUCTIE"","""",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"","""","""""
"HC,""2808"",""REPARATIES"","""",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"HC,""2809"",""LEVENSDUURVERLENGENDE MAATREGEL"","""",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"HC,""2807"",""OVERIG MATERIAAL"","""",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"","""","""""
