"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"KW,""1454"",""KUNSTWERK_TUNNELBAK"",""1422"",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1439"",""KUNSTWERK_REMMINGSWERK"",""1422"",""*"",""**"",""0.18"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1462"",""KUNSTWERK_WILDWISSEL"",""1422"",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1472"",""KUNSTWERK_PROFIELVRIJERUIMTE"",""1422"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""KW-PVR-SO"",""0.18"",""7"",""7"",""7"",""7"",""253"",""KW-PVR-SO"",""0.18"",""7"",""7"",""7"",""7"",""253"",""KW-PVR-SO"",""0.18"",""7"",""7"",""7"",""7"",""253"",""V-KW-PVR-SO"","""","""""
"KW,""1474"",""KUNSTWERK_ZICHTRUIMTE"",""1422"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""KW-ZICHTRUIMTE-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""KW-ZICHTRUIMTE-SO"",""0.18"",""7"",""7"",""7"",""7"",""253"",""KW-ZICHTRUIMTE-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-KW-ZICHTRUIMTE-SO"","""","""""
"KW,""1468"",""KUNSTWERK_OVERSTORT"",""1422"",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1469"",""KUNSTWERK_SYPHON"",""1422"",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1431"",""KUNSTWERK_GELUIDSWERING"",""1422"",""*"",""**"",""0.18"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1473"",""KUNSTWERK_VOEGOVERGANG"",""1422"",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1456"",""KUNSTWERK_TUNNELBAK_WEGVERKEERSTUNNELBAK"",""1454"",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1455"",""KUNSTWERK_TUNNELBAK_SPOORTUNNELBAK"",""1454"",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1465"",""KUNSTWERK_WILDWISSEL_ECOTUNNEL"",""1462"",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1443"",""KUNSTWERK_SLUIS_KEERSLUIS"",""1440"",""*"",""**"",""0.18"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1445"",""KUNSTWERK_SLUIS_TIJSLUIS"",""1440"",""*"",""**"",""0.18"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1442"",""KUNSTWERK_SLUIS_INNUNDATIESLUIS"",""1440"",""*"",""**"",""0.18"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1441"",""KUNSTWERK_SLUIS_INLAATSLUIS"",""1440"",""*"",""**"",""0.18"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1446"",""KUNSTWERK_SLUIS_UITWATERINGSSSLUIS"",""1440"",""*"",""**"",""0.18"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1444"",""KUNSTWERK_SLUIS_SCHUTSLUIS"",""1440"",""*"",""**"",""0.18"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""7"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KW,""1461"",""KUNSTWERK_VIADUCT_WEGVERKEERSVIADUCT"",""1457"",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
