"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"SB,"""",""VERKANTING"","""",""*"",""**"",""0.18"",""251"",""8"",""251"",""251"",""8"",""CONTINUOUS"",""0.25"",""7"",""8"",""7"",""7"",""8"",""CONTINUOUS"",""0.25"",""7"",""8"",""7"",""7"",""8"",""CONTINUOUS"",""0.25"",""7"",""8"",""7"",""7"",""8"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOOR_DWARSLIGGER"","""",""*"",""**"",""0.18"",""251"",""254"",""251"",""251"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOOR_STOOTJUK"","""",""*"",""**"",""0.18"",""251"",""254"",""251"",""251"",""254"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOORSTAAF_DOORSNEDE_310C1"","""",""*"",""**"",""0.18"",""250"",""254"",""250"",""250"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOORSTAAF_DOORSNEDE_59R2"","""",""*"",""**"",""0.18"",""250"",""254"",""250"",""250"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOORSTAAF_DOORSNEDE_105C1"","""",""*"",""**"",""0.18"",""250"",""254"",""250"",""250"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOORSTAAF_DOORSNEDE_60R2"","""",""*"",""**"",""0.18"",""250"",""254"",""250"",""250"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOORSTAAF_DETAIL_59R2"","""",""*"",""**"",""0.18"",""250"",""254"",""250"",""250"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOORSTAAF_DETAIL_105C1"","""",""*"",""**"",""0.18"",""250"",""254"",""250"",""250"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOORSTAAF_DETAIL_49E1"","""",""*"",""**"",""0.18"",""250"",""254"",""250"",""250"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOORSTAAF_DETAIL_310C1"","""",""*"",""**"",""0.18"",""250"",""254"",""250"",""250"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOORSTAAF_DETAIL_60R2"","""",""*"",""**"",""0.18"",""250"",""254"",""250"",""250"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOOR_DWARSVERBINDING_STRIP"","""",""*"",""**"",""0.18"",""251"",""254"",""251"",""251"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOOR_DWARSVERBINDING_STRIP_GEISOLEERD"","""",""*"",""**"",""0.18"",""251"",""254"",""251"",""251"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOOR_DWARSLIGGER_MONOBLOK_KUNSTSTOF"","""",""*"",""**"",""0.18"",""251"",""254"",""251"",""251"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOOR_DWARSLIGGER_MONOBLOK"","""",""*"",""**"",""0.18"",""251"",""254"",""251"",""251"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
"SB,"""",""SPOOR_DWARSLIGGER_DUOBLOK"","""",""*"",""**"",""0.18"",""251"",""254"",""251"",""251"",""254"",""CONTINUOUS"",""0.35"",""150"",""151"",""150"",""150"",""151"",""CONTINUOUS"",""0.35"",""1"",""21"",""1"",""1"",""21"",""CONTINUOUS"",""0.35"",""6"",""191"",""6"",""6"",""191"",""V-CONTINUOUS-SO"","""","""""
