p;pName
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/24a5f883567803afcca3352ea07447a2;Optie
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b718adec73e04ce3ec720dd11a06a308;ID
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/070e6b1e670a6f704021f47dfb916561;B color GD
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/095f7786fa03ee5d1fb5a5f76a93eb5e;V color V
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/0f2b46296496d5476b4e94d885d2d6ad;N lineweight
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/11a56ac7445d51fa54dbbb4977a950b1;T color GD
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1837b3cbc76cf5be8bf2919440cffc1a;B color GN
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/207645b8f83b536f8f2984bd98972a2e;V color GD
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2e7b1dc3283e79482dc1153895dbf149;B color
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/35efcfbbb79075b1eec92ae2a5ec744d;V lineweight
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3d9494010633141738dac4db0d4371bd;T color
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3f9a348f67332197fd0bbbeda98e4358;B color A
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3f9c82ae0acc677b43f9c55db4c67d91;N color A
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/44d44b47e72154e00a246fe6d5ae90df;T lineweight
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5f36dd80a4a3f96ed76158ec5d420be7;T linetype
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/641531752f6d7d9c46654b91db0f8ecd;V color
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6fabaa692ad70ad1e62b2ed2d3e0b240;T color GN
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7b9b57ab5cd1409412c9c21aa8a75be0;N color V
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/964528fb003559383e99b63fca2b72e5;N color GD
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/965ac85b41943c884f3487cb131e05bd;V linetype
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/99271b8e4692f59ed33a550afaf542ac;B linetype
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/99c67830d90d074c22802a459c856f4c;N color
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9d31195f1dd92f368d648425fd92ddbc;T color V
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9df34a271d37ea19cda9171dd1b95438;V color GN
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a756b1013ec00304b3694f72789f5489;N color GN
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/dde96840a10d858e2d5a63d22b0c95a3;V color A
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e6a1db6908635962b1da9e1230718656;B color V
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f0ae4b93e35441578842bc4fd8709956;B lineweight
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f15cb56f17b45c122093acb2f6ef2666;T color A
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fffb63ae8b6d147830578bf41ba4bfa3;N linetype
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2aee5f4dec823b7e993e6874acb8174e;Fase
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9c241815bb021ad8b7146ffb88dcf856;VRKL_KORT
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ee3dc66d5b854ae66e7be9ed363611c7;Schaal
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f469e1defe6818a36f7a635c06e40ade;VRKL_LANG
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/58c9566f3c750ce7147b045fdd14202b;HEX
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9d5ed678fe57bcca610140957afab571;B
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/dfcf28d0734569a6a693bc8194de62bf;G
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e1e1d3d40573127e9ee0480caf1283d6;R
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/43bfde0b22ff03f4a08fb6e9d4372cba;Dunner
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6712d134a9335d8c5a17e7f7977457a2;Dikker
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6dbea03c69164fedb0913489b8cc1078;Lijngroep35
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/85ae245762d56c71eb33351f3dec57e5;MicrostationNummer
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e6b391a8d2c4d45902a23a8b6585703d;URL
