arcering,length
AGW-GRONDSOORTEN_KERNMATERIAAL-SO,33
AGW-GRONDSOORTEN_KERNMATERIAAL-SOD,34
AGW-GRONDSOORTEN_STABILISATIE-SO,32
AGW-GRONDSOORTEN_STABILISATIE-SOD,33
AGW-GRONDSOORTEN_TEELGROND_01-SO,32
AGW-GRONDSOORTEN_TEELGROND_02-SO,32
AGW-GRONDSOORTEN_ZAND_DRAINEERZAND-SOD,38
AGW-GRONDSOORTEN_ZAND_ZANDVOORZANDBED-SOD,41
AGW-GRONDWERK_FREZEN_DIEPFREZEN-SOD,35
AGW-GRONDWERK_ONTGRAVEN_AANVULLEN-SO,36
AGW-GRONDWERK_ONTGRAVEN_AANVULLEN-SOD,37
AKG-GRONDEIGENDOM_PARTICUL_01-SO,32
AKG-GRONDEIGENDOM_PARTICUL_02-SO,32
AKG-GRONDEIGENDOM_PARTICUL_03-SO,32
AKG-GRONDEIGENDOM_PARTICUL_04-SO,32
AOG-BELEMMERING_LEIDINGSTROOK-SO,32
AOG-BELEMMERING_LEIDINGSTROOK-SOD,33
AOG-MILIEUBESCHERMINGSGEBIED-SOD,32
AOG-OVERB_ZONDER_KOPPELBALKEN-SO,32
AOG-ZONE_GEVAARLIJKE_STOFFEN-SOD,32
AVH-BSS_KEIFORMAAT_BLOK_STREEP-SO,33
AVH-BSS_LINGEFORMAAT_DRIEKWART-SO,33
AVH-BSS_LINGEFORMAAT_ELLEBOOG-SO,32
AVH-FUNDERING_GRANULAAT_BETON-SOD,33
AVH-FUNDERING_GRANULAAT_BOMEN-SOD,33
AVH-FUNDERING_GRANULAAT_KLEIKORRELS-SOD,39
AVH-FUNDERING_GRANULAAT_LAVA-SOD,32
AVH-FUNDERING_GRANULAAT_MENG_01-SOD,35
AVH-FUNDERING_GRANULAAT_MENG_02-SOD,35
AVH-FUNDERING_GRANULAAT_PUIN-SOD,32
AVH-FUNDERING_GRANULAAT_SINTELS-SOD,35
AVH-FUNDERING_ZANDCEMENTSTAB-SOD,32
AVH-NATUURSTEEN_LOSVERBAND_01-SO,32
AVH-NATUURSTEEN_LOSVERBAND_02-SO,32
AVH-OPENVERHARDING_BEDRIJFSVLOERPLAAT_BLOK-SO,45
AVH-OPENVERHARDING_BEDRIJFSVLOERPLAAT_BLOK_RAND-SO,50
AVH-OPENVERHARDING_BEDRIJFSVLOERPLAAT_HALFST-SO,47
AVH-SBS_LINGEFORMAAT_DRIEKWART-SO,33
AVH-SBS_LINGEFORMAAT_ELLEBOOG-SO,32
AVH-TEGEL_600X600_HALFST_STIP-SO,32
