hoofdgroep;objectURI;omschrijving;sobjectCount
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d43c6136-7fc1-4ad3-8a41-19d46c8b64b4;KANTOPSLUITING_ASFALTBAND;6
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/68734533-4246-4592-a90d-706c9dcd32ef;KANTOPSLUITING_ROTONDEBAND;3
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e0526b10-bd33-4abe-bf9a-b6df28c83571;KANTOPSLUITING_RIJWIELPADBAND;4
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/03b9be9d-e6be-4836-a54c-5aea6d77c859;KANTOPSLUITING_BUSHALTEBAND;3
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5a352d81-b6fd-4562-aee3-0210c72fe379;KANTOPSLUITING_PLAKBAND;12
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d74cb816-969a-4789-b483-6b98893072b2;KANTOPSLUITING_SIGNALERINGSBAND;18
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e6b7aa6d-5824-40de-8611-1e242121d5f8;KANTOPSLUITING_TALUDBAND;3
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/897bb006-6bf7-43de-badf-3dfdcbb30dd1;KANTOPSLUITING_LEICONBAND;3
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ec2cad39-78e6-4c8f-b22e-424f14ed3a8c;GOOT_ZOAB;6
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/636b0674-6570-4376-b975-dc53f9aee850;SPECIAAL_SPORT;9
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2265dc46-83b3-4540-b701-90efa8ea86f9;DREMPEL_PREFAB_ELEMENT;168
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/934ded32-bde4-47df-a25f-e9504e581569;KANTOPSLUITING_ELEMENT_INRITBAND;14
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/0513fc71-a5fb-438b-85ee-63932dc500d7;KANTOPSLUITING_ELEMENT_VERLOOPBAND;26
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f954f5bc-ab92-4a25-929a-d83d97cf27ba;KANTOPSLUITING_ELEMENT_HOEKBLOK;2
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/79f2cf06-937a-4317-9c1d-1bc9e9d2691b;KANTOPSLUITING_ELEMENT_HOEKSTUK;16
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e30d6cdb-646b-4b86-a392-aecc46cd5dc0;KANTOPSLUITING_GELEIDEBAND-OPNIEUW STELLEN;20
VH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/88a64338-0503-48c5-bcdc-c5bddab26194;KANTOPSLUITING_ELEMENT_INRIT_PERRONBAND;2
ZZ;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5bdfb4b1-a867-465d-bd37-d99480a6e207;HOOGTELABEL_KANTOPSLUITING;8
GR;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e467bfd9-2765-4701-a26c-c72eebe21365;BOMENRIJ;2
VV;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/bf0c5f8d-509e-43e9-99cf-39881d60a51f;VERKEERSTEKEN;2
VV;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6d7cace9-79a8-472d-b888-9e0f60894d21;MARKERING_BETONNING;2
KL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/971d3c96-8239-4319-94c5-68b0b00aa8c6;KOUDENET_PUT;3
KL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c55e8e73-af2d-40fe-bce7-84b25cefed56;DATA_RADARMAST;3
KL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e5da600e-240a-4e3c-b1a2-59cd579d66af;ET_DVM;2
KL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9f0ee7f1-ae82-4c74-80f1-ce68b77181f5;ET_DVM;2
KL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/30bf0035-6044-4359-830c-8d5ff86b0356;WARMTENET_PUT;3
OV;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/99981e10-e97a-4f50-a909-07f0c71bfbe1;AARDING_AARDELECTRODE;2
VW;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5d1af9a3-daab-4541-bfff-cac4d4b22b87;MARKERING_VERKEERSTEKEN;6
VW;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9e7b6094-7a90-4fd8-a1bc-bfbeb075bfd2;VERKEERSTEKEN_BEBAKENING;2
VW;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a564ee0e-de62-4d0d-b5cb-403a8bb261c3;MARKERING_DWARS_DRIEHOEK;6
VW;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/08519881-4d66-41f4-a0d8-079f3e400b4d;MARKERING_LANGS_STREEP_33;2
VW;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/49132732-8039-436a-8245-f0a9b45e2933;MARKERING_LANGS_STREEP_91;4
