type,id,namen
Symbool,6762,V-SIE-MEUBILAIR_FIETSKLUIS-SO | SVW-BEWEGWIJZERING_DRAAGCONSTRUCTIE_PORTAAL
Symbool,6785,V-SIE-MEUBILAIR_BORD_PLAATSNAAMBORD-SO | SVW-VERKEERSTEKEN_BORD_STRAATNAAM
Symbool,6789,V-SIE-MEUBILAIR_BORD_SCHEEPVAARTVERKEER-SO | SVV-BETONNING
Symbool,6788,SIE-MEUBILAIR_BORD_VERKEERSBORD_MODEL-SO | SVW-VERKEERSTEKEN_VERKEERSZUIL
Symbool,6786,SIE-MEUBILAIR_BORD_VERKEERSBORD_MODEL_PAAL-SO | SVW-VERKEERSTEKEN_DRAAGCONSTRUCTIE
Symbool,6787,V-SIE-MEUBILAIR_BORD_RECLAME-SO | SVW-VERKEERSTEKEN_TRAMSIGNALERING
Symbool,6777,SVH-SBS_KEIFORMAAT_HALFST_KL_01-SO | SVW-VERKEERSTEKEN_BORD_G
Symbool,6772,V-SVH-SBS_KEIFORMAAT_HALFST_KL_01-SO | SVW-VERKEERSTEKEN_BORD_B
Symbool,6778,SVH-SBS_DIKFORMAAT_HALFST_01-SO | SVW-VERKEERSTEKEN_BORD_H
Symbool,6773,V-SVH-SBS_WAALFORMAAT_HALFST_01-SO | SVW-VERKEERSTEKEN_BORD_C
Symbool,6779,SVH-SBS_WAALFORMAAT_HALFST_01-SO | SVW-VERKEERSTEKEN_BORD_INFORMATIE
Symbool,6774,V-SVH-SBS_KEIFORMAAT_HALFST_01-SO | SVW-VERKEERSTEKEN_BORD_D
Symbool,6780,SVH-SBS_KEIFORMAAT_HALFST_01-SO | SVW-VERKEERSTEKEN_BORD_J
Symbool,6769,V-SVH-SBS_DIKFORMAAT_HALFST_KL_01-SO | SVW-VERKEERSSPIEGEL_DRAAGCONSTRUCTIE
Symbool,6775,SVH-SBS_WAALFORMAAT_HALFST_KL_01-SO | SVW-VERKEERSTEKEN_BORD_E
Symbool,6776,SVH-SBS_DIKFORMAAT_HALFST_KL_01-SO | SVW-VERKEERSTEKEN_BORD_F
Symbool,6771,V-SVH-SBS_WAALFORMAAT_HALFST_KL_01-SO | SVW-VERKEERSTEKEN_BORD_ANWB
Symbool,6770,V-SVH-SBS_DIKFORMAAT_HALFST_01-SO | SVW-VERKEERSTEKEN_BORD_A
Symbool,6767,V-SVH-BSS_WAALFORMAAT_HALFST_01-SO | SVW-POLLER_KAST
Symbool,6768,V-SVH-BSS_WAALFORMAAT_HALFST_KL_01-SO | SVW-VERKEERSSPIEGEL
Symbool,6783,SIS-RAILAANSLUITBAK_01 | SVW-VERKEERSTEKEN_BORD_PIJLBAK
Symbool,6784,V-SIS-RAILAANSLUITBAK_02 | SVW-VERKEERSTEKEN_BORD_PLAATSNAAM
Symbool,6782,SVW-VERKEERSTEKEN_BORD_L | SAL-AANKLEDING_VRACHTAUTO_BOVENAANZICHT_16.5
Symbool,6765,SVW-MARKERING_SYMBOOL | V-SIW-VRI_LANTAARN_200MM_NEGENOOG-SO
Symbool,6764,SVW-MARKERING_PIJL | SIW-VRI_DETECTIE_WIFIPANTENNE-SO
Symbool,6766,SVW-POLLER | V-SSB-SPOORSTAAF_59R2-D
Symbool,6763,SVW-HALTEPAAL | SIW-VRI_DETECTIE_RADARDETECTOR-SO
Symbool,6781,SVW-VERKEERSTEKEN_BORD_K | SIW-VRI_OVERIG_MATRIXBORD-SO
NLCS-object,350,BESCHOEIING_COMBINATIE | BESCHOEIING_COMBINATIE
NLCS-object,5925,WARMTENET_REDUCTIESTUK | KOUDENET_AANVOER_PE
